Date,CorporateBonds,Dow_Jones,HighDividend,FTNT,Gold,RealEstate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ
2003-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-14,0.0,-0.0034603030116818756,0.0,0.0,0.0,-0.0062733157799098604,-0.0036956901182183532,0.004355033652005069,-0.008502129073553522,-0.005861726326968131,-0.009468861192394207,-0.009937134889227761,-0.0009689833783079749,0.008380274202221427,0.030216396849575444,-0.027064095610483285,-0.001727420007302305
2003-09-21,0.0,0.016995917634510915,0.0,0.0,0.0,0.007112836170912518,0.015792568306010946,-0.0017117427517560069,-0.004813451628219223,0.03611535352975248,0.01773197621605216,0.033280617097410925,0.00828867077302875,0.013172263813845397,-0.0036125006441560803,0.018583676402687654,0.027314879584027896
2003-09-28,0.0,-0.03285970991707021,0.0,0.0,0.0,-0.0023173382619420257,-0.03588304139371856,-0.04672460128224898,-0.013196383461876127,-0.034705785728811,-0.046311568234363776,-0.0593048625779794,-0.014485816444686717,-0.0018391059341998917,-0.03403959657088007,-0.040152429987571514,-0.05962638809584786
2003-10-05,0.0,0.028081305599133355,0.0,0.0,0.0,0.03683200025522004,0.03441730246902486,0.03664686940724615,0.03217805005966934,0.039114551718729906,0.035668727679716294,0.04402187760777054,0.021557798084350654,0.02211010910450617,0.02013679089300502,0.03894721272316648,0.049384233122854226
2003-10-12,0.0,0.014283223377863363,0.0,0.0,0.0,0.010774298815682037,0.011412928560640356,0.008395609513817792,0.008096964143925911,0.011787187936198595,0.00165911323969814,0.01717825387029248,0.006715365647782079,-0.009464213891645756,-0.010927150091372462,0.019090336373013717,0.018473182756770345
2003-10-19,0.0,0.0013671790126139616,0.0,0.0,0.0,-0.005593405319953004,-0.002964526269384815,0.010079058488384529,-0.010843735808755639,0.01127376016001258,0.004142534018652944,-0.00614162809997898,0.00285848497009078,-0.00545984438456093,-0.0039200938020085285,0.001703187064085343,-0.001540258836396191
2003-10-26,0.0,-0.011511120154702126,0.0,0.0,0.0,-0.026215493353876185,-0.006522242874434148,-0.007808493249249038,-0.012585933948383476,-0.00854716515585352,-0.00783827483687749,-0.020081812566777657,-0.006651705959446086,0.001830200582668251,0.0,-0.010880581128058786,-0.024456702655097584
2003-11-02,0.0,0.019234256593946508,0.0,0.0,0.0,0.013624013487014253,0.016606054941230353,0.04547402450362492,-0.0016447497139631118,0.018366136353474394,0.028274505697104546,0.031003966596416577,0.015782581401471152,0.006849388304967841,0.0017889336933318845,0.03437602407552354,0.035709880701408236
2003-11-09,0.0,0.0008167955684281747,0.0,0.0,0.0,0.027204529180574255,0.0029440791268136035,0.003345662961617979,-0.002882802652068528,-0.0025764800222302098,0.008491955831023468,0.02191635365034794,0.007533179029608483,-0.010884503866897322,-0.014286007619292329,0.010634692033872684,0.019940912258924692
2003-11-16,0.0,-0.0014270335778684418,0.0,0.0,0.0,0.014341352635606652,-0.0014206146167524691,-0.007920274889446355,0.014869665662996523,-0.010701262899536546,-0.004811493425779245,-0.01645900219688634,-0.01168250736289711,0.0009168923981728305,0.05181192712511118,-0.018086075239941102,-0.02054049781774403
2003-11-23,0.0,-0.0119344087184039,0.0,0.0,0.0,-0.027864425572475815,-0.011852793859239985,-0.014285056518636208,-0.02442021560977714,-0.009697439364471316,-0.005237727223274757,-0.022312451812866785,-0.0023646690416179172,-0.017864593071768797,-0.0237686994652061,-0.012056274917347065,-0.018847204365607606
2003-11-30,0.0,0.01647939750022065,0.0,0.0,0.0,0.030148649063594046,0.021494676502565868,0.042199463602427434,0.020859744659595947,0.01958526710668007,0.021465522472820853,0.03215758515533462,0.018483974562181205,0.030782882156994207,0.00917468416535172,0.029152780141196377,0.035049741647660504
2003-12-07,0.0,0.007340147230852745,0.0,0.0,0.0,0.005874405648021996,0.003757960321848719,0.03476422721128114,0.04331838317587078,0.0011083690053359518,0.009119907480837908,-0.003516801420438753,-0.009306838654534522,0.010407536257103223,0.013286321095032694,-0.014492765312537959,-0.011447493375761675
2003-12-14,0.0,0.018522963865434505,0.0,0.0,0.0,0.013859625249500462,0.012072834728275916,0.02173946708387664,0.028985187725937056,0.009225334578316424,0.024361705072222017,0.006050919892547135,0.005636267110767479,0.005373754287365751,0.012077190674724125,0.015374303212241758,0.005769397581208313
2003-12-21,0.0,0.022427747093349604,0.0,0.0,0.0,0.008414477322476577,0.011786069871882798,0.013658279763743009,0.03699239635247342,0.014423664699260819,0.020717309526880667,0.004035278581310475,0.0037683645048998127,0.02238230839550681,0.009984500672890029,0.018572961648410713,0.0010364389590815648
2003-12-28,0.0,0.005159616070733453,0.0,0.0,0.0,0.008141128550202437,0.0073459191920344225,0.016506495077483585,0.00884971500189069,0.006526760021846378,0.002643542020657863,0.00955269858411234,0.003738089691968094,0.017590454304085013,0.006097656959929587,0.00712923145538058,0.011337656659464734
2004-01-04,0.0,0.010652313585668427,0.0,0.0,0.0,-0.000908522642819487,0.013948061789258892,0.003021830661135372,0.006579270585998609,0.011887312976418984,0.00715651484243951,0.01992054068417093,0.0018623750225381652,0.005617987602491992,0.017508256833756786,0.004504618825409423,0.01699830666526525
2004-01-11,0.0,0.003066727375063527,0.0,0.0,0.0,0.0007070176782950632,0.010428351270338476,-0.00037699054370110563,0.015612899082916298,0.008543972281029877,0.0059832125511396494,0.04492200687332715,-0.004182336610717319,0.0008594336070719688,0.0033093327061461952,0.009609389415912606,0.03998637850397513
