,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
2007-02-11 00:00:00+00:00,-0.3700000000000001,-0.3600000000000003,-0.1299999999999999,0.0600000000000005,0.009999999999999787,0.08000000000000007,1.5499999999999998
2007-02-18 00:00:00+00:00,-0.4900000000000002,-0.47999999999999954,-0.13999999999999968,0.07000000000000028,0.010000000000000675,0.09999999999999964,1.5999999999999996
2007-02-25 00:00:00+00:00,-0.5099999999999998,-0.5,-0.14000000000000057,0.0699999999999994,0.009999999999999787,0.11000000000000032,1.4899999999999993
2007-03-04 00:00:00+00:00,-0.6600000000000001,-0.6000000000000005,-0.040000000000000036,0.1900000000000004,0.05999999999999961,0.13000000000000078,1.62
2007-03-11 00:00:00+00:00,-0.5499999999999998,-0.5099999999999998,-0.07000000000000028,0.14999999999999947,0.040000000000000036,0.1299999999999999,1.63
2007-03-18 00:00:00+00:00,-0.5700000000000003,-0.4900000000000002,-0.03000000000000025,0.20999999999999996,0.08000000000000007,0.15000000000000036,1.5999999999999996
2007-03-25 00:00:00+00:00,-0.5600000000000005,-0.45999999999999996,0.020000000000000462,0.28000000000000025,0.10000000000000053,0.17999999999999972,1.5600000000000005
2007-04-01 00:00:00+00:00,-0.5,-0.3899999999999997,0.07000000000000028,0.33999999999999986,0.11000000000000032,0.1899999999999995,1.5200000000000005
2007-04-08 00:00:00+00:00,-0.3799999999999999,-0.29000000000000004,0.009999999999999787,0.25,0.08999999999999986,0.16000000000000014,1.4900000000000002
2007-04-15 00:00:00+00:00,-0.33999999999999986,-0.2599999999999998,0.0,0.25,0.08000000000000007,0.16999999999999993,1.4799999999999995
2007-04-22 00:00:00+00:00,-0.41999999999999993,-0.3100000000000005,0.040000000000000036,0.29000000000000004,0.10999999999999943,0.16999999999999993,1.4900000000000002
2007-04-29 00:00:00+00:00,-0.3600000000000003,-0.2400000000000002,0.040000000000000036,0.29000000000000004,0.1200000000000001,0.17999999999999972,1.4699999999999998
2007-05-06 00:00:00+00:00,-0.35000000000000053,-0.25,-0.02999999999999936,0.20000000000000018,0.10000000000000053,0.14999999999999947,1.4800000000000004
2007-05-13 00:00:00+00:00,-0.29000000000000004,-0.20000000000000018,-0.040000000000000036,0.20999999999999996,0.08999999999999986,0.17999999999999972,1.5
2007-05-20 00:00:00+00:00,-0.09999999999999964,-0.03000000000000025,-0.010000000000000675,0.20999999999999996,0.0699999999999994,0.15000000000000036,1.4500000000000002
