,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,Unemployment Rate,GDP,Real GDP,CPI,PPI,Consumer Confidence Index,Government Debt,Government Debt to GDP,US Dollar Index,Corporate Profits,Building Permits,Velocity of Money,Retail Sales,Industrial Production,3m10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2003-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-31,0.268361581920904,0.36363636363636354,-0.28275862068965507,0.3739837398373984,0.20132743362831862,0.155925155925156,0.13822894168466515,0.13358778625954204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33712121212121215,0.13437500000000013,0.0277777777777779,-0.15748031496063009,0.03614457831325324,0.0,0.0,0.015359128997128213
2003-08-31,0.25945289595208443,0.4469696969696968,-0.3116047745358089,0.39765237889065297,0.18291122736680854,0.1091625659970985,0.212232736751079,0.19756085023260606,-0.016129032258064613,0.0,0.0,0.004354926510615087,0.0,-0.017601760176017667,0.0,0.0,0.0,0.0,0.04297082228116711,0.0,0.01687567678304891,-0.002239816418579732,0.320124044982402,0.06550447658402214,-0.08033033033033032,-0.363087791596144,0.12335388063883435,0.0,0.0,0.03835177130209155
2003-09-30,0.14934053640152256,0.21620046620046607,-0.1531889329516506,0.22135180085597095,0.10411197783585169,0.06576633958200429,0.1486284964683935,0.14376338187817572,-0.016129032258064613,0.0,0.0,0.007606959030940219,0.0,-0.035518893434696164,0.0,0.0,0.0,0.0,0.04042758728625362,0.0,0.011353398798410574,0.004337203335611051,0.1875592034838428,0.07438021622899271,0.04088179088179056,-0.057205438654966634,0.1607870357190484,0.0,0.0,0.037144198021825
2003-10-31,0.242774879835866,0.44953379953379946,-0.27284705260977016,0.36872022190860254,0.16317511429206344,0.10718645792519954,0.14108132665707274,0.13707441866747339,-0.03252247488101534,0.01777218661656188,0.01154045727617814,0.00652646200230711,0.0,-0.013854127186121667,0.03164291232022087,0.013628517153499997,0.0,0.06898280567864234,0.06643472650093996,0.011967341460686676,0.005326556559869133,0.005624096178801663,0.3071605323874974,0.056784908311104165,-0.00416325416325436,-0.20134958279911086,-0.009316057064456706,0.0,0.0,0.08143273517303617
2003-11-30,0.24508434865803674,0.5630473130473129,-0.2922645283379255,0.40235936563948926,0.16317511429206344,0.09771676095550264,0.1334767639194302,0.12865691024996484,-0.03252247488101534,0.01777218661656188,0.01154045727617814,0.00652646200230711,0.0,-0.013854127186121667,0.03164291232022087,0.013628517153499997,0.0,0.06898280567864234,0.06643472650093996,0.011967341460686676,0.005326556559869133,0.005624096178801663,0.3190299685892778,-0.00590165885307492,-0.09850287680476388,-0.2645074775359525,-0.046583137809798614,0.0,0.0,0.09139445040487448
2003-12-31,0.22895531639997213,0.4562511965424586,-0.36157145903099486,0.36389782717795083,0.14394434506129405,0.09771676095550264,0.12006680223360655,0.12186573877288509,-0.08252247488101527,0.01777218661656188,0.01154045727617814,0.009771459298142604,0.0,0.019628015671021126,0.03164291232022087,0.013628517153499997,0.0,0.06898280567864234,0.054009279184836556,0.011967341460686676,0.015691815472972714,0.01296503967091378,0.29263700671244486,0.03231490165647921,-0.03600287680476433,-0.18585579214269388,-0.027228299100121034,0.0,0.0,0.14076352062746933
2004-01-31,0.20319419227819235,0.4562511965424586,-0.26582677817993083,0.33928244256256623,0.12433650192403922,0.07477221028628656,0.0851153459229268,0.09280590971305602,-0.08252247488101527,0.030617072302660198,0.017269622136875773,0.014084127761754495,0.0,0.14057833964510325,0.05066330167918309,0.019725703168987918,0.0,0.20566583262411964,0.03639478497245607,0.011304211487211835,0.02037821231460779,0.014644504845879647,0.26854062117027644,0.0016400550307124062,-0.06541464151064602,-0.19627245880936128,-0.1031776661887287,0.0,0.0,0.16145061603587707
2004-02-29,0.16232880766280777,0.35842510958593676,-0.25611804031585317,0.2888092564426924,0.0943365019240392,0.0552027386620203,0.06901876644606564,0.07520027591023914,-0.08252247488101527,0.030617072302660198,0.017269622136875773,0.014084127761754495,0.0,0.14057833964510325,0.05066330167918309,0.019725703168987918,0.0,0.20566583262411964,0.03639478497245607,0.011304211487211835,0.02037821231460779,0.014644504845879647,0.20372580635546167,0.011133725916788184,-0.07551565161165585,-0.12258824828304615,-0.055232460709276454,0.0,0.0,0.17502158798234024
2004-03-31,0.1297473540287225,0.32228053127268386,-0.2465026557004686,0.21904181458222727,0.0778416565632144,0.039234674789764834,0.030163960720094418,0.04294221139411014,-0.06497861523189263,0.030617072302660198,0.017269622136875773,0.018378276983439967,0.0,0.0635070487009799,0.05066330167918309,0.019725703168987918,0.0,0.20566583262411964,0.09479642431671842,0.011304211487211835,0.04653690696132562,0.016870289285967566,0.16412184595942203,0.004864133440299123,0.006117001449568282,-0.07356864043990863,0.02319891183974332,0.0,0.0,0.1606411969944853
