Date,CorporateBonds,Dow_Jones,SP500,Materials,Technology,Discretionary,EBIT,Dow_Jones (t-3),Gold (t-6),Financials (t-5),Healthcare (t-3),Healthcare (t-4),NASDAQ (t-1),NASDAQ (t-3),15-Year Mortgage Rate (t-4),GDP (t-5),Debt Service vs Disposable Income (t-6),3m5y (t-6),5y10y (t-4),NASDAQ
2003-12-14,0.0,0.018522182821219202,0.01207336045136742,0.0217392316826186,0.006051428315112073,0.01537447067237907,0.0,-0.011934772388847992,0.0,-0.0025768042475673436,-0.023768334399477342,-0.023768334399477342,-0.011447493375761675,-0.018847204365607606,0.015065913370998052,0.0,0.0,-0.013392857142857206,0.019801980198019375,0.005769397581208313
2003-12-21,0.0,0.02243014751751149,0.011786376870101867,0.013658965066165596,0.0040356553847749055,0.018573366162570215,0.0,0.016479460481365393,0.0,-0.010701001344782468,0.009174306780449726,-0.007297013809513808,0.005769397581208313,0.035049741647660504,-0.04081632653061218,0.0,0.0,-0.013392857142857206,-0.02912621359223244,0.0010364389590815648
2003-12-28,0.0,0.005159493259572212,0.007346017389410875,0.016506598221100344,0.009552192738436993,0.007128596129573506,0.0,0.007339842453027545,0.0,-0.009697963525220787,0.013286321095032694,0.009174306780449726,0.0010364389590815648,-0.011447493375761675,0.009671179883945724,0.0,0.0,-0.013392857142857206,-0.04000000000000048,0.011337656659464734
2004-01-04,0.0,0.010651260700947907,0.013946636544670765,0.0030211650768048326,0.019920106405675986,0.004504777388236514,0.0,0.018522182821219202,0.0,0.019585470713287867,0.012077464946470773,0.013286321095032694,0.011337656659464734,0.005769397581208313,0.026819923371647514,0.0,0.0,-0.013392857142857206,0.041666666666667185,0.01699830666526525
2004-01-11,0.0,0.0030661550230681733,0.010429058240860378,-0.0003768802803071347,0.04492196517288094,0.009609390919227634,0.0,0.02243014751751149,0.0,0.001108434291841487,0.009983775303719522,0.012077464946470773,0.01699830666526525,0.0010364389590815648,-0.022388059701492602,0.0,0.0,-0.013392857142857206,0.02999999999999936,0.03998637850397513
2004-01-18,0.0,0.01431984309383516,0.016372145838630114,-0.0184555650233984,0.030373468080219013,0.006979019477165949,0.0,0.005159493259572212,0.0,0.009224877477153948,0.006097838566749392,0.009983775303719522,0.03998637850397513,0.011337656659464734,-0.019083969465648942,0.0,0.0,0.0043290043290042934,-0.03883495145631033,0.025655051974585064
2004-01-25,0.0,-0.00245007645947648,0.0017501077781834073,-0.02494229058260744,-0.018139500880393178,0.009767416702975762,0.0,0.010651260700947907,0.0,0.014424122618321267,0.01750897268621232,0.006097838566749392,0.025655051974585064,0.01699830666526525,-0.0019455252918287869,0.0,0.0,-0.006456187490670173,0.010101010101009944,-0.007750597559757155
2004-02-01,0.0,-0.00736794408356356,-0.008301593184098066,0.003935451949417912,-0.018476002268488112,-0.02308905222147095,0.0,0.0030661550230681733,0.0,0.006526504808820777,0.0033085449470318107,0.01750897268621232,-0.007750597559757155,0.03998637850397513,0.003898635477582957,0.0,0.0,-0.01724137931034464,0.020000000000000018,-0.027176904263893964
2004-02-08,0.0,0.008850111219705914,0.008547664910013575,0.015679984717574147,-0.0009410312487798667,0.008623272947023919,0.0,0.01431984309383516,0.0,0.01188725194704987,0.004617071556989538,0.0033085449470318107,-0.027176904263893964,0.025655051974585064,0.003883495145631022,0.012844885686098317,0.0,-0.004234724742891716,0.029607843137255174,-0.0010356908642967788
2004-02-15,0.0,0.006508838376021897,0.0059413364321039275,0.01968387436446295,-0.007065907827973894,0.004750040945962208,0.0,-0.00245007645947648,0.0,0.008544162046941306,0.01050594420054174,0.004617071556989538,-0.0010356908642967788,-0.007750597559757155,-0.03868471953578345,0.0,0.00036217515851011406,0.008771929824561209,0.029508833236264853,-0.005062936285401887
2004-02-22,0.0,-0.0001222293196490032,-0.002171209570177246,0.004163438228476979,-0.009962228924840444,0.00031470540064937325,0.0,-0.00736794408356356,0.0,0.018708568747485055,0.006497476263114477,0.01050594420054174,-0.005062936285401887,-0.027176904263893964,-0.004024144869215207,0.0,0.0,-0.01834862385321101,-0.009516485629145477,-0.007611174953176536
2004-02-29,0.0,-0.003289522615467999,0.0012185694130379954,0.011684577130903762,-0.007666402094594238,0.00787685464084431,0.0,0.008850111219705914,0.0,0.008662689112246769,0.025177826045381657,0.006497476263114477,-0.007611174953176536,-0.0010356908642967788,0.004040404040403844,0.0,0.0,-0.004501414730343767,-0.03883495145631033,-0.003979580853183395
2004-03-07,0.0,0.0012259160791152635,0.011823882495673566,0.0073326102309546615,0.004346140508487473,0.015629978693957103,0.0,0.006508838376021897,0.0,-0.002061539976820237,-0.006927126466632627,0.025177826045381657,-0.003979580853183395,-0.005062936285401887,0.012072434607645954,0.0,0.0,0.009345794392523477,0.010101010101009944,0.008774206119272154
2004-03-14,0.0,-0.03484007178154236,-0.032651503842057616,0.00010779187890253006,-0.030768853908899274,-0.035087636222711494,0.0,-0.0001222293196490032,0.0,0.015146509390436602,-0.006974860283051054,-0.006927126466632627,0.008774206119272154,-0.007611174953176536,-0.013916500994035852,0.0,0.0,0.04166666666666652,0.040000000000000036,-0.030718452193057355
2004-03-21,0.0,-0.004326524081073813,-0.010043270799512394,0.0021439879111151416,-0.020337491626974624,-0.005366621644916969,0.0,-0.003289522615467999,0.0,0.01051188768129152,-0.00031966444674658145,-0.006974860283051054,-0.030718452193057355,-0.003979580853183395,-0.01814516129032251,0.0,0.0,0.007499999999999896,-0.019230769230769718,-0.02230026764405091
