Date,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,PPI,US Dollar Index,EBIT,5y10y,10-Year Treasury Yield (t-1),10-Year Treasury Yield (t-2),10-Year Treasury Yield (t-3),10-Year Treasury Yield (t-8),10-Year Treasury Yield (t-20),10-Year Treasury Yield (t-22),10-Year Treasury Yield (t-23),10-Year Treasury Yield (t-24),2-Year Treasury Yield (t-3),2-Year Treasury Yield (t-22),Federal Funds Effective Rate (t-21),1-Month Treasury Yield (t-5),3-Month Treasury Yield (t-2),5-Year Treasury Yield (t-2),5-Year Treasury Yield (t-3),5-Year Treasury Yield (t-6),5-Year Treasury Yield (t-8),5-Year Treasury Yield (t-16),5-Year Treasury Yield (t-19),20-Year Treasury Yield (t-1),20-Year Treasury Yield (t-5),20-Year Treasury Yield (t-10),20-Year Treasury Yield (t-15),20-Year Treasury Yield (t-19),20-Year Treasury Yield (t-20),30-Year Treasury Yield (t-5),30-Year Treasury Yield (t-12),30-Year Treasury Yield (t-15),30-Year Treasury Yield (t-16),30-Year Treasury Yield (t-17),15-Year Mortgage Rate (t-5),15-Year Mortgage Rate (t-8),15-Year Mortgage Rate (t-9),15-Year Mortgage Rate (t-11),15-Year Mortgage Rate (t-12),15-Year Mortgage Rate (t-24),30-Year Mortgage Rate (t-3),30-Year Mortgage Rate (t-4),30-Year Mortgage Rate (t-6),30-Year Mortgage Rate (t-7),30-Year Mortgage Rate (t-16),30-Year Mortgage Rate (t-23),30-Year Mortgage Rate (t-24),Unemployment Rate (t-2),Real GDP (t-11),PPI (t-9),PPI (t-10),PPI (t-11),PPI (t-12),PPI (t-13),PPI (t-16),PPI (t-17),PPI (t-18),PPI (t-21),PPI (t-22),Consumer Confidence Index (t-18),Government Debt (t-7),Government Debt (t-14),Government Debt to GDP (t-5),Debt Service vs Disposable Income (t-19),Debt Service vs Disposable Income (t-21),Debt Service vs Disposable Income (t-24),US Dollar Index (t-1),US Dollar Index (t-2),US Dollar Index (t-3),US Dollar Index (t-7),US Dollar Index (t-16),US Dollar Index (t-19),US Dollar Index (t-20),US Dollar Index (t-22),Corporate Profits (t-9),Corporate Profits (t-11),Corporate Profits (t-12),Corporate Profits (t-13),EBIT (t-6),EBIT (t-10),EBIT (t-23),EBIT (t-24),Retained Earnings (t-6),Industrial Production (t-14),Industrial Production (t-22),3m5y (t-8),3m5y (t-11),3m5y (t-20),3m5y (t-24),3m10y (t-7),3m10y (t-15),2y10y (t-13),2y10y (t-14),2y20y (t-17),2y20y (t-18),2y20y (t-23),2y20y (t-24),5y10y (t-9),5y10y (t-12),5y10y (t-20),5y10y (t-21),10yTrea30yFRM (t-2),10yTrea30yFRM (t-8),10yTrea30yFRM (t-18),HighDividend
2004-02-08,-0.010000000000000009,-0.005870841487279899,0.012072434607645954,0.007042253521126751,0.0,0.0,0.0,0.010101010101009944,0.017114914425427896,0.012376237623762387,-0.017031630170316392,0.007092198581560183,-0.023419203747072515,-0.022471910112359716,-0.006696428571428603,0.0,0.011904761904761862,-0.03488372093023262,0.0625,-0.011363636363636354,0.011235955056179803,0.00990099009900991,-0.006557377049180357,0.0031645569620253333,0.0,0.05714285714285716,-0.05144694533762051,0.010101010101010166,0.044088176352705455,0.02970297029702973,-0.03383458646616555,-0.02734374999999989,-0.019157088122605304,0.029126213592232997,-0.03159851301115235,-0.01862197392923659,0.005617977528090012,0.021032504780114536,0.003898635477582957,-0.022388059701492602,0.026819923371647514,-0.04081632653061218,0.015065913370998052,0.0,-0.035775127768313486,0.0034188034188034067,-0.001718213058419349,-0.010204081632652962,0.01680672268907557,0.006369426751592355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021664766248574496,0.0,0.0,0.006097186015487921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043290043290042934,-0.013392857142857206,-0.013698630136986245,0.0,-0.023880597014925176,-0.054597701149425304,-0.01612903225806439,-2.220446049250313e-16,0.02285714285714291,0.035502958579881616,-0.005882352941176561,0.0,0.041666666666667185,0.019801980198019375,-0.05357142857142827,0.04672897196261672,-0.011976047904191933,0.030864197530864113,0.06410256410256454,0.0
2004-02-15,-0.0060606060606061,0.0,-0.013916500994035852,-0.010489510489510412,0.0,0.0,0.0,0.040000000000000036,-0.009615384615384581,0.017114914425427896,0.012376237623762387,-0.025821596244131273,-0.031175059952038398,-0.01839080459770115,-0.022471910112359716,-0.006696428571428603,0.008893557422969156,-0.005393667694031934,-0.02941176470588236,-0.011363636363636354,0.022222222222222143,0.035947712418300526,0.00990099009900991,0.03155073273968778,-0.021671826625386914,-0.06006006006006015,0.057627118644067776,-0.010000000000000009,-0.04414587332053732,-0.02115384615384619,0.011673151750972943,0.034136546184738936,-0.02734374999999989,-0.030188679245283012,-0.015355086372360827,0.00189753320683117,-0.01862197392923659,0.005617977528090012,0.003883495145631022,-0.019083969465648942,-0.022388059701492602,0.009671179883945724,-0.04081632653061218,0.010714285714285898,-0.0035335689045937757,-0.035775127768313486,0.0068846815834768815,-0.001718213058419349,0.0,0.018987341772152,0.006369426751592355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06973176288349747,0.0,0.0,0.0,0.0,0.0,0.0,-0.01724137931034464,-0.03526785714285713,-0.04157153729071533,-0.004016064257028162,0.009174311926605228,0.024316109422492405,-0.02459016393442648,-0.01612903225806439,-0.04469273743016766,0.02285714285714291,0.056213017751479466,-0.005882352941176561,0.02999999999999936,-0.02912621359223244,0.028301886792452713,-0.05357142857142827,0.014559921253383346,0.006450062837288273,0.02602718566573997,0.0
2004-02-22,0.008130081300812941,0.0019685039370078705,-0.01814516129032251,-0.014134275618374548,0.0,0.0,0.0,-0.019230769230769718,-0.016990291262136026,-0.009615384615384581,0.017114914425427896,0.004819277108433662,0.04207920792079212,-0.023419203747072515,-0.01839080459770115,-0.022471910112359716,-0.016080562659846587,0.024096385542168752,0.04040404040404044,-0.011931818181818155,0.010869565217391353,-0.01577287066246047,0.035947712418300526,0.026689765734084936,0.0031645569620253333,0.04472843450479247,0.009615384615384581,-0.0060606060606061,-0.016064257028112428,0.005893909626719207,0.02499999999999991,0.01553398058252431,0.034136546184738936,-0.01945525291828787,0.01949317738791434,0.01893939393939381,0.00189753320683117,-0.01862197392923659,-0.03868471953578345,-0.0019455252918287869,-0.019083969465648942,0.026819923371647514,0.009671179883945724,0.019434628975264934,0.007092198581560183,-0.0035335689045937757,0.0034188034188034067,0.0068846815834768815,-0.018181818181818077,-0.0434782608695653,0.018987341772152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01902038935896222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561209,-0.02640692640692638,-0.023254332313965342,-0.06451612903225812,0.045454545454545414,0.04451038575667665,-0.029411764705882137,-0.02459016393442648,-0.011695906432748648,-0.04469273743016766,-0.002801120448179484,0.056213017751479466,-0.03883495145631033,-0.04000000000000048,0.0,0.028301886792452713,0.03370583994232168,-0.017964071856287567,0.02602718566573997,0.0
2004-02-29,-0.022177419354838745,-0.015717092337917515,0.004106776180698102,0.0,0.0,0.0,0.0,-0.039215686274509,0.012345679012345734,-0.016990291262136026,-0.009615384615384581,0.050359712230215736,0.019002375296912177,-0.031175059952038398,-0.023419203747072515,-0.01839080459770115,-0.03879575042986988,-0.05882352941176461,-0.03883495145631066,-0.012499999999999956,-0.010752688172043001,-0.03525641025641035,-0.01577287066246047,0.0016718065249147762,0.03155073273968778,0.05294525700774799,0.05714285714285716,0.008130081300812941,0.010204081632652962,-0.025390625,-0.04315196998123838,0.017208413001912115,0.01553398058252431,0.007936507936507908,-0.005736137667304075,-0.03159851301115235,0.01893939393939381,0.00189753320683117,-0.004024144869215207,0.003898635477582957,-0.0019455252918287869,-0.022388059701492602,0.026819923371647514,-0.05372616984402079,0.007042253521126751,0.007092198581560183,-0.035775127768313486,0.0034188034188034067,0.006734006734006703,-0.024350649350649456,-0.0434782608695653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032646834477497944,0.0043290043290042934,0.022935779816513735,-0.05603448275862066,-0.060869565217391175,-0.07102272727272751,-0.012987012987013324,-0.029411764705882137,-0.008875739644970349,-0.011695906432748648,-0.03932584269662909,-0.002801120448179484,0.010101010101009944,0.041666666666667185,0.04587155963302769,0.0,0.026315789473684736,-0.03658536585365835,-0.012048192771084598,0.0
2004-03-07,-0.024742268041236914,-0.019960079840319334,-0.002044989775051076,0.0017921146953405742,0.0,0.0,0.0,0.06122448979591799,-0.02682926829268284,0.012345679012345734,-0.016990291262136026,-0.06164383561643827,0.027972027972027913,0.04207920792079212,-0.031175059952038398,-0.023419203747072515,-0.039548022598870136,0.031249999999999778,0.010101010101010166,0.017279411764705932,0.021739130434782483,0.023255813953488413,-0.03525641025641035,0.00990099009900991,0.026689765734084936,0.024311447278862697,-0.06006006006006015,-0.022177419354838745,0.010101010101010166,0.0,-0.009803921568627416,-0.03383458646616555,0.017208413001912115,0.0059055118110236116,0.005769230769230749,-0.015355086372360827,-0.03159851301115235,0.01893939393939381,0.004040404040403844,0.003883495145631022,0.003898635477582957,-0.019083969465648942,-0.022388059701492602,-0.02930402930402931,-0.010489510489510412,0.007042253521126751,-0.0035335689045937757,-0.035775127768313486,0.00836120401337781,-0.004991680532445808,-0.024350649350649456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012868928431906124,0.019086557638611834,-0.01724137931034464,0.022935779816513735,-0.013698630136986245,-0.0277777777777779,-0.018348623853210788,0.03070175438596534,-0.012987012987013324,-0.017910447761193993,-0.008875739644970349,-0.011695906432748426,-0.03932584269662909,0.020000000000000018,0.02999999999999936,-0.052631578947368474,0.04587155963302769,-0.019230769230769384,0.012658227848101555,-0.06832298136645987,0.0
2004-03-14,-0.010570824524313016,-0.004073319755600879,-0.038934426229508046,-0.03220035778175312,0.0,0.0,0.0,0.00961538461538436,-0.03508771929824561,-0.02682926829268284,0.012345679012345734,-0.017031630170316392,-0.038548752834467126,0.019002375296912177,0.04207920792079212,-0.031175059952038398,0.02941176470588247,0.015624999999999889,-0.020000000000000018,0.02914738929279581,0.02127659574468077,-0.022727272727272818,0.023255813953488413,0.035947712418300526,0.0016718065249147762,-0.012539184952978122,0.04472843450479247,-0.024742268041236914,-0.010000000000000009,0.044088176352705455,0.02970297029702973,0.011673151750972943,-0.03383458646616555,-0.005870841487279899,-0.02294455066921608,0.01949317738791434,-0.015355086372360827,-0.03159851301115235,0.012072434607645954,-0.03868471953578345,0.003883495145631022,-0.0019455252918287869,-0.019083969465648942,0.0,-0.014134275618374548,-0.010489510489510412,0.007092198581560183,-0.0035335689045937757,-0.03316749585406309,-0.03511705685618738,-0.004991680532445808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06973176288349747,0.0,0.0,0.0,0.0073409434921121175,0.0,-0.004501414730343767,0.008771929824561209,0.05963302752293598,-0.04157153729071533,0.012698412698412653,0.06230529595015555,0.0297872340425529,0.03070175438596534,-0.00911854103343468,-0.017910447761193993,0.035502958579881616,-0.011695906432748426,0.03921568627451033,-0.03883495145631033,0.0277777777777779,-0.052631578947368474,0.0,0.04374999999999951,-0.06832298136645987,0.0
2004-03-21,0.0,0.0,0.0,-0.005545286506469571,0.0,0.0,0.0,0.0,-0.0181818181818183,-0.03508771929824561,-0.02682926829268284,0.012376237623762387,0.021226415094339535,0.027972027972027913,0.019002375296912177,0.04207920792079212,-0.05142857142857149,0.0,0.030612244897959107,0.011235955056179803,-0.02083333333333337,-0.06644518272425237,-0.022727272727272818,-0.01577287066246047,0.00990099009900991,-0.0284589415889151,0.05294525700774799,-0.010570824524313016,-0.0060606060606061,-0.04414587332053732,-0.02115384615384619,0.02499999999999991,0.011673151750972943,0.0,0.007827788649706457,-0.005736137667304075,0.01949317738791434,-0.015355086372360827,-0.013916500994035852,-0.004024144869215207,-0.03868471953578345,0.003898635477582957,-0.0019455252918287869,-0.037735849056603765,0.0,-0.014134275618374548,0.007042253521126751,0.007092198581560183,0.010291595197255532,0.031195840554592902,-0.03511705685618738,0.01754385964912264,0.005729164860697633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523477,0.032646834477497944,0.05963302752293598,-0.023254332313965342,0.015673981191222763,-0.02932551319648069,-0.037190082644628086,0.0297872340425529,-0.015337423312883347,-0.00911854103343468,0.02285714285714291,0.035502958579881616,-0.04716981132075493,0.010101010101009944,-0.04504504504504525,0.0277777777777779,0.006535947712418166,0.01588697604790379,-0.07007309289317487,0.0
2004-03-28,0.014957264957265126,0.004089979550102374,0.002132196162046851,0.003717472118959231,0.0,0.0,0.0,-0.009523809523809268,0.005291005291005346,-0.0181818181818183,-0.03508771929824561,0.017114914425427896,0.03464203233256358,-0.038548752834467126,0.027972027972027913,0.019002375296912177,-0.054216867469879415,0.05113636363636376,0.01980198019801982,0.03333333333333344,0.02127659574468077,-0.028469750889679735,-0.06644518272425237,-0.03525641025641035,0.035947712418300526,-0.022189349112426038,0.024311447278862697,0.0,0.008130081300812941,-0.016064257028112428,0.005893909626719207,-0.04315196998123838,0.02499999999999991,0.0019685039370078705,0.029126213592232997,0.005769230769230749,-0.005736137667304075,0.01949317738791434,-0.01814516129032251,0.004040404040403844,-0.004024144869215207,0.003883495145631022,0.003898635477582957,0.031372549019607954,0.0017921146953405742,0.0,-0.010489510489510412,0.007042253521126751,0.022071307300509213,0.01680672268907557,0.031195840554592902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666652,0.019086557638611834,0.05963302752293598,0.022935779816513735,-0.015432098765432167,0.012084592145014783,0.008583690987124193,-0.037190082644628086,-0.02180685358255452,-0.015337423312883347,-0.04469273743016766,0.02285714285714291,0.019801980198019375,0.020000000000000018,-0.047169811320754595,-0.04504504504504525,-0.008434112167821306,0.014559921253383346,-0.07182320441988987,0.0
2004-04-04,0.04631578947368409,0.044806517311609007,0.029787234042553123,0.022222222222222143,0.0,0.0,0.0014364983023902322,-0.0384615384615381,0.009224450013923802,0.005291005291005346,-0.0181818181818183,-0.009615384615384581,-0.05803571428571441,0.021226415094339535,-0.038548752834467126,0.027972027972027913,-0.019108280254777066,0.05113636363636376,-0.04854368932038844,0.021505376344086002,-0.02083333333333337,0.0073260073260073,-0.028469750889679735,0.023255813953488413,-0.01577287066246047,0.0,-0.012539184952978122,0.014957264957265126,-0.022177419354838745,0.010204081632652962,-0.025390625,-0.009803921568627416,-0.04315196998123838,-0.015717092337917515,-0.030188679245283012,-0.02294455066921608,0.005769230769230749,-0.005736137667304075,0.004106776180698102,0.012072434607645954,0.004040404040403844,-0.03868471953578345,0.003883495145631022,0.019011406844106515,-0.03220035778175312,0.0017921146953405742,-0.014134275618374548,-0.010489510489510412,-0.023255813953488302,0.0,0.01680672268907557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026666666666666727,-0.004501414730343767,-0.013392857142857206,0.022935779816513735,-0.018808777429467072,-0.023880597014925176,0.0382978723404257,0.008583690987124193,0.022292993630573132,-0.02180685358255452,-0.011695906432748648,-0.04469273743016766,-0.03883495145631033,0.03921568627451033,0.019801980198019375,-0.047169811320754595,-0.005710800620980172,0.03370583994232168,-0.07182320441988987,0.0
2004-04-11,0.014084507042253502,0.007797270955165692,0.05785123966942152,0.048913043478260976,0.0,0.0,0.0,-0.010000000000000675,0.013807863031071732,0.009224450013923802,0.005291005291005346,-0.016990291262136026,-0.016587677725118377,0.03464203233256358,0.021226415094339535,-0.038548752834467126,0.012987012987013102,0.05113636363636376,0.0,0.0,0.010638297872340496,0.014572094572094518,0.0073260073260073,-0.022727272727272818,-0.03525641025641035,-0.021671826625386914,-0.0284589415889151,0.04631578947368409,-0.024742268041236914,0.010101010101010166,0.0,0.02970297029702973,-0.009803921568627416,-0.019960079840319334,-0.01945525291828787,0.007827788649706457,-0.02294455066921608,0.005769230769230749,-0.002044989775051076,-0.013916500994035852,0.012072434607645954,-0.004024144869215207,-0.03868471953578345,0.005597014925373012,-0.005545286506469571,-0.03220035778175312,0.0,-0.014134275618374548,-0.010204081632652962,-0.018181818181818077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033482142857142794,0.0,0.01902038935896222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016794651749658662,0.0,-0.045662100456621,0.009345794392523477,-0.013392857142857206,0.05963302752293598,0.009584664536741228,0.009174311926605228,-0.004098360655737432,0.0382978723404257,0.02180685358255463,0.022292993630573132,-0.008875739644970349,-0.011695906432748648,0.010101010101009944,-0.04716981132075493,-0.02912621359223244,0.019801980198019375,0.0185185185185186,0.026315789473684736,-0.02047950344451288,0.0
