Date,RealEstate,SP500,Materials,Financials,Industrials,Technology,Staples,Utilities,NASDAQ,Financials (t-7),Financials (t-10),Industrials (t-16),Healthcare (t-10),Healthcare (t-15),Discretionary (t-1),Discretionary (t-4),Discretionary (t-19),NASDAQ (t-11),NASDAQ (t-16),10-Year Treasury Yield (t-1),Federal Funds Effective Rate (t-16),Federal Funds Effective Rate (t-23),1-Month Treasury Yield (t-14),20-Year Treasury Yield (t-6),20-Year Treasury Yield (t-17),30-Year Mortgage Rate (t-1),30-Year Mortgage Rate (t-15),PPI (t-24),GDP (t-6),Consumer Confidence Index (t-11),US Dollar Index (t-5),US Dollar Index (t-16),Building Permits (t-23),Discretionary
2004-03-28,-0.009018373040296956,-0.0002694954357709278,0.007053365740834261,-0.011263358667866097,0.00541571753250536,0.012658599913678792,-0.004430630983682238,-0.004979393978476132,0.010074904081633917,0.01514654867949039,0.018707471022474387,0.009119887000519133,0.004617561264877779,0.012077427949582997,-0.005366880832069043,0.007876525893353303,-0.018086054565021437,0.03998637850397513,-0.011447493375761675,0.005291005291005346,-0.02970297029702973,-0.020000000000000018,-0.011363636363636354,-0.0060606060606061,0.02970297029702973,-0.005545286506469571,-0.023255813953488302,0.0,0.0,0.0,0.0,0.0,0.0,0.0038540142732610416
2004-04-04,0.005607631263387092,0.03251345040747178,0.04124502190464652,0.021747242982249615,0.033474481430672,0.04399986142542667,0.015576464945127988,0.012092634245456813,0.003994747931428233,0.01051178538903419,0.008662710301032162,0.024361578057838562,0.010505864312046809,0.009984087899592708,0.0038540142732610416,0.015630018616869856,-0.012056274444097625,0.025655051974585064,0.005769397581208313,0.009224450013923802,0.010204081632652962,0.030612244897959107,-0.011363636363636354,0.008130081300812941,-0.02115384615384619,0.003717472118959231,-0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.0,0.02943027829347189
2004-04-11,-0.007295979528511631,-0.002355428928130232,-0.015695159895592115,-0.0023650615189000357,0.0033509891158653993,-0.006226254315059965,0.0004382571890071407,-0.007827910462897436,-0.014959712370934408,-0.0010062232825570616,-0.002061420448114748,0.020717621912901274,0.0064972531696234626,0.006097071966751466,0.02943027829347189,-0.03508769684116686,0.02915290408520521,-0.007750597559757155,0.0010364389590815648,0.013807863031071732,-0.010101010101010055,0.025207112547989463,-0.011363636363636354,-0.022177419354838745,0.005893909626719207,0.012969847170590687,-0.001718213058419349,0.0,0.0,0.0,0.0,0.0,0.0,-0.005593087438929278
2004-04-18,-0.030299615763304755,-0.004721106531001551,0.007213428163030722,-0.022350196667310307,0.005565847188308437,-0.03180703409762908,0.010950532186779105,-0.023671594978920574,-0.027834016523091365,0.003694979868305248,0.01514654867949039,0.002643024232327873,0.025177468648503343,0.017508846810131873,-0.005593087438929278,-0.005366880832069043,-0.014493166991024542,-0.027176904263893964,0.011337656659464734,0.02623129095956278,-0.010204081632653073,0.00990099009900991,-0.011363636363636354,-0.024742268041236914,-0.025390625,0.01974668969487614,0.0068846815834768815,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034374855416261507
2004-04-25,-0.025773636902515107,0.0046561154317930065,0.00021423692158628604,-0.008660021706340282,0.008118202457450208,0.0007714931299387384,0.008232471356175886,0.0017016937034766144,-0.0003806684674701466,0.01941088750756692,0.01051178538903419,0.007157055897286213,-0.006926911087974275,0.0033086067287313448,-0.0034374855416261507,0.0038540142732610416,0.015374183961055499,-0.0010356908642967788,0.01699830666526525,0.038004750593824355,0.04123711340206193,0.0,-0.011931818181818155,-0.010570824524313016,0.0,0.012880060756940037,0.0034188034188034067,0.0,0.0,0.0,0.0,0.0,0.0,0.011602076531216587
2004-05-02,-0.014814648706633182,-0.029730987003571796,-0.02165102758686349,-0.017470179399309727,-0.03367511047257832,0.02209014985492397,-0.003868172196069941,-0.011465237489628799,0.012966055324446446,-0.02921860480206151,-0.0010062232825570616,0.0059826206629733925,-0.006975059761070046,0.004617561264877779,0.011602076531216587,0.02943027829347189,0.01857321699765313,-0.005062936285401887,0.03998637850397513,0.02517162471395884,-0.01980198019801982,0.0,-0.012499999999999956,0.0,0.044088176352705455,0.008488964346349936,-0.035775127768313486,0.0,0.0,0.0,0.0,0.0,0.0,-0.026968586065075573
2004-05-09,-0.02201915454145764,-0.009011918608286762,-0.011594593145243415,-0.02347089609009778,-0.0068184372449267006,0.0015883520096372505,-0.010353401791467265,-0.023195779403853756,-0.004144384350942165,-0.0046486812941543,0.003694979868305248,0.033457392270413555,-0.00031911353814217946,0.010505864312046809,-0.026968586065075573,-0.005593087438929278,0.0071295447032402315,-0.007611174953176536,0.025655051974585064,0.018166169499836515,-0.010101010101010055,0.030612244897959107,-0.012499999999999956,0.007478632478632563,-0.04414587332053732,0.011784511784511675,-0.0035335689045937757,0.0,0.0,0.0,0.0,0.0,0.0,-0.03344982122092799
2004-05-16,0.008237329824431372,0.0007276268622027349,0.013327914563382004,0.010560942725401423,-0.0019065119164956013,-0.007653575333066875,-0.009590333277312624,-0.008355251502699557,-0.007148199762626151,-0.011263358667866097,0.01941088750756692,-0.013668784232618192,0.010220311972516605,0.0064972531696234626,-0.03344982122092799,-0.0034374855416261507,0.004504285738461844,-0.003979580853183395,-0.007750597559757155,0.005580357142857095,0.020408163265306145,-0.02970297029702973,0.011235955056179803,0.014520885999759314,-0.016064257028112428,0.01830282861896837,0.007092198581560183,0.0,0.015881984463050003,0.0,0.0,0.0,0.0,0.002307285717874752
2004-05-23,0.015011878113219801,-0.0020903935821688924,0.00945295989791628,0.005405550495316769,0.0019101536471863856,0.006169762534458334,-0.0022008616726134633,-0.00044336721887816566,0.004117088523204693,0.021747242982249615,-0.02921860480206151,-0.014223480492409513,-0.04362952669750031,0.025177468648503343,0.002307285717874752,0.011602076531216587,0.009609084901707643,0.008774206119272154,-0.027176904263893964,-0.003131524008350761,0.030000000000000027,0.010204081632652962,0.02228464419475662,0.02291526939414268,0.010204081632652962,0.035947712418300526,0.007042253521126751,0.0,0.0,0.0,0.0,0.0,0.0,0.0026308049374550446
2004-05-30,0.011194721463473,0.027775045294905487,0.043159865229747796,0.025089876779275544,0.03165510392666082,0.02963801244145836,0.016762378535829958,0.04525288747451239,0.03904106278913333,-0.0023650615189000357,-0.0046486812941543,0.0033300195366243734,-0.01970829870474855,-0.006926911087974275,0.0026308049374550446,-0.026968586065075573,0.006979480908238189,-0.030718452193057355,-0.0010356908642967788,-0.006263048016701522,-0.03883495145631066,-0.010101010101010055,0.03333333333333344,0.031746031746031855,0.010101010101010166,-0.006309148264984188,-0.010489510489510412,0.0,0.0,0.0,0.0,0.0,0.0,0.03607700935112623
