Date,SP500,SP500_prediction
2020-08-02,0.017576503957150935,0.00067335676
2020-08-09,0.04223053250623665,0.0011947817
2020-08-16,0.049015345357790396,0.0016956674
2020-08-23,0.05632663704304253,0.0015673828
2020-08-30,0.048821644605979764,0.0012062117
2020-09-06,0.024976834959081318,0.00045559142
2020-09-13,0.00013497105836046686,-2.4494948e-06
2020-09-20,-0.0061105892105028925,0.001003153
2020-09-27,-0.011917155046923367,0.0041067954
2020-10-04,-0.007048158122819503,0.009292226
2020-10-11,0.001358388770446639,0.015276616
2020-10-18,-0.0001813641093758589,0.021617468
2020-10-25,-0.0017211169891983569,0.026229559
2020-11-01,-0.006069156850747437,0.030253315
2020-11-08,0.016606190923431574,0.03350431
2020-11-15,0.02407622861233749,0.036084216
2020-11-22,0.016340956215970315,0.03863959
2020-11-29,0.03981215375086811,0.041767303
2020-12-06,0.05680559082917658,0.044927455
2020-12-13,0.04720716494316568,0.04729259
2020-12-20,0.05936572652424321,0.04848819
2020-12-27,0.05887814539151459,0.04876131
2021-01-03,0.07210305963276564,0.048312515
2021-01-10,0.09184199163965756,0.047717813
2021-01-17,0.07725870519429323,0.046463422
2021-01-24,0.07952261093476598,0.045295626
2021-01-31,0.09863370886107581,0.04278651
2021-02-07,0.11134937148412782,0.039213836
2021-02-14,0.1143834714782358,0.035422217
2021-02-21,0.10773600884339973,0.03113704
2021-02-28,0.08294312092060585,0.027776299
2021-03-07,0.0915401976115181,0.027278641
2021-03-14,0.11872796858669943,0.028436435
2021-03-21,0.11034259982942363,0.030485539
2021-03-28,0.12703134869914723,0.032615338
2021-04-04,0.13872389745496183,0.035014518
2021-04-11,0.1658825499834542,0.037201453
2021-04-18,0.17990473090208425,0.03891916
2021-04-25,0.1786586300254721,0.040252272
2021-05-02,0.1800022358114436,0.041230578
2021-05-09,0.19155269204864156,0.04284133
2021-05-16,0.17842843568049127,0.044417944
2021-05-23,0.1744916777526181,0.045908965
2021-05-30,0.186782620751904,0.046799228
2021-06-06,0.19287729360090122,0.046590317
2021-06-13,0.1969236866854024,0.0453561
2021-06-20,0.1779927784497184,0.04328075
2021-06-27,0.2061667706566055,0.040818557
2021-07-04,0.22283315958084704,0.038481083
2021-07-11,0.22698343760661066,0.035812903
2021-07-18,0.21738565865809112,0.032853987
2021-07-25,0.23732346100526014,0.02924885
2021-08-01,0.23407309037091228,0.0250382
2021-08-08,0.24314925838898738,0.020942008
2021-08-15,0.2509007703806305,0.0179286
2021-08-22,0.245159983564314,0.016249914
2021-08-29,0.2607002723241475,0.015939591
2021-09-05,0.26698557532210077,0.016466623
2021-09-12,0.2501232749783229,0.016727552
2021-09-19,0.24422821212524126,0.017127663
2021-09-26,0.24991471239859786,0.017585566
2021-10-03,0.22813098240580854,0.017918525
2021-10-10,0.23646733291177646,0.019404285
2021-10-17,0.2547609363271993,0.021840021
2021-10-24,0.27102111265105766,0.02417543
2021-10-31,0.2845496736885721,0.025784118
2021-11-07,0.30475661056170333,0.026562516
2021-11-14,0.30206728963665297,0.027666375
2021-11-21,0.30553423521223744,0.029216299
2021-11-28,0.28437784296751045,0.03069664
2021-12-05,0.2677535364573461,0.03206617
2021-12-12,0.25187787690597935,0.03383197
2021-12-19,0.2537146830997124,0.0356429
2021-12-26,0.27704739381431037,0.03675686
2022-01-02,0.2863120386500045,0.037020326
2022-01-09,0.2676367948050818,0.036118813
2022-01-16,0.25682948840572656,0.034515653
2022-01-23,0.2598919556559109,0.033522986
2022-01-30,0.2720607536981334,0.033609796
2022-02-06,0.2873340463284219,0.03496803
2022-02-13,0.26896981904011147,0.037566252
2022-02-20,0.2548255307131699,0.04100316
2022-02-27,0.26293183459997466,0.04526695
2022-03-06,0.2501849046793944,0.05005297
2022-03-13,0.22981225542808892,0.052832868
2022-03-20,0.22500275528565322,0.05376101
2022-03-27,0.23444652284887174,0.052729744
2022-04-03,0.23495468967814942,0.049746275
2022-04-10,0.22314239018517784,0.046788342
2022-04-17,0.20129096666933605,0.04552939
2022-04-24,0.17694565708879922,0.04555212
2022-05-01,0.16272508333666674,0.044282064
2022-05-08,0.15023066323748857,0.043706533
2022-05-15,0.12684377489816534,0.044383477
2022-05-22,0.1001025059526699,0.046268247
2022-05-29,0.07937150807254045,0.0487788
2022-06-05,0.06800516186394923,0.05146046
2022-06-12,0.056638815655358,0.054323304
2022-06-19,0.0396246683299491,0.05748852
2022-06-26,0.02750047865428651,0.06114075
2022-07-03,0.025914047745187907,0.06536204
2022-07-10,0.04540313436921728,0.06909281
2022-07-17,0.03629498554578259,0.072313786
2022-07-24,0.04467163632593468,0.07479479
2022-07-31,0.05939854339478895,0.07624167
2022-08-07,0.0629909071487586,0.07695326
2022-08-14,0.058980517426162726,0.07742745
2022-08-21,0.047367374227001324,0.07853761
2022-08-28,0.03575423102783992,0.08092345
2022-09-04,0.02414108782867852,0.083077945
2022-09-11,0.0036993090589128585,0.08477547
2022-09-18,-0.01994899492498134,0.085907355
2022-09-25,-0.03797518855239981,0.08712666
2022-10-02,-0.04475716146686684,0.088621154
2022-10-09,-0.029050692955430973,0.090710804
2022-10-16,-0.028309029431765914,0.09364942
2022-10-23,-0.03504976840198626,0.0973884
2022-10-30,-0.04927290986609201,0.101696186
2022-11-06,-0.05549613842634571,0.10563027
2022-11-13,-0.05618658572256768,0.108443305
2022-11-20,-0.05134425175475793,0.110328324
2022-11-27,-0.03543635525888472,0.11184647
2022-12-04,-0.02179058796436001,0.11466469
2022-12-11,-0.02658751677995408,0.11858685
2022-12-18,-0.03754586180582875,0.123626135
