Date,SP500,SP500_Pred
2020-08-09,0.024653830588842185,-0.0003132012
2020-08-16,0.031438930354790395,-0.0006264024
2020-08-23,0.039276415050313096,-0.00093960355
2020-08-30,0.07197318938462138,-0.0012528048
2020-09-06,0.04912552089496158,-0.001566006
2020-09-13,0.02428384106698267,-0.0018792072
2020-09-20,0.01803828139499497,-0.0021924083
2020-09-27,0.012231523779738351,-0.0025056095
2020-10-04,0.027776181698309088,-0.0028188108
2020-10-11,0.06674702024418155,-0.003132012
2020-10-18,0.06801555434608564,-0.0034452132
2020-10-25,0.06366769760616142,-0.0037584144
2020-11-01,0.03367259369776743,-0.0040716156
2020-11-08,0.017189091016846847,-0.0043848166
2020-11-15,0.024659083621180578,-0.0046980176
2020-11-22,0.01692372311482543,-0.0050112186
2020-11-29,0.040395010138809584,-0.0053244196
2020-12-06,0.057388445731265725,-0.0056376206
2020-12-13,0.04778976274306651,-0.0059508216
2020-12-20,0.05994832643509057,-0.0062640226
2020-12-27,0.05946074521872596,-0.0065772235
2021-01-03,0.07268583334579343,-0.0068904245
2021-01-10,0.09242485004078121,-0.0072036255
2021-01-17,0.07784139870895262,-0.0075168265
2021-01-24,0.09695241396804849,-0.0078300275
2021-01-31,0.06349559959689005,-0.0081432285
2021-02-07,0.11116226746139662,-0.0084564295
2021-02-14,0.12387793008444864,-0.00876963
2021-02-21,0.11723054809138561,-0.009082831
2021-02-28,0.0924376621813135,-0.009396032
2021-03-07,0.10103465491125091,-0.009709233
2021-03-14,0.1282223433506831,-0.010022434
2021-03-21,0.11983697391963294,-0.010335635
2021-03-28,0.13652604826428932,-0.010648836
2021-04-04,0.14821835512280684,-0.010962037
2021-04-11,0.1753770076512992,-0.011275238
2021-04-18,0.18939926526637424,-0.011588439
2021-04-25,0.1881529375764341,-0.01190164
2021-05-02,0.18949669502639693,-0.012214841
2021-05-09,0.2010471512635949,-0.012528042
2021-05-16,0.18792282013039757,-0.012841243
2021-05-23,0.183986137663616,-0.013154444
2021-05-30,0.1962770806629019,-0.013467645
2021-06-06,0.20237167837662579,-0.013780846
2021-06-13,0.20641807176331212,-0.014094047
2021-06-20,0.18748723649872384,-0.014407248
2021-06-27,0.21566138033439225,-0.014720449
2021-07-04,0.2323276193269454,-0.01503365
2021-07-11,0.23647767976827477,-0.015346851
2021-07-18,0.2268800431968439,-0.015660053
2021-07-25,0.2468179928547079,-0.015973255
2021-08-01,0.24356747944734108,-0.016286457
2021-08-08,0.25264364811650336,-0.016599659
2021-08-15,0.26039523174986884,-0.01691286
2021-08-22,0.25465430384588067,-0.017226063
2021-08-29,0.27019473671323985,-0.017539265
2021-09-05,0.2764800397111931,-0.017852467
2021-09-12,0.2596176699383754,-0.018165668
2021-09-19,0.2537226772888433,-0.01847887
2021-09-26,0.2594091775621999,-0.018792072
2021-10-03,0.23762537693245728,-0.019105274
2021-10-10,0.2459617280403928,-0.019418476
2021-10-17,0.2642553327658748,-0.019731678
2021-10-24,0.28051579153903555,-0.02004488
2021-10-31,0.2940442113655675,-0.020358082
2021-11-07,0.31425101030398866,-0.020671284
2021-11-14,0.31156168919895505,-0.020984486
2021-11-21,0.31502876921847195,-0.021297688
2021-11-28,0.2938723783885529,-0.02161089
2021-12-05,0.2817800218007402,-0.021924092
2021-12-12,0.31997857282865944,-0.022237293
2021-12-19,0.30031940789054773,-0.022550495
2021-12-26,0.32365212019052775,-0.022863697
2022-01-02,0.3329168320388933,-0.0231769
2022-01-09,0.3142415881939706,-0.023490101
2022-01-16,0.31130228628018625,-0.023803303
2022-01-23,0.25376220071491645,-0.024116505
2022-01-30,0.2628266475011453,-0.024429707
2022-02-06,0.2780999390515841,-0.024742909
2022-02-13,0.25973564340390337,-0.02505611
2022-02-20,0.24559142601796585,-0.025369313
2022-02-27,0.25369772932145057,-0.025682515
2022-03-06,0.24095072893057273,-0.025995716
2022-03-13,0.21295243265034886,-0.026308918
2022-03-20,0.2744444164991057,-0.02662212
2022-03-27,0.29282385487163615,-0.026935322
2022-04-03,0.2933319528552771,-0.027248524
2022-04-10,0.28151972213803017,-0.027561726
2022-04-17,0.25966836974083035,-0.027874928
2022-04-24,0.2328289644571228,-0.02818813
2022-05-01,0.19987429113445893,-0.028501332
2022-05-08,0.1982723392754258,-0.028814534
2022-05-15,0.17488537520822706,-0.029127736
2022-05-22,0.14478980086423449,-0.029440938
2022-05-29,0.21057019736333799,-0.02975414
2022-06-05,0.19920377614173762,-0.030067341
2022-06-12,0.14868499678031294,-0.030380543
2022-06-19,0.0913233071802168,-0.030693745
2022-06-26,0.1575233870894936,-0.031006947
2022-07-03,0.13486143864726702,-0.031320147
2022-07-10,0.1543504439159224,-0.031633347
2022-07-17,0.1452424539659531,-0.031946547
2022-07-24,0.1711038217333269,-0.032259747
2022-07-31,0.21387885559774905,-0.032572947
2022-08-07,0.21747129463491904,-0.032886147
2022-08-14,0.25043622309621133,-0.033199348
2022-08-21,0.23882300812058294,-0.033512548
2022-08-28,0.19895461014429577,-0.033825748
2022-09-04,0.16670772059446098,-0.034138948
2022-09-11,0.20331804003143633,-0.034452148
2022-09-18,0.15546701775703103,-0.034765348
2022-09-25,0.10979328566487795,-0.035078548
2022-10-02,0.08052295527350933,-0.035391748
2022-10-09,0.09622933594633659,-0.035704948
2022-10-16,0.0820062796252507,-0.036018148
2022-10-23,0.12859065441876888,-0.036331348
2022-10-30,0.16794514789929965,-0.03664455
2022-11-06,0.13537619821868702,-0.03695775
2022-11-13,0.19425758588203218,-0.03727095
2022-11-20,0.18803435732177848,-0.03758415
