Date,CorporateBonds,Dow_Jones,HighDividend,FTNT,Gold,RealEstate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ
2004-03-28,0.0,0.10203706222751197,0.0,0.0,0.0,0.23523923412648784,0.12232527688728034,0.14533374942923083,0.1834511941321505,0.1652469751618283,0.09862067795521823,0.11260033613954934,0.12124995956593188,0.17560034339048358,0.08274129769519567,0.10723532585984252,0.1136451489927428
2004-04-04,0.0,0.12904315287931678,0.0,0.0,0.0,0.2554730296742743,0.15483893857948294,0.18657872168722345,0.20915519631170298,0.18699305863432436,0.13209554663239065,0.1566004696848775,0.13682676743592548,0.18769337898411909,0.11909873320433617,0.1366661793591969,0.1632109194316509
2004-04-11,0.0,0.12647144436479907,0.0,0.0,0.0,0.1739517689550497,0.152484068554258,0.1708841505677252,0.22323022200145093,0.1846284756210349,0.13544583903862162,0.1503744813368959,0.13726514294679248,0.17986510398127076,0.11582017094990671,0.131072792265283,0.16112551121287344
2004-04-18,0.0,0.12675300019035685,0.0,0.0,0.0,0.13912623235800559,0.1477620507752585,0.1780976493001969,0.2570827350007775,0.16227799820770195,0.14101163190258614,0.11856729712314662,0.14821597984373136,0.15619381733564897,0.15134646553667563,0.1276351601083856,0.13329149468978208
2004-04-25,0.0,0.1292372038338404,0.0,0.0,0.0,0.1133528819530445,0.15241851855973787,0.17131235754926222,0.24267549469244043,0.15361888994822148,0.14912973452266998,0.15191678790313956,0.1564477082086958,0.15789512191850785,0.14721671773223033,0.1392373651942156,0.16036417427793315
2004-05-02,0.0,0.1047421425147691,0.0,0.0,0.0,0.09853797596296743,0.1226877487932031,0.11704328734629199,0.2340372497165405,0.13614897549540772,0.11545517178942555,0.0859248712940952,0.15257996249707828,0.14643076067081195,0.13158684781074725,0.11226910648968114,0.09712781415845517
2004-05-09,0.0,0.09301729403385484,0.0,0.0,0.0,0.07651901780343773,0.11367550358922718,0.08052583042134576,0.23135608520527529,0.11267693507182186,0.10863646901982826,0.09675513102861433,0.1422261732937795,0.12323403703403657,0.1380676497854555,0.0788188576184683,0.09598724521919699
2004-05-16,0.0,0.08609722257755148,0.0,0.0,0.0,0.08475568588206805,0.11440278641371227,0.0938539257536134,0.23438085646710893,0.1232389720400976,0.10672965710447402,0.0891023605221748,0.13263609076709804,0.114879055633891,0.12647760915650597,0.0811262272227462,0.08883904545657084
2004-05-23,0.0,0.08259612714169629,0.0,0.0,0.0,0.10654301245643072,0.11231260132611876,0.10330753741903342,0.2095899692394385,0.12864365726867366,0.10864011189779199,0.09527139305106447,0.1304353192300447,0.11443576766338914,0.10888753380882832,0.08375717345716338,0.09295613397977553
2004-05-30,0.0,0.106443057708563,0.0,0.0,0.0,0.16667070372791615,0.14008785211506825,0.1464666054267144,0.2315756227346637,0.15373340679743774,0.14029566360034784,0.12490899625426266,0.1471978405345391,0.15968862358610347,0.12878171617950185,0.11983427868218022,0.13199719676890886
2004-06-06,0.0,0.1111403016679594,0.0,0.0,0.0,0.167273669557075,0.14115177397964274,0.13631843586315817,0.22922253411748728,0.15513186750612806,0.14768928498786416,0.11448759359337224,0.15500635130497797,0.15289689556905017,0.13951016999082066,0.12046763945548555,0.12791010175038575
2004-06-13,0.0,0.12662859536998738,0.0,0.0,0.0,0.1652638469604909,0.15327761965206854,0.1505138488366331,0.24809055706208116,0.16246522774900762,0.1653041282544252,0.13705442828324266,0.1644773176674803,0.1524698696665432,0.13918843403303227,0.1343869704005347,0.13864991033032548
2004-06-20,0.0,0.12725516718927865,0.0,0.0,0.0,0.1798657491816048,0.15060797172537255,0.16457468244011686,0.28460933079562045,0.15609305336111734,0.17786539712891725,0.12430327024372623,0.1588052001782534,0.1676943556067818,0.13487546265530925,0.1307049617776278,0.13207947591182845
2004-06-27,0.0,0.1256247418975246,0.0,0.0,0.0,0.19925779698147295,0.15245616728780198,0.17844267639641642,0.2942189659906548,0.15889834246677803,0.19392545535321815,0.14318100073259588,0.14589073725706703,0.1757650685944787,0.12126586416625185,0.13007815513560061,0.15157884956361922
2004-07-04,0.0,0.11582110317137406,0.0,0.0,0.0,0.21750212670076496,0.1440233853053381,0.17160346954972683,0.2980257240231833,0.15400274383918588,0.1770655891571148,0.12319074327793911,0.14283814913870108,0.17534450948298463,0.11042463178031015,0.11125184484251638,0.14229214731895068
2004-07-11,0.0,0.10941575195415543,0.0,0.0,0.0,0.20878547549647464,0.13383564166908934,0.17083804070788355,0.3071916264923601,0.13748847172557022,0.17920933719284415,0.09980693318800471,0.14546275199484782,0.16986383789097215,0.09614361773794688,0.09398231809546842,0.11222722496170512
2004-07-18,0.0,0.1037025389021512,0.0,0.0,0.0,0.22197523235831684,0.12470654602845,0.17926087129631063,0.3297407009424168,0.12962808136920068,0.18206122474141317,0.06261915274545748,0.14066374511392432,0.19063534307879715,0.08367760669865809,0.08031513044190675,0.07976616590844265
2004-07-25,0.0,0.08521623440050485,0.0,0.0,0.0,0.19121351786754404,0.10889939706891039,0.1450924407734243,0.30493254407695536,0.1220665109716137,0.16002101555000747,0.059973859696844434,0.1104129924454249,0.1690404799603562,0.0703714278448685,0.07437650947737906,0.06167941862215154
2004-08-01,0.0,0.10455182357229098,0.0,0.0,0.0,0.19907381678428782,0.1261533080548748,0.17378711484871878,0.32409053367557206,0.13694355669245928,0.17274321204675025,0.0912736590603247,0.10272836257419193,0.19280965403892436,0.0703714278448685,0.08433274813609748,0.08237609657652689
2004-08-08,0.0,0.07133341724064068,0.0,0.0,0.0,0.20993270029473687,0.09015577229088456,0.13251853190430263,0.2772495269730392,0.11441939486786223,0.13146527513634854,0.03468892515119548,0.08678299382827015,0.20234509777000254,0.03440983255389707,0.04325518885958002,0.023844617918231892
2004-08-15,0.0,0.07468728205982378,0.0,0.0,0.0,0.203584391086566,0.09333788667679177,0.1341126449509874,0.283715286635145,0.12063705312933637,0.13258867130371055,0.01887654867848798,0.10854200292343508,0.20727351176835573,0.04768162368848938,0.03811483083491651,0.01277469024507527
2004-08-22,0.0,0.10353248569617957,0.0,0.0,0.0,0.25419934424517665,0.12403071102251051,0.18664019785883557,0.2930312498464037,0.16025922754606703,0.1643761328069191,0.0526719515865931,0.12213518248670929,0.2170809383788317,0.08095574497436053,0.08840773051574813,0.05875643992653046
2004-08-29,0.0,0.11252025021491197,0.0,0.0,0.0,0.2657987481240258,0.13281094526917547,0.19836012973811112,0.2978053794501071,0.17074885737376166,0.17561212841936236,0.06231776697654323,0.12481706803381332,0.22072358575454865,0.09500160826121928,0.09299907915821015,0.07185202432348448
2004-09-05,0.0,0.119373411913409,0.0,0.0,0.0,0.2876222376245905,0.1388223973212117,0.20844955784717734,0.33803341709005486,0.1769766630005276,0.18600622605677541,0.04586389543651659,0.13685479377918386,0.23523979668756456,0.10006874507338082,0.10246709769920981,0.06239491662471397
2004-09-12,0.0,0.12296931339841388,0.0,0.0,0.0,0.28083510523660715,0.1472064057899627,0.19957071154267203,0.34655957452130626,0.18523040597142515,0.19203690779779126,0.08363968756037876,0.12319852428610534,0.2392144634940916,0.09906039168392033,0.10990572102219354,0.08941070354170533
2004-09-19,0.0,0.12190735337446246,0.0,0.0,0.0,0.27810161429633073,0.1521682542981324,0.19301846832996172,0.3747974126443615,0.18756207340977538,0.20367579390131896,0.08519983435138545,0.11397297918132865,0.24357839237224188,0.10643873426496264,0.12005316590384474,0.09774086425376782
2004-09-26,0.0,0.09967645126964675,0.0,0.0,0.0,0.2676293185667886,0.13723212747589908,0.18999856506203983,0.39543415581803687,0.16121874332809105,0.18234015858188946,0.07014367589908677,0.08862154879136663,0.2316549517040134,0.08365780862548655,0.11305139661376062,0.08171544875014958
2004-10-03,0.0,0.11397395781206388,0.0,0.0,0.0,0.2986371009067488,0.1568804561423608,0.23884347195121702,0.41883135250944703,0.17808494838209066,0.21093212187666965,0.10335366802132517,0.1048781998489754,0.2473429029274703,0.07988726026802206,0.12555150574281104,0.11508636589473242
2004-10-10,0.0,0.09968250534123413,0.0,0.0,0.0,0.2997241017614296,0.14684994533995277,0.23703817984428688,0.4402820771908439,0.1749750928118109,0.19668554863355758,0.1002922801586863,0.09253821558791608,0.25843196697879245,0.044098763926959994,0.12396857652694648,0.10364059253069902
2004-10-17,0.0,0.08746823333363962,0.0,0.0,0.0,0.3154689573601712,0.1357396439962365,0.21099865948416485,0.41182098209303686,0.14759198861630551,0.18857839407816457,0.09568679834877114,0.08791112386371969,0.2603902618257221,0.03303553597603692,0.12048078068946177,0.09922908045896428
2004-10-24,0.0,0.07112761829748337,0.0,0.0,0.0,0.30967843025157893,0.12432495860524606,0.19206034484482903,0.4209223310419953,0.1240711439744685,0.17578511204269698,0.09414378763774944,0.08186666482357041,0.26351775483764905,0.008856350568388738,0.1160267728987977,0.10113335178956195
2004-10-31,0.0,0.09792797804127762,0.0,0.0,0.0,0.32679331707801795,0.15350967491903333,0.22499031124119218,0.4113392416928674,0.16823153640349464,0.20782282934492002,0.12195031808263279,0.10151177314957516,0.2872904681558117,0.04990655116236531,0.1534188438189138,0.13238431784330207
2004-11-07,0.0,0.13618340435761978,0.0,0.0,0.0,0.3275862792187514,0.18955196755226533,0.2645647834288265,0.4281297311281178,0.19654355585516903,0.24793472165784736,0.15752172093108874,0.14508941990665725,0.31279440201965336,0.0705109475334198,0.18946306879727393,0.16476420406454106
2004-11-14,0.0,0.1499038929944998,0.0,0.0,0.0,0.37380080242783564,0.20242679866136137,0.2931165634984991,0.4328870320353031,0.21047934758771925,0.2727498944305724,0.1763893247833087,0.15475954836875516,0.34545976439584347,0.07433905780807826,0.2067096486937262,0.18752119927665756
2004-11-21,0.0,0.14491028071619316,0.0,0.0,0.0,0.34224853332752814,0.19382337592103271,0.2848917385373593,0.4462578302590423,0.19237692079596047,0.2662055889865943,0.17401469330548158,0.1408287674572476,0.32676840917077477,0.05942976229492214,0.19326330741046627,0.18046709564936636
2004-11-28,0.0,0.14825721821416715,0.0,0.0,0.0,0.36831308457037715,0.2017436910782916,0.31149788067721973,0.4814417557681514,0.20535049293018437,0.2714753397925199,0.17782300504011928,0.14480223713027762,0.3564387289943065,0.0664695168427244,0.21311506595820162,0.19560262911711312
2004-12-05,0.0,0.15559567343302338,0.0,0.0,0.0,0.39913422262437626,0.20934838883511098,0.30072726668955163,0.4370978379153486,0.21714683234241017,0.28359858060750887,0.2029538953398835,0.14788067079759448,0.31908489223440417,0.0891886437909385,0.20904761664587235,0.21748209974484567
2004-12-12,0.0,0.15379809315988802,0.0,0.0,0.0,0.4094019695825114,0.21001945598422644,0.2871176586574776,0.42487224518142896,0.2178130235974105,0.2823037912845189,0.18722715171664317,0.15226426941309923,0.31945458330344556,0.09704938929320617,0.21254779443583383,0.20822220061272034
2004-12-19,0.0,0.16511854558354033,0.0,0.0,0.0,0.4089955527745083,0.21566935019144096,0.30201129477631794,0.4426212522350207,0.2230204429630651,0.28962411287720247,0.19173705573234157,0.15288781276320884,0.3457822292307401,0.10726083723907143,0.21945275193911074,0.21157259913507565
2004-12-26,0.0,0.18032552903807686,0.0,0.0,0.0,0.40846904546548746,0.22680433222015728,0.3214984588429567,0.4553813811610866,0.24201367990352396,0.3002966005997433,0.2012791047494228,0.16208624810194372,0.36358748127430707,0.11601492631147725,0.22901006464055307,0.22347788510216904
2005-01-02,0.0,0.1744073213873366,0.0,0.0,0.0,0.42162758720858406,0.2276322322061589,0.31848020541242006,0.45017715742504816,0.24037867066040675,0.29453651648094126,0.19891654411377235,0.16382217085338124,0.35787575384181936,0.1236916142121417,0.24134508981650105,0.23033694565652563
