,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2008-04-06 00:00:00+00:00,3.5,1.83,2.26,1.5,1.35,2.63,4.32,4.32,5.42,5.88
2008-04-13 00:00:00+00:00,3.49,1.76,2.37,0.9,1.19,2.57,4.28,4.3,5.42,5.88
2008-04-20 00:00:00+00:00,3.77,2.19,2.32,0.9,1.35,2.95,4.52,4.51,5.4,5.88
2008-04-27 00:00:00+00:00,3.91,2.44,2.28,0.8,1.34,3.2,4.61,4.61,5.62,6.03
2008-05-04 00:00:00+00:00,3.89,2.47,1.88,1.25,1.5,3.18,4.57,4.57,5.59,6.06
2008-05-11 00:00:00+00:00,3.77,2.25,1.97,1.6,1.69,2.98,4.52,4.53,5.6,6.05
2008-05-18 00:00:00+00:00,3.85,2.47,1.91,1.85,1.84,3.12,4.57,4.58,5.6,6.01
2008-05-25 00:00:00+00:00,3.85,2.46,1.99,1.92,1.86,3.15,4.56,4.57,5.55,5.98
2008-06-01 00:00:00+00:00,4.06,2.66,1.98,1.98,1.89,3.41,4.74,4.72,5.66,6.08
2008-06-08 00:00:00+00:00,3.94,2.4,2.01,1.75,1.85,3.2,4.67,4.65,5.65,6.09
2008-06-15 00:00:00+00:00,4.27,3.05,2.02,1.86,1.99,3.73,4.86,4.79,5.93,6.32
2008-06-22 00:00:00+00:00,4.16,2.88,1.99,1.49,1.87,3.57,4.76,4.71,6.02,6.42
2008-06-29 00:00:00+00:00,3.99,2.65,1.99,1.29,1.68,3.36,4.58,4.53,6.04,6.45
2008-07-06 00:00:00+00:00,3.99,2.54,1.92,1.86,1.84,3.28,4.58,4.53,5.92,6.35
2008-07-13 00:00:00+00:00,3.96,2.59,1.97,1.38,1.62,3.27,4.57,4.52,5.91,6.37
2008-07-20 00:00:00+00:00,4.11,2.66,1.96,1.28,1.48,3.42,4.71,4.66,5.78,6.26
2008-07-27 00:00:00+00:00,4.13,2.7,2.13,1.72,1.75,3.45,4.75,4.69,6.18,6.63
2008-08-03 00:00:00+00:00,3.97,2.51,2.04,1.52,1.66,3.23,4.61,4.57,6.07,6.52
2008-08-10 00:00:00+00:00,3.94,2.51,2.01,1.63,1.7,3.21,4.58,4.55,6.1,6.52
2008-08-17 00:00:00+00:00,3.84,2.4,2.08,1.73,1.85,3.11,4.5,4.47,6.07,6.52
2008-08-24 00:00:00+00:00,3.87,2.42,2.02,1.67,1.7,3.14,4.5,4.46,6.0,6.47
2008-08-31 00:00:00+00:00,3.83,2.36,1.94,1.63,1.72,3.1,4.47,4.43,5.93,6.4
2008-09-07 00:00:00+00:00,3.66,2.23,1.97,1.53,1.68,2.91,4.31,4.27,5.9,6.35
2008-09-14 00:00:00+00:00,3.74,2.23,2.1,1.37,1.49,2.97,4.36,4.32,5.54,5.93
2008-09-21 00:00:00+00:00,3.78,2.16,1.48,0.75,0.99,3.01,4.42,4.36,5.35,5.78
2008-09-28 00:00:00+00:00,3.85,2.11,1.08,0.21,0.87,3.05,4.44,4.36,5.77,6.09
2008-10-05 00:00:00+00:00,3.63,1.6,1.1,0.15,0.51,2.64,4.26,4.11,5.78,6.1
2008-10-12 00:00:00+00:00,3.89,1.62,0.79,0.07,0.25,2.77,4.41,4.15,5.63,5.94
2008-10-19 00:00:00+00:00,3.98,1.64,0.6,0.13,0.83,2.83,4.66,4.32,6.14,6.46
2008-10-26 00:00:00+00:00,3.76,1.57,0.95,0.33,0.89,2.64,4.44,4.11,5.72,6.04
2008-11-02 00:00:00+00:00,4.01,1.56,0.22,0.12,0.46,2.8,4.74,4.35,6.19,6.46
2008-11-09 00:00:00+00:00,3.83,1.33,0.27,0.13,0.31,2.56,4.57,4.25,5.88,6.2
2008-11-16 00:00:00+00:00,3.72,1.22,0.34,0.06,0.15,2.33,4.43,4.22,5.81,6.14
2008-11-23 00:00:00+00:00,3.2,1.09,0.57,0.03,0.02,2.02,3.93,3.7,5.73,6.04
2008-11-30 00:00:00+00:00,2.93,1.0,0.52,0.02,0.01,1.93,3.71,3.45,5.74,5.97
2008-12-07 00:00:00+00:00,2.67,0.93,0.12,0.02,0.02,1.67,3.41,3.11,5.33,5.53
2008-12-14 00:00:00+00:00,2.6,0.78,0.15,0.03,0.02,1.55,3.36,3.07,5.2,5.47
2008-12-21 00:00:00+00:00,2.13,0.74,0.11,0.0,0.02,1.35,2.89,2.55,4.92,5.19
2008-12-28 00:00:00+00:00,2.16,0.89,0.09,0.01,0.03,1.51,2.91,2.61,4.91,5.14
2009-01-04 00:00:00+00:00,2.46,0.88,0.08,0.04,0.08,1.72,3.22,2.83,4.83,5.1
2009-01-11 00:00:00+00:00,2.43,0.75,0.09,0.03,0.07,1.51,3.39,3.04,4.62,5.01
2009-01-18 00:00:00+00:00,2.36,0.73,0.19,0.04,0.12,1.47,3.22,2.89,4.65,4.96
2009-01-25 00:00:00+00:00,2.65,0.83,0.18,0.03,0.11,1.64,3.65,3.32,4.8,5.12
2009-02-01 00:00:00+00:00,2.87,0.94,0.23,0.15,0.24,1.85,3.86,3.58,4.8,5.1
2009-02-08 00:00:00+00:00,3.05,0.99,0.23,0.21,0.28,1.97,3.94,3.7,4.92,5.25
2009-02-15 00:00:00+00:00,2.89,0.97,0.22,0.23,0.29,1.88,3.91,3.68,4.81,5.16
2009-02-22 00:00:00+00:00,2.78,0.96,0.2,0.19,0.27,1.81,3.82,3.56,4.68,5.04
2009-03-01 00:00:00+00:00,3.02,1.0,0.22,0.16,0.26,1.99,3.98,3.71,4.68,5.07
2009-03-08 00:00:00+00:00,2.83,0.91,0.2,0.09,0.21,1.83,3.74,3.5,4.72,5.15
2009-03-15 00:00:00+00:00,2.89,0.98,0.15,0.09,0.2,1.87,3.84,3.66,4.64,5.03
2009-03-22 00:00:00+00:00,2.65,0.89,0.18,0.09,0.22,1.66,3.67,3.65,4.61,4.98
2009-03-29 00:00:00+00:00,2.78,0.9,0.15,0.03,0.14,1.79,3.66,3.62,4.58,4.85
2009-04-05 00:00:00+00:00,2.91,0.96,0.13,0.16,0.21,1.87,3.77,3.7,4.52,4.78
2009-04-12 00:00:00+00:00,2.96,0.96,0.15,0.13,0.18,1.9,3.85,3.76,4.54,4.87
2009-04-19 00:00:00+00:00,2.98,0.99,0.13,0.04,0.14,1.91,3.91,3.79,4.48,4.82
2009-04-26 00:00:00+00:00,3.03,0.99,0.16,0.07,0.1,1.96,3.99,3.89,4.48,4.8
2009-05-03 00:00:00+00:00,3.21,0.92,0.22,0.06,0.16,2.03,4.14,4.09,4.48,4.78
2009-05-10 00:00:00+00:00,3.29,1.0,0.17,0.15,0.19,2.15,4.25,4.28,4.51,4.84
2009-05-17 00:00:00+00:00,3.14,0.88,0.17,0.11,0.17,2.01,4.07,4.09,4.52,4.86
2009-05-24 00:00:00+00:00,3.45,0.92,0.17,0.13,0.18,2.23,4.36,4.38,4.5,4.82
2009-05-31 00:00:00+00:00,3.47,0.92,0.19,0.14,0.14,2.34,4.34,4.34,4.53,4.91
2009-06-07 00:00:00+00:00,3.84,1.32,0.21,0.08,0.2,2.85,4.64,4.63,4.79,5.29
2009-06-14 00:00:00+00:00,3.81,1.3,0.17,0.08,0.19,2.81,4.63,4.65,5.06,5.59
2009-06-21 00:00:00+00:00,3.79,1.25,0.25,0.1,0.19,2.82,4.54,4.52,4.89,5.38
2009-06-28 00:00:00+00:00,3.52,1.1,0.18,0.07,0.2,2.53,4.28,4.3,4.87,5.42
2009-07-05 00:00:00+00:00,3.51,0.98,0.16,0.15,0.17,2.43,4.28,4.32,4.77,5.32
2009-07-12 00:00:00+00:00,3.32,0.91,0.15,0.15,0.18,2.22,4.16,4.2,4.69,5.2
2009-07-19 00:00:00+00:00,3.67,1.02,0.15,0.15,0.17,2.52,4.51,4.53,4.63,5.14
2009-07-26 00:00:00+00:00,3.7,1.05,0.15,0.15,0.18,2.57,4.53,4.55,4.68,5.2
2009-08-02 00:00:00+00:00,3.52,1.13,0.18,0.14,0.18,2.53,4.29,4.31,4.69,5.25
2009-08-09 00:00:00+00:00,3.89,1.32,0.17,0.14,0.19,2.84,4.59,4.61,4.63,5.22
2009-08-16 00:00:00+00:00,3.55,1.07,0.15,0.1,0.18,2.51,4.33,4.41,4.68,5.29
2009-08-23 00:00:00+00:00,3.56,1.13,0.16,0.11,0.17,2.58,4.32,4.36,4.56,5.12
2009-08-30 00:00:00+00:00,3.46,1.01,0.14,0.11,0.15,2.46,4.17,4.21,4.58,5.14
2009-09-06 00:00:00+00:00,3.45,0.94,0.15,0.09,0.14,2.36,4.21,4.27,4.54,5.08
2009-09-13 00:00:00+00:00,3.34,0.9,0.15,0.08,0.14,2.29,4.1,4.18,4.5,5.07
2009-09-20 00:00:00+00:00,3.49,1.03,0.16,0.03,0.08,2.49,4.2,4.24,4.47,5.04
2009-09-27 00:00:00+00:00,3.34,0.98,0.13,0.03,0.1,2.36,4.07,4.1,4.46,5.04
2009-10-04 00:00:00+00:00,3.24,0.88,0.13,0.04,0.1,2.22,3.98,4.01,4.36,4.94
2009-10-11 00:00:00+00:00,3.4,0.98,0.12,0.04,0.07,2.36,4.2,4.22,4.33,4.87
2009-10-18 00:00:00+00:00,3.43,0.97,0.12,0.06,0.07,2.37,4.22,4.24,4.37,4.92
2009-10-25 00:00:00+00:00,3.51,1.04,0.11,0.02,0.07,2.46,4.27,4.29,4.43,5.0
2009-11-01 00:00:00+00:00,3.41,0.9,0.11,0.01,0.05,2.31,4.19,4.23,4.46,5.03
2009-11-08 00:00:00+00:00,3.54,0.86,0.12,0.06,0.06,2.3,4.35,4.4,4.4,4.98
2009-11-15 00:00:00+00:00,3.43,0.82,0.12,0.05,0.06,2.28,4.29,4.36,4.36,4.91
2009-11-22 00:00:00+00:00,3.36,0.75,0.11,0.04,0.02,2.2,4.2,4.3,4.32,4.83
2009-11-29 00:00:00+00:00,3.21,0.68,0.12,0.06,0.03,2.03,4.07,4.21,4.29,4.78
2009-12-06 00:00:00+00:00,3.48,0.84,0.12,0.08,0.06,2.24,4.31,4.4,4.27,4.71
2009-12-13 00:00:00+00:00,3.55,0.83,0.12,0.01,0.03,2.26,4.39,4.49,4.32,4.81
2009-12-20 00:00:00+00:00,3.55,0.82,0.12,0.01,0.05,2.3,4.36,4.46,4.38,4.94
2009-12-27 00:00:00+00:00,3.82,1.0,0.11,0.02,0.05,2.57,4.6,4.68,4.45,5.05
2010-01-03 00:00:00+00:00,3.85,1.14,0.05,0.04,0.06,2.69,4.58,4.63,4.54,5.14
2010-01-10 00:00:00+00:00,3.83,0.96,0.11,0.02,0.05,2.57,4.61,4.7,4.5,5.09
2010-01-17 00:00:00+00:00,3.7,0.89,0.12,0.03,0.06,2.44,4.48,4.58,4.45,5.06
2010-01-24 00:00:00+00:00,3.62,0.84,0.11,0.02,0.06,2.37,4.38,4.5,4.4,4.99
2010-01-31 00:00:00+00:00,3.63,0.82,0.12,0.02,0.08,2.34,4.38,4.51,4.39,4.98
2010-02-07 00:00:00+00:00,3.59,0.77,0.13,0.03,0.1,2.23,4.36,4.51,4.4,5.01
2010-02-14 00:00:00+00:00,3.69,0.84,0.12,0.04,0.1,2.35,4.52,4.66,4.34,4.97
2010-02-21 00:00:00+00:00,3.78,0.95,0.13,0.06,0.11,2.48,4.58,4.71,4.33,4.93
2010-02-28 00:00:00+00:00,3.61,0.81,0.13,0.09,0.13,2.3,4.4,4.55,4.4,5.05
2010-03-07 00:00:00+00:00,3.69,0.91,0.17,0.11,0.15,2.35,4.49,4.64,4.33,4.97
2010-03-14 00:00:00+00:00,3.71,0.97,0.17,0.1,0.15,2.42,4.47,4.62,4.32,4.95
2010-03-21 00:00:00+00:00,3.7,1.02,0.18,0.13,0.16,2.48,4.41,4.58,4.33,4.96
2010-03-28 00:00:00+00:00,3.86,1.04,0.17,0.11,0.14,2.59,4.6,4.75,4.34,4.99
2010-04-04 00:00:00+00:00,3.96,1.11,0.2,0.15,0.16,2.67,4.65,4.81,4.39,5.08
2010-04-11 00:00:00+00:00,3.9,1.08,0.19,0.16,0.16,2.65,4.58,4.74,4.52,5.21
2010-04-18 00:00:00+00:00,3.79,0.98,0.21,0.15,0.16,2.49,4.5,4.67,4.4,5.07
2010-04-25 00:00:00+00:00,3.84,1.1,0.2,0.14,0.16,2.61,4.51,4.67,4.39,5.07
2010-05-02 00:00:00+00:00,3.69,0.97,0.2,0.14,0.16,2.43,4.36,4.53,4.39,5.06
2010-05-09 00:00:00+00:00,3.45,0.83,0.2,0.08,0.13,2.17,4.11,4.28,4.36,5.0
2010-05-16 00:00:00+00:00,3.44,0.79,0.2,0.15,0.16,2.16,4.13,4.32,4.3,4.93
2010-05-23 00:00:00+00:00,3.2,0.76,0.2,0.17,0.17,2.02,3.91,4.07,4.24,4.84
2010-05-30 00:00:00+00:00,3.31,0.76,0.19,0.15,0.16,2.1,4.05,4.22,4.21,4.78
2010-06-06 00:00:00+00:00,3.2,0.72,0.19,0.12,0.14,1.98,3.95,4.13,4.2,4.79
2010-06-13 00:00:00+00:00,3.24,0.75,0.18,0.04,0.08,2.03,3.97,4.15,4.17,4.72
2010-06-20 00:00:00+00:00,3.24,0.74,0.18,0.04,0.11,2.04,3.97,4.15,4.2,4.75
2010-06-27 00:00:00+00:00,3.12,0.65,0.16,0.05,0.13,1.9,3.89,4.07,4.13,4.69
2010-07-04 00:00:00+00:00,3.0,0.63,0.18,0.16,0.17,1.82,3.77,3.94,4.04,4.58
2010-07-11 00:00:00+00:00,3.07,0.63,0.18,0.16,0.16,1.85,3.85,4.04,4.07,4.57
2010-07-18 00:00:00+00:00,2.96,0.61,0.19,0.14,0.15,1.7,3.74,3.95,4.06,4.57
2010-07-25 00:00:00+00:00,3.02,0.6,0.19,0.15,0.16,1.75,3.81,4.01,4.03,4.56
2010-08-01 00:00:00+00:00,2.94,0.55,0.18,0.14,0.15,1.6,3.74,3.98,4.0,4.54
2010-08-08 00:00:00+00:00,2.86,0.5,0.18,0.14,0.15,1.51,3.71,4.0,3.95,4.49
2010-08-15 00:00:00+00:00,2.68,0.54,0.19,0.14,0.15,1.47,3.56,3.87,3.92,4.44
2010-08-22 00:00:00+00:00,2.62,0.49,0.2,0.15,0.15,1.47,3.38,3.67,3.9,4.42
2010-08-29 00:00:00+00:00,2.66,0.56,0.19,0.17,0.15,1.49,3.41,3.69,3.86,4.36
2010-09-05 00:00:00+00:00,2.72,0.52,0.19,0.15,0.14,1.49,3.49,3.79,3.83,4.32
2010-09-12 00:00:00+00:00,2.81,0.58,0.18,0.1,0.14,1.59,3.58,3.88,3.83,4.35
2010-09-19 00:00:00+00:00,2.75,0.48,0.21,0.12,0.16,1.46,3.6,3.9,3.82,4.37
2010-09-26 00:00:00+00:00,2.62,0.45,0.21,0.09,0.15,1.37,3.5,3.79,3.82,4.37
2010-10-03 00:00:00+00:00,2.54,0.42,0.2,0.15,0.16,1.26,3.4,3.71,3.75,4.32
2010-10-10 00:00:00+00:00,2.41,0.35,0.18,0.14,0.12,1.11,3.39,3.75,3.72,4.27
2010-10-17 00:00:00+00:00,2.59,0.37,0.2,0.14,0.14,1.2,3.62,3.98,3.62,4.19
2010-10-24 00:00:00+00:00,2.59,0.35,0.19,0.13,0.13,1.17,3.59,3.94,3.64,4.21
2010-10-31 00:00:00+00:00,2.63,0.34,0.2,0.14,0.12,1.17,3.64,3.99,3.66,4.23
2010-11-07 00:00:00+00:00,2.58,0.38,0.18,0.13,0.13,1.1,3.69,4.12,3.63,4.24
2010-11-14 00:00:00+00:00,2.76,0.51,0.19,0.11,0.13,1.35,3.88,4.26,3.57,4.17
2010-11-21 00:00:00+00:00,2.88,0.52,0.21,0.12,0.14,1.54,3.91,4.25,3.76,4.39
2010-11-28 00:00:00+00:00,2.87,0.51,0.2,0.16,0.16,1.53,3.88,4.21,3.77,4.4
2010-12-05 00:00:00+00:00,3.03,0.49,0.18,0.14,0.14,1.64,4.01,4.32,3.81,4.46
2010-12-12 00:00:00+00:00,3.32,0.64,0.16,0.09,0.13,1.98,4.19,4.43,3.96,4.61
2010-12-19 00:00:00+00:00,3.33,0.61,0.2,0.05,0.11,1.97,4.19,4.41,4.17,4.83
2010-12-26 00:00:00+00:00,3.41,0.67,0.19,0.07,0.14,2.09,4.26,4.47,4.15,4.81
2011-01-02 00:00:00+00:00,3.3,0.61,0.13,0.07,0.12,2.01,4.13,4.34,4.2,4.86
2011-01-09 00:00:00+00:00,3.34,0.6,0.17,0.13,0.14,1.96,4.25,4.48,4.13,4.77
2011-01-16 00:00:00+00:00,3.35,0.59,0.16,0.14,0.15,1.95,4.27,4.53,4.08,4.71
2011-01-23 00:00:00+00:00,3.44,0.63,0.17,0.15,0.16,2.04,4.33,4.57,4.05,4.74
2011-01-30 00:00:00+00:00,3.36,0.54,0.17,0.13,0.15,1.92,4.26,4.53,4.09,4.8
2011-02-06 00:00:00+00:00,3.68,0.77,0.17,0.13,0.15,2.27,4.51,4.73,4.08,4.81
2011-02-13 00:00:00+00:00,3.64,0.85,0.15,0.08,0.12,2.38,4.49,4.71,4.29,5.05
2011-02-20 00:00:00+00:00,3.59,0.78,0.15,0.08,0.1,2.3,4.46,4.7,4.27,5.0
2011-02-27 00:00:00+00:00,3.42,0.72,0.15,0.12,0.13,2.16,4.26,4.51,4.22,4.95
2011-03-06 00:00:00+00:00,3.49,0.68,0.15,0.11,0.12,2.17,4.34,4.6,4.15,4.87
2011-03-13 00:00:00+00:00,3.4,0.64,0.13,0.04,0.08,2.06,4.29,4.54,4.15,4.88
2011-03-20 00:00:00+00:00,3.28,0.61,0.15,0.06,0.07,1.96,4.17,4.43,3.97,4.76
2011-03-27 00:00:00+00:00,3.46,0.79,0.13,0.04,0.09,2.2,4.28,4.51,4.04,4.81
2011-04-03 00:00:00+00:00,3.46,0.8,0.11,0.03,0.07,2.24,4.27,4.48,4.09,4.86
2011-04-10 00:00:00+00:00,3.59,0.83,0.09,0.02,0.04,2.31,4.41,4.63,4.1,4.87
2011-04-17 00:00:00+00:00,3.43,0.71,0.12,0.04,0.07,2.14,4.25,4.47,4.13,4.91
2011-04-24 00:00:00+00:00,3.42,0.68,0.1,0.03,0.06,2.14,4.24,4.47,4.02,4.8
2011-05-01 00:00:00+00:00,3.32,0.61,0.09,0.02,0.04,1.97,4.15,4.4,3.97,4.78
2011-05-08 00:00:00+00:00,3.19,0.57,0.09,0.02,0.02,1.87,4.03,4.29,3.89,4.71
2011-05-15 00:00:00+00:00,3.18,0.57,0.09,0.01,0.03,1.86,4.03,4.32,3.82,4.63
2011-05-22 00:00:00+00:00,3.15,0.55,0.1,0.03,0.05,1.82,4.0,4.3,3.8,4.61
2011-05-29 00:00:00+00:00,3.07,0.48,0.1,0.04,0.05,1.71,3.94,4.24,3.78,4.6
2011-06-05 00:00:00+00:00,2.99,0.42,0.11,0.04,0.04,1.6,3.9,4.22,3.74,4.55
2011-06-12 00:00:00+00:00,2.99,0.41,0.09,0.02,0.05,1.58,3.87,4.18,3.68,4.49
2011-06-19 00:00:00+00:00,2.94,0.38,0.1,0.02,0.04,1.53,3.86,4.19,3.67,4.5
2011-06-26 00:00:00+00:00,2.88,0.35,0.08,0.01,0.02,1.4,3.83,4.17,3.69,4.5
2011-07-03 00:00:00+00:00,3.22,0.5,0.08,0.01,0.02,1.8,4.12,4.4,3.69,4.51
2011-07-10 00:00:00+00:00,3.03,0.4,0.07,0.03,0.03,1.57,3.97,4.27,3.75,4.6
2011-07-17 00:00:00+00:00,2.94,0.37,0.06,0.02,0.02,1.46,3.92,4.26,3.65,4.51
2011-07-24 00:00:00+00:00,2.99,0.4,0.06,0.05,0.05,1.53,3.93,4.26,3.66,4.52
2011-07-31 00:00:00+00:00,2.82,0.36,0.11,0.16,0.1,1.35,3.77,4.12,3.66,4.55
2011-08-07 00:00:00+00:00,2.58,0.28,0.08,0.01,0.01,1.23,3.49,3.82,3.54,4.39
2011-08-14 00:00:00+00:00,2.24,0.2,0.1,0.01,0.02,0.96,3.24,3.72,3.5,4.32
2011-08-21 00:00:00+00:00,2.07,0.2,0.09,0.0,0.02,0.9,2.97,3.39,3.36,4.15
2011-08-28 00:00:00+00:00,2.19,0.2,0.09,0.0,0.01,0.94,3.13,3.54,3.44,4.22
2011-09-04 00:00:00+00:00,2.02,0.2,0.08,0.02,0.02,0.88,2.92,3.32,3.39,4.22
2011-09-11 00:00:00+00:00,1.93,0.17,0.09,0.0,0.01,0.81,2.86,3.26,3.33,4.12
2011-09-18 00:00:00+00:00,2.08,0.18,0.09,0.01,0.01,0.94,2.96,3.34,3.3,4.09
2011-09-25 00:00:00+00:00,1.84,0.23,0.08,0.0,0.01,0.89,2.59,2.89,3.29,4.09
2011-10-02 00:00:00+00:00,1.92,0.25,0.06,0.02,0.02,0.96,2.66,2.9,3.28,4.01
2011-10-09 00:00:00+00:00,2.1,0.3,0.07,0.01,0.01,1.08,2.78,3.02,3.26,3.94
2011-10-16 00:00:00+00:00,2.26,0.28,0.07,0.02,0.02,1.12,2.97,3.22,3.37,4.12
2011-10-23 00:00:00+00:00,2.23,0.3,0.07,0.01,0.02,1.08,2.98,3.26,3.38,4.11
2011-10-30 00:00:00+00:00,2.34,0.28,0.07,0.02,0.01,1.13,3.09,3.36,3.38,4.1
2011-11-06 00:00:00+00:00,2.06,0.22,0.08,0.01,0.01,0.88,2.81,3.09,3.31,4.0
2011-11-13 00:00:00+00:00,2.04,0.24,0.08,0.01,0.01,0.9,2.8,3.12,3.3,3.99
2011-11-20 00:00:00+00:00,2.01,0.29,0.08,0.02,0.01,0.94,2.69,2.99,3.31,4.0
2011-11-27 00:00:00+00:00,1.97,0.28,0.07,0.02,0.02,0.93,2.62,2.92,3.3,3.98
2011-12-04 00:00:00+00:00,2.05,0.25,0.08,0.02,0.02,0.92,2.74,3.03,3.3,4.0
2011-12-11 00:00:00+00:00,2.07,0.22,0.07,0.0,0.01,0.89,2.79,3.1,3.27,3.99
2011-12-18 00:00:00+00:00,1.86,0.24,0.07,0.0,0.0,0.81,2.54,2.86,3.21,3.94
2011-12-25 00:00:00+00:00,2.03,0.28,0.08,0.0,0.01,0.97,2.73,3.05,3.21,3.91
2012-01-01 00:00:00+00:00,1.89,0.25,0.04,0.01,0.02,0.83,2.57,2.89,3.24,3.95
2012-01-08 00:00:00+00:00,1.98,0.25,0.07,0.02,0.02,0.86,2.7,3.02,3.23,3.91
2012-01-15 00:00:00+00:00,1.89,0.24,0.09,0.02,0.03,0.8,2.59,2.91,3.16,3.89
2012-01-22 00:00:00+00:00,2.05,0.26,0.09,0.03,0.05,0.91,2.78,3.1,3.17,3.88
2012-01-29 00:00:00+00:00,1.93,0.22,0.09,0.05,0.06,0.75,2.71,3.07,3.24,3.98
2012-02-05 00:00:00+00:00,1.97,0.23,0.11,0.06,0.08,0.78,2.76,3.13,3.14,3.87
2012-02-12 00:00:00+00:00,1.96,0.27,0.12,0.05,0.09,0.81,2.75,3.11,3.16,3.87
2012-02-19 00:00:00+00:00,2.01,0.29,0.09,0.03,0.09,0.88,2.8,3.16,3.16,3.87
2012-02-26 00:00:00+00:00,1.98,0.31,0.09,0.08,0.1,0.89,2.75,3.1,3.19,3.95
2012-03-04 00:00:00+00:00,1.99,0.28,0.11,0.06,0.07,0.84,2.77,3.11,3.17,3.9
2012-03-11 00:00:00+00:00,2.04,0.33,0.12,0.06,0.09,0.9,2.83,3.19,3.13,3.88
2012-03-18 00:00:00+00:00,2.31,0.37,0.15,0.07,0.09,1.13,3.08,3.41,3.16,3.92
2012-03-25 00:00:00+00:00,2.25,0.37,0.14,0.06,0.08,1.1,2.99,3.31,3.3,4.08
2012-04-01 00:00:00+00:00,2.23,0.33,0.09,0.05,0.07,1.04,3.0,3.35,3.23,3.99
2012-04-08 00:00:00+00:00,2.07,0.32,0.12,0.06,0.07,0.89,2.85,3.21,3.21,3.98
2012-04-15 00:00:00+00:00,2.02,0.27,0.15,0.07,0.09,0.86,2.77,3.14,3.11,3.88
2012-04-22 00:00:00+00:00,1.99,0.29,0.12,0.04,0.08,0.86,2.75,3.12,3.13,3.9
2012-04-29 00:00:00+00:00,1.96,0.26,0.13,0.07,0.09,0.82,2.73,3.12,3.12,3.88
2012-05-06 00:00:00+00:00,1.91,0.27,0.16,0.05,0.07,0.78,2.67,3.07,3.07,3.84
2012-05-13 00:00:00+00:00,1.84,0.27,0.15,0.07,0.1,0.75,2.59,3.02,3.05,3.83
2012-05-20 00:00:00+00:00,1.71,0.32,0.16,0.06,0.08,0.75,2.4,2.8,3.04,3.79
2012-05-27 00:00:00+00:00,1.75,0.3,0.15,0.07,0.09,0.76,2.44,2.85,3.04,3.78
2012-06-03 00:00:00+00:00,1.47,0.25,0.16,0.03,0.07,0.62,2.13,2.53,2.97,3.75
2012-06-10 00:00:00+00:00,1.65,0.28,0.17,0.04,0.09,0.71,2.36,2.77,2.94,3.67
2012-06-17 00:00:00+00:00,1.6,0.29,0.18,0.05,0.09,0.68,2.3,2.7,2.98,3.71
2012-06-24 00:00:00+00:00,1.69,0.31,0.17,0.05,0.09,0.76,2.37,2.75,2.95,3.66
2012-07-01 00:00:00+00:00,1.67,0.33,0.09,0.04,0.09,0.72,2.38,2.76,2.94,3.66
2012-07-08 00:00:00+00:00,1.57,0.27,0.17,0.06,0.08,0.64,2.28,2.66,2.89,3.62
2012-07-15 00:00:00+00:00,1.52,0.25,0.19,0.08,0.1,0.63,2.2,2.58,2.86,3.56
2012-07-22 00:00:00+00:00,1.49,0.22,0.13,0.07,0.09,0.59,2.17,2.55,2.83,3.53
2012-07-29 00:00:00+00:00,1.58,0.25,0.14,0.07,0.11,0.65,2.27,2.63,2.8,3.49
2012-08-05 00:00:00+00:00,1.6,0.24,0.14,0.03,0.09,0.67,2.3,2.65,2.83,3.55
2012-08-12 00:00:00+00:00,1.65,0.27,0.13,0.1,0.1,0.71,2.37,2.74,2.84,3.59
2012-08-19 00:00:00+00:00,1.81,0.29,0.13,0.09,0.09,0.81,2.55,2.93,2.88,3.62
2012-08-26 00:00:00+00:00,1.68,0.28,0.13,0.1,0.1,0.72,2.41,2.79,2.89,3.66
2012-09-02 00:00:00+00:00,1.57,0.22,0.13,0.09,0.09,0.59,2.29,2.68,2.86,3.59
2012-09-09 00:00:00+00:00,1.67,0.25,0.15,0.09,0.11,0.64,2.42,2.81,2.86,3.55
2012-09-16 00:00:00+00:00,1.88,0.27,0.16,0.08,0.11,0.72,2.68,3.09,2.85,3.55
2012-09-23 00:00:00+00:00,1.77,0.27,0.15,0.05,0.11,0.68,2.57,2.95,2.77,3.49
2012-09-30 00:00:00+00:00,1.65,0.23,0.09,0.06,0.1,0.62,2.42,2.82,2.73,3.4
2012-10-07 00:00:00+00:00,1.75,0.27,0.15,0.1,0.11,0.67,2.55,2.96,2.69,3.36
2012-10-14 00:00:00+00:00,1.69,0.27,0.16,0.12,0.11,0.67,2.44,2.83,2.7,3.39
2012-10-21 00:00:00+00:00,1.79,0.3,0.16,0.11,0.1,0.77,2.55,2.94,2.66,3.37
2012-10-28 00:00:00+00:00,1.78,0.3,0.16,0.12,0.12,0.76,2.53,2.92,2.72,3.41
2012-11-04 00:00:00+00:00,1.75,0.28,0.16,0.08,0.09,0.73,2.51,2.91,2.7,3.39
2012-11-11 00:00:00+00:00,1.61,0.27,0.16,0.13,0.09,0.65,2.34,2.75,2.69,3.4
2012-11-18 00:00:00+00:00,1.58,0.24,0.16,0.07,0.06,0.62,2.31,2.73,2.65,3.34
2012-11-25 00:00:00+00:00,1.7,0.29,0.16,0.16,0.1,0.7,2.42,2.83,2.63,3.31
