,Industrial Production
2020-12-06 00:00:00+00:00,97.9754
2021-01-03 00:00:00+00:00,98.7836
2021-02-07 00:00:00+00:00,95.3744
2021-03-07 00:00:00+00:00,98.1351
2021-04-04 00:00:00+00:00,98.2886
2021-06-06 00:00:00+00:00,99.5096
2021-07-04 00:00:00+00:00,100.1231
2021-09-05 00:00:00+00:00,99.0614
2021-10-03 00:00:00+00:00,100.3045
2021-11-07 00:00:00+00:00,101.1971
2021-12-05 00:00:00+00:00,100.886
2022-02-06 00:00:00+00:00,101.6766
2022-03-06 00:00:00+00:00,102.478
2022-04-03 00:00:00+00:00,102.7953
2022-06-05 00:00:00+00:00,102.6863
2022-07-03 00:00:00+00:00,103.1328
2022-08-07 00:00:00+00:00,103.2344
2022-09-04 00:00:00+00:00,103.5283
2022-11-06 00:00:00+00:00,103.0707
2022-12-04 00:00:00+00:00,101.4848
2023-02-05 00:00:00+00:00,102.5671
2023-03-05 00:00:00+00:00,102.6592
2023-05-07 00:00:00+00:00,102.7864
2023-06-04 00:00:00+00:00,102.3673
2023-08-06 00:00:00+00:00,103.4886
