Date,CorporateBonds,Dow_Jones,HighDividend,FTNT,Gold,RealEstate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,10-Year Euro Gov Bond Yield,3-Month Euro Gov Bond Yield,3-Month China Gov Bond Yield,10-Year India Gov Bond Yield,CPI,PPI,China CPI,Europe CPI,Unemployment Rate,GDP,Real GDP,Consumer Confidence Index,Government Debt,Government Debt to GDP,Debt Service vs Disposable Income,Credit Card Delinquency,US Dollar Index,Corporate Profits,EBIT,Retained Earnings,VIX,Building Permits,Residential Property Prices,Housing Starts,Velocity of Money,Retail Sales,Industrial Production,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
2003-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-26,0.0,-0.011510849348196128,0.0,0.0,0.0,-0.02621528090816616,-0.006522379083210295,-0.007808831594174226,-0.01258651813185574,-0.008547112291972359,-0.00783790221050129,-0.02008222680749816,-0.0066502084134512085,0.0018305447595849955,0.0,-0.010880496456119104,-0.024456702655097584,-0.038548752834467126,-0.0736842105263158,0.030612244897959107,0.022222222222222143,0.021505376344086002,-0.06006006006006015,-0.03383458646616555,-0.01862197392923659,0.005597014925373012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005107832009080493,0.0,0.0,0.0,0.0,0.0,0.0,-0.09166666666666679,-0.054597701149425304,-0.01195219123505964,-0.011695906432748648,0.0277777777777779,0.07291666666666607,0.10365853658536572
2003-11-02,0.0,0.019235042568843896,0.0,0.0,0.0,0.013623862773767925,0.016605731293103165,0.04547478908502045,-0.0016450948156535583,0.018366597379508187,0.028274029733414974,0.03100372395102302,0.015781318985599757,0.006848976531390827,0.0017893237176813681,0.03437584880890365,0.035709880701408236,0.021226415094339535,0.05113636363636376,0.01980198019801982,0.04347826086956519,0.010526315789473717,0.04472843450479247,0.011673151750972943,0.00189753320683117,-0.024118738404452666,-0.018181818181818077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,0.05963302752293598,0.024316109422492405,-2.220446049250313e-16,-0.008875739644970349,-0.04504504504504525,-0.07766990291262066,-0.11049723756906038
2003-11-09,0.0,0.0008153970920039555,0.0,0.0,0.0,0.02720451995082196,0.0029434090544535607,0.003345696810950649,-0.0028826811540011432,-0.00257682383512714,0.008492276709870072,0.02191607052482225,0.0075333128311854125,-0.010884620188518546,-0.014285886664355374,0.010634447117015222,0.019940912258924692,0.03464203233256358,0.10270270270270276,-0.04854368932038844,-0.01041666666666663,0.0,0.061162079510703515,0.02499999999999991,0.01893939393939381,0.009505703422053147,0.006734006734006703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515527950310557,0.0,0.0,0.0,0.0,0.0,0.0,0.08658008658008676,0.04451038575667665,-0.01612903225806439,-0.017910447761193993,-0.047169811320754595,-0.05263157894736914,-0.06832298136645987
2003-11-16,0.0,-0.0014258436272108765,0.0,0.0,0.0,0.01434127154873277,-0.0014200093713411244,-0.007920142781084882,0.014869875894160334,-0.010701280250797862,-0.004811512156737807,-0.016458673509058386,-0.011682662060949367,0.00091728256623691,0.051812283872102016,-0.018085978274723247,-0.02054049781774403,-0.05803571428571441,-0.0980392156862745,0.0,-0.03157894736842093,-0.01041666666666663,-0.08069164265129691,-0.04315196998123838,-0.03159851301115235,0.015065913370998052,0.00836120401337781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005906674542233148,0.0,0.0,0.0,0.0,0.0,0.0,-0.10756972111553786,-0.07102272727272751,-0.02459016393442648,-0.00911854103343468,0.019801980198019375,0.10000000000000098,0.206666666666667
2003-11-23,0.0,-0.011934843710964538,0.0,0.0,0.0,-0.027863935692399644,-0.011852467763157848,-0.01428551085193508,-0.02442013745581617,-0.009697550858061454,-0.005238256893743687,-0.022312041003335392,-0.0023634502596331375,-0.01786507889409794,-0.02376885714290955,-0.012056194272048737,-0.018847204365607606,-0.016587677725118377,0.0,0.0,0.010869565217391353,-0.010526315789473717,-0.012539184952978122,-0.009803921568627416,-0.015355086372360827,-0.04081632653061218,-0.03316749585406309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12042502951593859,0.0,0.0,0.0,0.0,0.0,0.0,-0.013392857142857206,-0.018348623853210788,-0.029411764705882137,-0.015337423312883347,-0.02912621359223244,-0.010101010101010832,-0.07182320441988987
2003-11-30,0.0,0.01647824892016181,0.0,0.0,0.0,0.030148748912739665,0.02149476696226027,0.04219950599707034,0.02085950656406843,0.01958542970266941,0.021466241416095322,0.03215766085791549,0.018482835597745106,0.030783029964498,0.009173637598649975,0.02915240757639781,0.035049741647660504,0.04578313253012034,0.11956521739130443,0.030612244897959107,0.032258064516129004,-0.010638297872340274,0.07301587301587298,0.02970297029702973,0.01949317738791434,0.009671179883945724,0.010291595197255532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1401475237091675,0.0,0.0,0.0,0.0,0.0,0.0,0.10859728506787314,0.06230529595015555,-0.012987012987013324,-0.02180685358255452,-0.04000000000000048,-0.09183673469387654,-0.07738095238095233
2003-12-07,0.0,0.007341720844703081,0.0,0.0,0.0,0.005874084189257056,0.0037580710727578293,0.03476492867143999,0.043318068145395516,0.001108339624482646,0.00912033216078112,-0.0035178043634268574,-0.009306433191519692,0.010407635050452058,0.013287155157795327,-0.014492609588421801,-0.011447493375761675,-0.025345622119815503,-0.0873786407766991,-0.02970297029702973,-0.03124999999999989,-0.010752688172043001,-0.044378698224852076,-0.02115384615384619,-0.005736137667304075,0.026819923371647514,0.022071307300509213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04718137254901955,0.0,0.0,0.0,0.0,0.0,0.0,-0.05714285714285705,-0.02932551319648069,0.03070175438596534,0.022292993630573132,0.041666666666667185,0.08988764044943731,0.15483870967741886
2003-12-14,0.0,0.01852140153365167,0.0,0.0,0.0,0.01385923821437518,0.01207225523568245,0.021738954940417887,0.028986111931311953,0.009225435853926545,0.024361457026809807,0.006051231187539807,0.005636195233744701,0.0053736376498083605,0.012077338368074564,0.015374183961055499,0.005769397581208313,0.007092198581560183,-0.02127659574468077,0.010204081632652962,-0.05376344086021512,-0.010869565217391353,0.0,0.005893909626719207,0.005769230769230749,-0.022388059701492602,-0.023255813953488302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03978935049736687,0.0,0.0,0.0,0.0,0.0,0.0,0.0043290043290042934,0.012084592145014783,0.0297872340425529,0.02180685358255463,0.02999999999999936,8.881784197001252e-16,-0.09497206703910566
2003-12-21,0.0,0.022429897857358716,0.0,0.0,0.0,0.008414958407555684,0.011786346159200711,0.013658507204550308,0.036991380756948855,0.014423946613775218,0.020716861591305147,0.004035328232702362,0.0037677959238247016,0.022382872331976778,0.009984181319807606,0.01857321699765313,0.0010364389590815648,-0.025821596244131273,-0.010869565217391353,-0.010101010101010055,-0.011363636363636354,-0.03296703296703296,-0.021671826625386914,-0.025390625,-0.02294455066921608,-0.019083969465648942,-0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006093845216332827,0.0,0.0,0.0,0.0,0.0,0.0,-0.01724137931034464,-0.023880597014925176,-0.037190082644628086,-0.0335365853658538,-0.03883495145631033,-0.010309278350516204,0.030864197530864113
