,US Dollar Index
2008-06-15 00:00:00+00:00,87.7622
2008-06-22 00:00:00+00:00,86.9036
2008-06-29 00:00:00+00:00,86.643
2008-07-06 00:00:00+00:00,86.8781
2008-07-13 00:00:00+00:00,86.221
2008-07-20 00:00:00+00:00,86.0735
2008-07-27 00:00:00+00:00,86.3916
2008-08-03 00:00:00+00:00,86.8257
2008-08-10 00:00:00+00:00,88.8939
2008-08-17 00:00:00+00:00,89.7244
2008-08-24 00:00:00+00:00,89.2381
2008-08-31 00:00:00+00:00,90.0567
2008-09-07 00:00:00+00:00,91.341
2008-09-14 00:00:00+00:00,91.4706
2008-09-21 00:00:00+00:00,91.0014
2008-09-28 00:00:00+00:00,90.6872
2008-10-05 00:00:00+00:00,93.5414
2008-10-12 00:00:00+00:00,97.999
2008-10-19 00:00:00+00:00,97.7255
2008-10-26 00:00:00+00:00,101.8442
2008-11-02 00:00:00+00:00,99.7662
2008-11-09 00:00:00+00:00,99.3944
2008-11-16 00:00:00+00:00,100.9705
2008-11-23 00:00:00+00:00,103.6289
2008-11-30 00:00:00+00:00,101.6468
2008-12-07 00:00:00+00:00,103.4902
2008-12-14 00:00:00+00:00,100.319
2008-12-21 00:00:00+00:00,98.1278
2008-12-28 00:00:00+00:00,98.2594
2009-01-04 00:00:00+00:00,98.6008
2009-01-11 00:00:00+00:00,98.8752
2009-01-18 00:00:00+00:00,100.711
2009-01-25 00:00:00+00:00,102.1096
2009-02-01 00:00:00+00:00,102.1169
2009-02-08 00:00:00+00:00,101.7455
2009-02-15 00:00:00+00:00,102.2958
2009-02-22 00:00:00+00:00,104.0244
2009-03-01 00:00:00+00:00,104.9284
2009-03-08 00:00:00+00:00,105.3937
2009-03-15 00:00:00+00:00,104.1106
2009-03-22 00:00:00+00:00,101.0581
2009-03-29 00:00:00+00:00,101.8388
2009-04-05 00:00:00+00:00,100.6429
2009-04-12 00:00:00+00:00,100.7597
2009-04-19 00:00:00+00:00,100.5719
2009-04-26 00:00:00+00:00,100.0244
2009-05-03 00:00:00+00:00,100.0057
2009-05-10 00:00:00+00:00,98.1269
2009-05-17 00:00:00+00:00,98.1063
2009-05-24 00:00:00+00:00,95.8788
2009-05-31 00:00:00+00:00,95.268
2009-06-07 00:00:00+00:00,96.0412
2009-06-14 00:00:00+00:00,95.836
2009-06-21 00:00:00+00:00,96.0325
2009-06-28 00:00:00+00:00,96.1935
2009-07-05 00:00:00+00:00,96.3216
2009-07-12 00:00:00+00:00,97.0819
2009-07-19 00:00:00+00:00,95.6036
2009-07-26 00:00:00+00:00,94.7046
2009-08-02 00:00:00+00:00,94.2526
2009-08-09 00:00:00+00:00,94.4692
2009-08-16 00:00:00+00:00,94.475
