,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,Unemployment Rate,GDP,Real GDP,CPI,PPI,Consumer Confidence Index,Government Debt,Government Debt to GDP,US Dollar Index,Corporate Profits,Building Permits,Velocity of Money,Retail Sales,Industrial Production,3m10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2003-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-31,0.268361581920904,0.36363636363636354,-0.28275862068965507,0.3739837398373984,0.20132743362831862,0.155925155925156,0.13822894168466515,0.13358778625954204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33712121212121215,0.13437500000000013,0.0277777777777779,-0.15748031496063009,0.03614457831325324,0.0,0.0,0.015359128997128213
2003-08-31,-0.008908685968819552,0.08333333333333326,-0.028846153846153855,0.02366863905325456,-0.018416206261510082,-0.046762589928057485,0.07400379506641386,0.06397306397306401,-0.016129032258064613,0.0,0.0,0.004354926510615087,0.0,-0.017601760176017667,0.0,0.0,0.0,0.0,0.04297082228116711,0.0,0.01687567678304891,-0.002239816418579732,-0.016997167138810165,-0.06887052341597799,-0.10810810810810823,-0.20560747663551393,0.0872093023255811,0.0,0.0,0.02299264230496334
2003-09-30,-0.11011235955056187,-0.23076923076923073,0.15841584158415833,-0.17630057803468202,-0.07879924953095685,-0.04339622641509422,-0.06360424028268552,-0.05379746835443033,0.0,0.0,0.0,0.003252032520325132,0.0,-0.017917133258678497,0.0,0.0,0.0,0.0,-0.0025432349949134903,0.0,-0.005522277984638335,0.006577019754190783,-0.13256484149855918,0.00887573964497057,0.12121212121212088,0.3058823529411774,0.03743315508021405,0.0,0.0,-0.0012075732802665495
2003-10-31,0.09343434343434343,0.2333333333333334,-0.11965811965811957,0.1473684210526316,0.05906313645621175,0.041420118343195256,-0.007547169811320753,-0.006688963210702337,-0.016393442622950727,0.01777218661656188,0.01154045727617814,-0.0010804970286331095,0.0,0.021664766248574496,0.03164291232022087,0.013628517153499997,0.0,0.06898280567864234,0.026007139214686337,0.011967341460686676,-0.006026842238541441,0.0012868928431906124,0.1196013289036546,-0.017595307917888547,-0.04504504504504492,-0.14414414414414423,-0.1701030927835051,0.0,0.0,0.04428853715121117
2003-11-30,0.002309468822170757,0.11351351351351346,-0.01941747572815533,0.03363914373088672,0.0,-0.009469696969696906,-0.0076045627376425395,-0.008417508417508546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011869436201780381,-0.06268656716417909,-0.09433962264150952,-0.06315789473684164,-0.03726708074534191,0.0,0.0,0.009961715231838308
2003-12-31,-0.016129032258064613,-0.10679611650485432,-0.06930693069306937,-0.038461538461538436,-0.019230769230769384,0.0,-0.013409961685823646,-0.006791171477079749,-0.04999999999999993,0.0,0.0,0.0032449972958354945,0.0,0.033482142857142794,0.0,0.0,0.0,0.0,-0.0124254473161034,0.0,0.010365258913103581,0.0073409434921121175,-0.026392961876832932,0.03821656050955413,0.062499999999999556,0.07865168539325862,0.01935483870967758,0.0,0.0,0.049369070222594846
2004-01-31,-0.025761124121779777,0.0,0.09574468085106402,-0.024615384615384595,-0.019607843137254832,-0.02294455066921608,-0.03495145631067975,-0.029059829059829068,0.0,0.012844885686098317,0.005729164860697633,0.004312668463611891,0.0,0.12095032397408212,0.01902038935896222,0.006097186015487921,0.0,0.1366830269454773,-0.017614494212380483,-0.0006631299734748408,0.0046863968416350765,0.0016794651749658662,-0.02409638554216842,-0.030674846625766805,-0.029411764705881693,-0.010416666666667407,-0.07594936708860767,0.0,0.0,0.02068709540840774
2004-02-29,-0.04086538461538458,-0.09782608695652184,0.009708737864077666,-0.050473186119873836,-0.030000000000000027,-0.019569471624266255,-0.01609657947686116,-0.017605633802816878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06481481481481477,0.009493670886075778,-0.010101010101009833,0.07368421052631513,0.047945205479452246,0.0,0.0,0.013570971946463173
2004-03-31,-0.03258145363408527,-0.036144578313252906,0.009615384615384581,-0.06976744186046513,-0.016494845360824795,-0.015968063872255467,-0.03885480572597122,-0.032258064516129004,0.01754385964912264,0.0,0.0,0.004294149221685473,0.0,-0.07707129094412335,0.0,0.0,0.0,0.0,0.058401639344262346,0.0,0.02615869464671783,0.002225784440087919,-0.03960396039603964,-0.006269592476489061,0.08163265306122414,0.049019607843137525,0.07843137254901977,0.0,0.0,-0.01438039098785493
2004-04-30,0.17357512953367893,0.44374999999999987,-0.01904761904761909,0.2964285714285715,0.1132075471698113,0.09330628803245444,0.13829787234042534,0.11296296296296293,-0.034482758620689724,0.015881984463050003,0.0077873875800889,0.0016034206306787535,0.0,-0.01670146137787054,0.020090539032862953,0.0041427593304919075,0.0,0.04252614387182474,0.0019361084220717029,0.0025436850254367815,-0.011379795883427857,0.0040753248858509394,0.21993127147766334,-0.05362776025236593,-0.15094339622641484,-0.19626168224299112,-0.11515151515151534,0.0,0.0,-0.010090681200739082
