,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2003-12-21,4.15,1.82,0.98,0.87,0.88,3.16,4.99,5.11,5.14,5.82,2.2800000000000002,3.2700000000000005,2.33,3.17,0.9900000000000002,0.96,1.67,45.85300064086914,33.886558532714844,75.11876678466797
2003-12-28,4.17,1.82,0.97,0.76,0.87,3.17,4.99,5.15,5.13,5.81,2.3,3.3,2.3499999999999996,3.17,1.0,0.9800000000000004,1.6399999999999997,45.85300064086914,33.886558532714844,75.67063903808594
2004-01-04,4.38,1.94,1.01,0.88,0.93,3.36,5.21,5.3,5.15,5.85,2.4299999999999997,3.4499999999999997,2.44,3.27,1.02,0.9199999999999999,1.58,45.85300064086914,33.886558532714844,76.72602081298828
2004-01-11,4.11,1.68,0.99,0.87,0.87,3.05,4.98,5.14,5.17,5.87,2.1799999999999997,3.24,2.4300000000000006,3.3000000000000007,1.0600000000000005,1.0299999999999994,1.6000000000000005,45.85300064086914,33.886558532714844,77.52613830566406
2004-01-18,4.04,1.7,0.98,0.8,0.89,3.03,4.9,5.04,4.97,5.66,2.1399999999999997,3.15,2.34,3.2,1.0100000000000002,1.0,1.67,45.85300064086914,33.886558532714844,78.79541778564453
2004-01-25,4.09,1.71,1.0,0.79,0.9,3.06,4.95,5.08,4.95,5.64,2.16,3.19,2.38,3.24,1.0299999999999998,0.9900000000000002,1.6499999999999995,45.85300064086914,33.886558532714844,78.93334197998047
2004-02-01,4.16,1.84,1.03,0.85,0.92,3.17,5.0,5.11,4.97,5.68,2.25,3.24,2.3200000000000003,3.16,0.9900000000000002,0.9500000000000002,1.46,45.85300064086914,33.886558532714844,78.2780532836914
2004-02-08,4.12,1.77,0.99,0.89,0.93,3.12,4.95,5.08,5.03,5.72,2.19,3.19,2.35,3.18,1.0,0.96,1.5199999999999996,45.85300064086914,33.886558532714844,78.9471206665039
2004-02-15,4.05,1.7,1.01,0.9,0.92,3.01,4.92,5.08,4.96,5.66,2.09,3.13,2.3499999999999996,3.2199999999999998,1.04,1.0300000000000002,1.5600000000000005,45.85300064086914,33.886558532714844,79.41622161865234
2004-02-22,4.1,1.75,0.99,0.93,0.94,3.08,4.96,5.09,4.87,5.58,2.14,3.1599999999999997,2.3499999999999996,3.21,1.0199999999999996,0.9900000000000002,1.5300000000000002,45.85300064086914,33.886558532714844,79.2437973022461
2004-02-29,3.99,1.66,1.04,0.95,0.96,3.01,4.85,5.01,4.89,5.58,2.05,3.0300000000000002,2.33,3.1899999999999995,0.9800000000000004,1.0199999999999996,1.5300000000000002,45.85300064086914,33.886558532714844,79.34033966064453
2004-03-07,3.85,1.57,1.0,0.95,0.94,2.81,4.73,4.91,4.88,5.59,1.87,2.91,2.2800000000000002,3.16,1.04,1.06,1.5499999999999998,45.85300064086914,33.886558532714844,80.2784652709961
2004-03-14,3.78,1.54,0.99,0.96,0.96,2.73,4.68,4.89,4.69,5.41,1.77,2.82,2.2399999999999998,3.1399999999999997,1.0499999999999998,1.1099999999999999,1.67,45.85300064086914,33.886558532714844,77.65723419189453
2004-03-21,3.8,1.56,0.99,0.93,0.94,2.75,4.68,4.89,4.69,5.38,1.81,2.86,2.2399999999999998,3.1199999999999997,1.0499999999999998,1.0899999999999999,1.62,45.85300064086914,33.886558532714844,76.87728881835938
2004-03-28,3.85,1.59,1.0,0.94,0.95,2.81,4.75,4.91,4.7,5.4,1.86,2.9000000000000004,2.26,3.16,1.04,1.06,1.6500000000000004,45.85300064086914,33.886558532714844,76.85655975341797
2004-04-04,4.15,1.86,1.0,0.93,0.95,3.15,4.97,5.13,4.84,5.52,2.2,3.2,2.29,3.1099999999999994,1.0000000000000004,0.9799999999999995,1.6099999999999994,45.85300064086914,33.886558532714844,79.35543823242188
2004-04-11,4.21,1.88,1.01,0.93,0.93,3.22,5.04,5.17,5.12,5.79,2.29,3.28,2.33,3.16,0.9899999999999998,0.96,1.58,45.85300064086914,33.886558532714844,79.16854095458984
2004-04-18,4.37,2.03,0.99,0.91,0.94,3.39,5.2,5.31,5.23,5.89,2.45,3.43,2.3400000000000003,3.1700000000000004,0.98,0.9399999999999995,1.4699999999999998,45.85300064086914,33.886558532714844,78.79479217529297
2004-04-25,4.48,2.29,0.99,0.87,0.98,3.58,5.27,5.38,5.25,5.94,2.6,3.5000000000000004,2.1900000000000004,2.9799999999999995,0.9000000000000004,0.8999999999999995,1.54,45.85300064086914,33.886558532714844,79.16162872314453
2004-05-02,4.53,2.31,1.03,0.83,0.98,3.63,5.31,5.39,5.35,6.01,2.65,3.5500000000000003,2.22,2.9999999999999996,0.9000000000000004,0.8599999999999994,1.46,45.85300064086914,33.886558532714844,76.8080825805664
2004-05-09,4.79,2.64,0.99,0.9,1.07,3.96,5.53,5.53,5.47,6.12,2.8899999999999997,3.7199999999999998,2.15,2.89,0.8300000000000001,0.7400000000000002,1.4900000000000002,45.85300064086914,33.886558532714844,76.11585235595703
2004-05-16,4.79,2.59,1.02,0.87,0.99,3.92,5.54,5.59,5.72,6.34,2.9299999999999997,3.8,2.2,2.95,0.8700000000000001,0.7999999999999998,1.4900000000000002,45.85300064086914,33.886558532714844,76.1712417602539
2004-05-23,4.76,2.6,0.99,0.91,1.03,3.91,5.5,5.53,5.67,6.3,2.88,3.7299999999999995,2.1599999999999997,2.9,0.8499999999999996,0.7700000000000005,1.58,45.85300064086914,33.886558532714844,76.01203155517578
2004-05-30,4.66,2.54,1.02,0.94,1.08,3.81,5.39,5.42,5.69,6.32,2.73,3.58,2.12,2.8499999999999996,0.8500000000000001,0.7599999999999998,1.7200000000000006,45.85300064086914,33.886558532714844,78.12328338623047
2004-06-06,4.78,2.7,0.99,0.96,1.21,3.97,5.51,5.54,5.63,6.28,2.7600000000000002,3.5700000000000003,2.08,2.8099999999999996,0.81,0.7599999999999998,1.5700000000000003,45.85300064086914,33.886558532714844,78.20637512207031
2004-06-13,4.81,2.81,1.0,1.02,1.3,4.0,5.52,5.51,5.67,6.3,2.7,3.51,1.9999999999999996,2.7099999999999995,0.8099999999999996,0.7000000000000002,1.4900000000000002,45.85300064086914,33.886558532714844,79.15467834472656
2004-06-20,4.72,2.81,1.0,1.03,1.29,3.94,5.43,5.46,5.7,6.32,2.65,3.4299999999999997,1.9099999999999997,2.6199999999999997,0.7799999999999998,0.7400000000000002,1.6100000000000003,45.85300064086914,33.886558532714844,78.94342041015625
2004-06-27,4.66,2.74,1.05,1.1,1.31,3.85,5.37,5.41,5.64,6.25,2.54,3.35,1.92,2.63,0.81,0.75,1.5899999999999999,45.85300064086914,33.886558532714844,79.08930969238281
