,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2007-07-01,5.03,4.87,5.31,4.28,4.82,4.92,5.21,5.12,6.34,6.67,0.09999999999999964,0.20999999999999996,0.16000000000000014,0.33999999999999986,0.11000000000000032,0.08999999999999986,1.5499999999999998,45.701663970947266,33.4032096862793,110.51744842529297
2007-07-08,5.19,4.99,5.22,4.71,4.95,5.1,5.36,5.28,6.3,6.63,0.14999999999999947,0.2400000000000002,0.20000000000000018,0.3700000000000001,0.09000000000000075,0.08999999999999986,1.4699999999999998,45.44427490234375,35.730587005615234,112.39083862304688
2007-07-15,5.11,4.94,5.25,4.72,4.97,5.01,5.27,5.19,6.39,6.73,0.040000000000000036,0.14000000000000057,0.16999999999999993,0.3299999999999992,0.10000000000000053,0.08000000000000007,1.6000000000000005,45.62947082519531,36.41822814941406,113.76470184326172
2007-07-22,4.96,4.79,5.25,4.76,4.97,4.85,5.14,5.07,6.38,6.73,-0.1200000000000001,-0.009999999999999787,0.16999999999999993,0.34999999999999964,0.11000000000000032,0.11000000000000032,1.6900000000000004,45.88249969482422,37.94336700439453,112.7728500366211
2007-07-29,4.8,4.56,5.25,4.89,4.85,4.6,5.03,4.95,6.37,6.69,-0.25,-0.04999999999999982,0.2400000000000002,0.47000000000000064,0.20000000000000018,0.15000000000000036,1.9000000000000004,46.07386016845703,34.39939498901367,106.60887145996094
2007-08-05,4.71,4.46,5.24,4.94,4.85,4.52,4.96,4.87,6.32,6.68,-0.33000000000000007,-0.13999999999999968,0.25,0.5,0.1900000000000004,0.16000000000000014,1.9100000000000001,46.336395263671875,34.80492401123047,105.64649200439453
2007-08-12,4.81,4.47,4.68,4.38,4.57,4.59,5.11,5.03,6.25,6.59,0.019999999999999574,0.23999999999999932,0.33999999999999986,0.6400000000000006,0.21999999999999975,0.22000000000000064,1.7999999999999998,46.10092544555664,35.131107330322266,106.31504821777344
2007-08-19,4.68,4.18,4.91,3.03,3.76,4.35,5.06,5.0,6.3,6.62,0.5899999999999999,0.9199999999999999,0.5,0.8799999999999999,0.33000000000000007,0.3200000000000003,2.0200000000000005,46.39836883544922,31.049381256103516,106.31504821777344
2007-08-26,4.63,4.3,5.11,4.24,4.24,4.42,4.95,4.88,6.18,6.52,0.17999999999999972,0.3899999999999997,0.33000000000000007,0.6500000000000004,0.20999999999999996,0.25,1.8999999999999995,46.503726959228516,32.73320007324219,108.9745864868164
2007-09-02,4.54,4.15,4.96,4.02,4.01,4.25,4.87,4.83,6.12,6.45,0.2400000000000002,0.5300000000000002,0.3899999999999997,0.7199999999999998,0.29000000000000004,0.29000000000000004,1.9400000000000004,46.80739212036133,33.19163131713867,108.43094635009766
2007-09-09,4.38,3.9,4.86,4.03,4.07,4.03,4.73,4.7,6.15,6.46,-0.040000000000000036,0.3099999999999996,0.48,0.8300000000000005,0.34999999999999964,0.3200000000000003,1.9500000000000002,47.164512634277344,36.294803619384766,107.31424713134766
2007-09-16,4.47,4.05,5.25,3.85,4.01,4.18,4.77,4.72,5.97,6.31,0.16999999999999993,0.45999999999999996,0.41999999999999993,0.7199999999999998,0.29000000000000004,0.25,1.8199999999999994,47.002750396728516,37.17638397216797,109.39334869384766
2007-09-23,4.64,4.06,4.76,3.24,3.74,4.31,4.95,4.89,5.98,6.34,0.5699999999999994,0.8999999999999995,0.5800000000000001,0.8900000000000006,0.33000000000000007,0.25,1.6499999999999995,46.959171295166016,40.09443283081055,112.17843627929688
2007-09-30,4.59,3.97,4.58,3.43,3.82,4.23,4.89,4.83,6.09,6.42,0.4100000000000006,0.77,0.6199999999999997,0.9199999999999995,0.35999999999999943,0.2400000000000002,1.8399999999999999,47.08982849121094,39.97982406616211,112.62876892089844
2007-10-07,4.65,4.08,4.77,3.58,4.0,4.33,4.94,4.87,6.03,6.37,0.33000000000000007,0.6500000000000004,0.5700000000000003,0.8600000000000003,0.3200000000000003,0.21999999999999975,1.83,47.05427169799805,40.19139862060547,115.04259490966797
2007-10-14,4.7,4.23,4.75,4.12,4.2,4.42,4.98,4.91,6.06,6.4,0.21999999999999975,0.5,0.46999999999999975,0.75,0.28000000000000025,0.20999999999999996,1.7400000000000002,47.05427169799805,42.13088607788086,115.39686584472656
2007-10-21,4.41,3.8,4.77,3.45,3.86,4.03,4.74,4.68,6.08,6.4,0.17000000000000037,0.5500000000000003,0.6100000000000003,0.9400000000000004,0.3799999999999999,0.2699999999999996,1.8800000000000008,47.641273498535156,41.258121490478516,110.4806900024414
2007-10-28,4.41,3.77,4.8,3.97,3.96,4.04,4.73,4.68,5.99,6.33,0.08000000000000007,0.4500000000000002,0.6400000000000001,0.9600000000000004,0.3700000000000001,0.2699999999999996,1.96,47.67866897583008,42.668663024902344,113.39645385742188
2007-11-04,4.31,3.66,4.28,3.73,3.61,3.93,4.65,4.61,5.91,6.26,0.3200000000000003,0.6999999999999997,0.6499999999999995,0.9900000000000002,0.37999999999999945,0.3000000000000007,1.8999999999999995,47.85167694091797,44.705116271972656,111.61006927490234
2007-11-11,4.23,3.42,4.49,3.42,3.27,3.77,4.64,4.61,5.9,6.24,0.5,0.9600000000000004,0.8100000000000005,1.2199999999999998,0.4600000000000004,0.3799999999999999,1.96,47.82661056518555,44.35247802734375,107.13681030273438
2007-11-18,4.15,3.33,4.51,3.78,3.4,3.68,4.56,4.52,5.88,6.24,0.28000000000000025,0.7500000000000004,0.8200000000000003,1.2299999999999995,0.4700000000000002,0.3699999999999992,2.0700000000000003,47.93948745727539,41.390357971191406,107.61663055419922
2007-11-25,4.01,3.07,4.56,3.64,3.23,3.42,4.46,4.43,5.83,6.2,0.18999999999999995,0.7799999999999998,0.94,1.3900000000000001,0.5899999999999999,0.41999999999999993,2.2,48.17136001586914,43.06536865234375,106.39125061035156
2007-12-02,3.97,3.04,4.66,3.63,3.15,3.41,4.44,4.4,5.73,6.1,0.26000000000000023,0.8200000000000003,0.9300000000000002,1.4000000000000004,0.56,0.43000000000000016,2.1599999999999997,48.45341491699219,40.87022018432617,109.73516082763672
2007-12-09,4.12,3.12,4.41,3.04,3.12,3.51,4.62,4.58,5.65,5.96,0.3899999999999997,1.0,1.0,1.5,0.6100000000000003,0.45999999999999996,1.9400000000000004,48.14945602416992,40.905487060546875,111.39602661132812
2007-12-16,4.24,3.31,4.24,2.61,2.88,3.63,4.71,4.66,5.78,6.11,0.75,1.3600000000000003,0.9300000000000002,1.4,0.6100000000000003,0.41999999999999993,1.9300000000000006,47.935508728027344,39.0629768371582,108.63529968261719
2007-12-23,4.18,3.19,4.28,2.44,3.0,3.58,4.62,4.58,5.79,6.14,0.5800000000000001,1.1799999999999997,0.9899999999999998,1.4300000000000002,0.5999999999999996,0.40000000000000036,2.0999999999999996,48.136871337890625,39.671268463134766,109.92426300048828
2007-12-30,4.11,3.12,4.01,2.57,3.18,3.52,4.56,4.51,5.79,6.17,0.33999999999999986,0.9300000000000002,0.9900000000000002,1.4399999999999995,0.5900000000000003,0.39999999999999947,1.96,48.446922302246094,41.80027770996094,109.30830383300781
2008-01-06,3.88,2.74,4.18,3.22,3.2,3.18,4.4,4.36,5.68,6.07,-0.020000000000000018,0.6799999999999997,1.1399999999999997,1.6600000000000001,0.6999999999999997,0.4800000000000004,2.16,48.97102355957031,44.73158645629883,104.86327362060547
2008-01-13,3.82,2.59,4.23,3.23,3.09,3.06,4.4,4.39,5.43,5.87,-0.029999999999999805,0.73,1.23,1.8100000000000005,0.7599999999999998,0.5699999999999998,1.96,49.109962463378906,46.99056625366211,104.00244903564453
2008-01-20,3.66,2.36,4.17,2.63,2.86,2.86,4.3,4.28,5.21,5.69,0.0,0.8000000000000003,1.3000000000000003,1.94,0.8000000000000003,0.6200000000000001,2.0300000000000002,49.43206024169922,43.333168029785156,97.9990463256836
2008-01-27,3.61,2.23,3.6,2.07,2.3,2.81,4.3,4.28,4.95,5.48,0.5100000000000002,1.31,1.38,2.07,0.7999999999999998,0.6700000000000004,1.8000000000000003,49.66571807861328,45.19772720336914,98.72623443603516
2008-02-03,3.62,2.09,3.12,1.75,2.1,2.75,4.31,4.32,5.17,5.68,0.6499999999999999,1.52,1.5300000000000002,2.2199999999999998,0.8700000000000001,0.7000000000000002,2.01,49.641048431396484,44.059268951416016,103.5794677734375
2008-02-10,3.64,1.93,3.05,2.24,2.23,2.69,4.41,4.43,5.15,5.67,0.45999999999999996,1.4100000000000001,1.7100000000000002,2.4800000000000004,0.9500000000000002,0.7899999999999996,1.9299999999999997,49.336788177490234,43.51244354248047,98.74853515625
2008-02-17,3.76,1.91,2.97,2.4,2.21,2.76,4.55,4.58,5.25,5.72,0.5499999999999998,1.5499999999999998,1.8499999999999999,2.6399999999999997,1.0,0.8200000000000003,1.8699999999999997,48.943782806396484,42.80427169799805,100.28466033935547
2008-02-24,3.79,1.98,2.97,2.33,2.2,2.81,4.55,4.58,5.64,6.04,0.6099999999999999,1.5899999999999999,1.81,2.57,0.98,0.79,2.27,48.81699752807617,45.610084533691406,100.64083862304688
2008-03-02,3.53,1.65,3.01,2.07,1.85,2.5,4.37,4.41,5.72,6.24,0.6499999999999999,1.6799999999999997,1.88,2.72,1.0299999999999998,0.8800000000000003,2.5300000000000002,49.520591735839844,47.618064880371094,99.30506896972656
2008-03-09,3.56,1.53,2.96,1.65,1.45,2.45,4.49,4.55,5.47,6.03,1.0000000000000002,2.1100000000000003,2.0300000000000002,2.96,1.1099999999999999,0.9899999999999998,2.41,48.9422607421875,47.91388702392578,96.25517272949219
2008-03-16,3.44,1.47,2.99,1.2,1.18,2.37,4.3,4.35,5.6,6.13,1.1900000000000002,2.26,1.97,2.83,1.0699999999999998,0.9099999999999997,2.57,49.253997802734375,50.57627868652344,96.18092346191406
2008-03-23,3.34,1.59,2.08,0.37,0.63,2.36,4.15,4.17,5.27,5.87,1.73,2.71,1.7499999999999998,2.5600000000000005,0.98,0.8300000000000001,2.5300000000000002,49.63581466674805,42.83115768432617,98.4991226196289
2008-03-30,3.47,1.67,2.09,1.29,1.33,2.51,4.32,4.33,5.34,5.85,1.1799999999999997,2.14,1.8000000000000003,2.6500000000000004,0.9600000000000004,0.8599999999999999,2.2899999999999996,49.5467414855957,43.99652099609375,98.07405853271484
2008-04-06,3.5,1.83,2.26,1.5,1.35,2.63,4.32,4.32,5.42,5.88,1.2799999999999998,2.15,1.67,2.49,0.8700000000000001,0.8200000000000003,2.27,49.57223892211914,43.84413146972656,102.08618927001953
2008-04-13,3.49,1.76,2.37,0.9,1.19,2.57,4.28,4.3,5.42,5.88,1.38,2.3000000000000003,1.7300000000000002,2.5200000000000005,0.9200000000000004,0.8099999999999996,2.33,49.73833465576172,43.2255973815918,99.46858978271484
2008-04-20,3.77,2.19,2.32,0.9,1.35,2.95,4.52,4.51,5.4,5.88,1.6,2.42,1.58,2.3299999999999996,0.8199999999999998,0.7399999999999998,2.13,49.13789367675781,44.1937255859375,103.27190399169922
2008-04-27,3.91,2.44,2.28,0.8,1.34,3.2,4.61,4.61,5.62,6.03,1.86,2.5700000000000003,1.4700000000000002,2.1700000000000004,0.71,0.7000000000000002,2.16,49.0101432800293,40.63492965698242,104.10713195800781
2008-05-04,3.89,2.47,1.88,1.25,1.5,3.18,4.57,4.57,5.59,6.06,1.6800000000000002,2.39,1.42,2.1,0.71,0.6800000000000002,2.28,49.432559967041016,38.70760726928711,105.53156280517578
2008-05-11,3.77,2.25,1.97,1.6,1.69,2.98,4.52,4.53,5.6,6.05,1.29,2.08,1.52,2.2699999999999996,0.79,0.7600000000000002,2.26,49.63129806518555,41.199676513671875,103.5851821899414
2008-05-18,3.85,2.47,1.91,1.85,1.84,3.12,4.57,4.58,5.6,6.01,1.28,2.01,1.38,2.1,0.73,0.73,2.1799999999999997,49.52229690551758,42.4188117980957,106.38921356201172
2008-05-25,3.85,2.46,1.99,1.92,1.86,3.15,4.56,4.57,5.55,5.98,1.2899999999999998,1.99,1.3900000000000001,2.0999999999999996,0.7000000000000002,0.7200000000000002,2.0600000000000005,49.63771438598633,42.80427169799805,102.6455078125
2008-06-01,4.06,2.66,1.98,1.98,1.89,3.41,4.74,4.72,5.66,6.08,1.5200000000000002,2.17,1.3999999999999995,2.08,0.6499999999999995,0.6600000000000001,2.0,49.054195404052734,41.25345230102539,104.66651153564453
2008-06-08,3.94,2.4,2.01,1.75,1.85,3.2,4.67,4.65,5.65,6.09,1.35,2.09,1.54,2.27,0.7399999999999998,0.7100000000000004,2.0300000000000002,49.27430725097656,41.85406494140625,101.6386947631836
2008-06-15,4.27,3.05,2.02,1.86,1.99,3.73,4.86,4.79,5.93,6.32,1.74,2.2799999999999994,1.2199999999999998,1.8100000000000005,0.5399999999999996,0.5200000000000005,2.09,48.38613510131836,38.68071746826172,101.53433990478516
2008-06-22,4.16,2.88,1.99,1.49,1.87,3.57,4.76,4.71,6.02,6.42,1.6999999999999997,2.29,1.2800000000000002,1.88,0.5900000000000003,0.5499999999999998,2.2,48.727237701416016,39.29925537109375,98.61703491210938
2008-06-29,3.99,2.65,1.99,1.29,1.68,3.36,4.58,4.53,6.04,6.45,1.68,2.3100000000000005,1.3400000000000003,1.9300000000000002,0.6300000000000003,0.54,2.38,48.91389465332031,43.2883415222168,95.58165740966797
2008-07-06,3.99,2.54,1.92,1.86,1.84,3.28,4.58,4.53,5.92,6.35,1.4399999999999997,2.1500000000000004,1.4500000000000002,2.04,0.7100000000000004,0.54,2.3599999999999994,48.910675048828125,42.194705963134766,94.6672592163086
2008-07-13,3.96,2.59,1.97,1.38,1.62,3.27,4.57,4.52,5.91,6.37,1.65,2.34,1.37,1.9800000000000004,0.69,0.5599999999999996,2.54,49.04639434814453,43.66484451293945,92.81605529785156
2008-07-20,4.11,2.66,1.96,1.28,1.48,3.42,4.71,4.66,5.78,6.26,1.94,2.6300000000000003,1.4500000000000002,2.05,0.6900000000000004,0.5499999999999998,2.1899999999999995,48.64581298828125,42.6249885559082,94.4199447631836
2008-07-27,4.13,2.7,2.13,1.72,1.75,3.45,4.75,4.69,6.18,6.63,1.7000000000000002,2.38,1.4299999999999997,2.05,0.6799999999999997,0.5600000000000005,2.5999999999999996,48.658695220947266,39.67574691772461,94.0451889038086
2008-08-03,3.97,2.51,2.04,1.52,1.66,3.23,4.61,4.57,6.07,6.52,1.57,2.3100000000000005,1.4600000000000004,2.1000000000000005,0.7400000000000002,0.6000000000000001,2.5299999999999994,49.172061920166016,38.00840759277344,94.55486297607422
2008-08-10,3.94,2.51,2.01,1.63,1.7,3.21,4.58,4.55,6.1,6.52,1.51,2.24,1.4300000000000002,2.0700000000000003,0.73,0.6099999999999999,2.5999999999999996,49.107177734375,32.54021072387695,96.96065521240234
2008-08-17,3.84,2.4,2.08,1.73,1.85,3.11,4.5,4.47,6.07,6.52,1.2599999999999998,1.9899999999999998,1.44,2.1,0.73,0.6299999999999999,2.6299999999999994,49.26936340332031,30.890790939331055,97.56024932861328
2008-08-24,3.87,2.42,2.02,1.67,1.7,3.14,4.5,4.46,6.0,6.47,1.4400000000000002,2.17,1.4500000000000002,2.08,0.73,0.5899999999999999,2.63,49.301815032958984,33.606964111328125,97.1705322265625
2008-08-31,3.83,2.36,1.94,1.63,1.72,3.1,4.47,4.43,5.93,6.4,1.3800000000000001,2.1100000000000003,1.4700000000000002,2.11,0.73,0.5999999999999996,2.6100000000000003,49.49645233154297,33.74142074584961,96.5259780883789
2008-09-07,3.66,2.23,1.97,1.53,1.68,2.91,4.31,4.27,5.9,6.35,1.2300000000000002,1.9800000000000002,1.4300000000000002,2.0799999999999996,0.75,0.6099999999999994,2.7099999999999995,49.78816604614258,29.268264770507812,93.250732421875
2008-09-14,3.74,2.23,2.1,1.37,1.49,2.97,4.36,4.32,5.54,5.93,1.4800000000000002,2.25,1.5100000000000002,2.1300000000000003,0.77,0.5800000000000001,2.2899999999999996,50.03560256958008,28.01326560974121,94.50238037109375
2008-09-21,3.78,2.16,1.48,0.75,0.99,3.01,4.42,4.36,5.35,5.78,2.0199999999999996,2.79,1.6199999999999997,2.26,0.77,0.5800000000000005,2.24,49.88584899902344,31.554136276245117,93.56436157226562
2008-09-28,3.85,2.11,1.08,0.21,0.87,3.05,4.44,4.36,5.77,6.09,2.1799999999999997,2.98,1.7400000000000002,2.3300000000000005,0.8000000000000003,0.5100000000000002,2.21,49.5667610168457,32.118892669677734,91.0993423461914
2008-10-05,3.63,1.6,1.1,0.15,0.51,2.64,4.26,4.11,5.78,6.1,2.13,3.12,2.03,2.6599999999999997,0.9899999999999998,0.4800000000000004,2.4399999999999995,49.658756256103516,26.04113006591797,83.17668151855469
2008-10-12,3.89,1.62,0.79,0.07,0.25,2.77,4.41,4.15,5.63,5.94,2.52,3.64,2.27,2.79,1.12,0.26000000000000023,2.1000000000000005,45.718196868896484,23.61182403564453,66.71320343017578
2008-10-19,3.98,1.64,0.6,0.13,0.83,2.83,4.66,4.32,6.14,6.46,2.0,3.15,2.34,3.0200000000000005,1.15,0.3400000000000003,2.4699999999999998,48.18838882446289,19.443452835083008,70.26372528076172
2008-10-26,3.76,1.57,0.95,0.33,0.89,2.64,4.44,4.11,5.72,6.04,1.75,2.8699999999999997,2.1899999999999995,2.87,1.1199999999999997,0.35000000000000053,2.41,48.423648834228516,15.956356048583984,65.6126480102539
2008-11-02,4.01,1.56,0.22,0.12,0.46,2.8,4.74,4.35,6.19,6.46,2.34,3.55,2.4499999999999997,3.18,1.21,0.33999999999999986,2.46,47.789756774902344,18.78009605407715,72.99254608154297
2008-11-09,3.83,1.33,0.27,0.13,0.31,2.56,4.57,4.25,5.88,6.2,2.25,3.52,2.5,3.24,1.27,0.41999999999999993,2.45,48.951194763183594,19.497234344482422,70.75371551513672
2008-11-16,3.72,1.22,0.34,0.06,0.15,2.33,4.43,4.22,5.81,6.14,2.18,3.5700000000000003,2.5,3.21,1.3900000000000001,0.49999999999999956,2.3,49.089019775390625,18.421525955200195,65.2960433959961
2008-11-23,3.2,1.09,0.57,0.03,0.02,2.02,3.93,3.7,5.73,6.04,2.0,3.18,2.1100000000000003,2.84,1.1800000000000002,0.5,2.3,48.88559341430664,20.6446590423584,59.943904876708984
2008-11-30,2.93,1.0,0.52,0.02,0.01,1.93,3.71,3.45,5.74,5.97,1.92,2.9200000000000004,1.9300000000000002,2.71,1.0000000000000002,0.52,2.3,49.66646957397461,23.81800079345703,67.91181182861328
2008-12-07,2.67,0.93,0.12,0.02,0.02,1.67,3.41,3.11,5.33,5.53,1.65,2.65,1.7399999999999998,2.48,1.0,0.43999999999999995,2.3,49.87461853027344,20.82394027709961,66.28356170654297
2008-12-14,2.6,0.78,0.15,0.03,0.02,1.55,3.36,3.07,5.2,5.47,1.53,2.58,1.82,2.58,1.05,0.46999999999999975,2.8299999999999996,50.105220794677734,25.70049476623535,67.08260345458984
2008-12-21,2.13,0.74,0.11,0.0,0.02,1.35,2.89,2.55,4.92,5.19,1.33,2.11,1.39,2.1500000000000004,0.7799999999999998,0.41999999999999993,2.8299999999999996,51.09993362426758,27.41266441345215,67.01921844482422
2008-12-28,2.16,0.89,0.09,0.01,0.03,1.51,2.91,2.61,4.91,5.14,1.48,2.1300000000000003,1.27,2.02,0.6500000000000001,0.44999999999999973,2.8299999999999996,51.72835922241211,28.90969467163086,66.2364501953125
2009-01-04,2.46,0.88,0.08,0.04,0.08,1.72,3.22,2.83,4.83,5.1,1.64,2.38,1.58,2.3400000000000003,0.74,0.3700000000000001,2.8499999999999996,52.02592849731445,29.868867874145508,70.64410400390625
2009-01-11,2.43,0.75,0.09,0.03,0.07,1.51,3.39,3.04,4.62,5.01,1.44,2.3600000000000003,1.6800000000000002,2.64,0.9200000000000002,0.6099999999999999,2.5399999999999996,51.73496627807617,28.067052841186523,67.70317077636719
2009-01-18,2.36,0.73,0.19,0.04,0.12,1.47,3.22,2.89,4.65,4.96,1.35,2.2399999999999998,1.63,2.49,0.8899999999999999,0.5300000000000002,2.73,51.85396194458008,27.726409912109375,64.64059448242188
2009-01-25,2.65,0.83,0.18,0.03,0.11,1.64,3.65,3.32,4.8,5.12,1.5299999999999998,2.54,1.8199999999999998,2.82,1.01,0.6699999999999999,2.5,51.28535079956055,30.603933334350586,63.15871047973633
2009-02-01,2.87,0.94,0.23,0.15,0.24,1.85,3.86,3.58,4.8,5.1,1.61,2.63,1.9300000000000002,2.92,1.02,0.71,2.2299999999999995,51.13322067260742,30.684614181518555,62.945899963378906
2009-02-08,3.05,0.99,0.23,0.21,0.28,1.97,3.94,3.7,4.92,5.25,1.69,2.7699999999999996,2.0599999999999996,2.95,1.0799999999999998,0.6500000000000004,2.3,50.97328567504883,31.751354217529297,66.09970092773438
2009-02-15,2.89,0.97,0.22,0.23,0.29,1.88,3.91,3.68,4.81,5.16,1.5899999999999999,2.6,1.9200000000000002,2.9400000000000004,1.0100000000000002,0.79,2.41,51.07949447631836,31.984426498413086,62.89272689819336
2009-02-22,2.78,0.96,0.2,0.19,0.27,1.81,3.82,3.56,4.68,5.04,1.54,2.51,1.8199999999999998,2.86,0.9699999999999998,0.7800000000000002,2.19,51.086090087890625,33.19459915161133,58.83464431762695
2009-03-01,3.02,1.0,0.22,0.16,0.26,1.99,3.98,3.71,4.68,5.07,1.73,2.76,2.02,2.98,1.03,0.69,2.0900000000000003,50.8338737487793,29.904720306396484,56.182437896728516
2009-03-08,2.83,0.91,0.2,0.09,0.21,1.83,3.74,3.5,4.72,5.15,1.62,2.62,1.92,2.83,1.0,0.6699999999999999,2.3200000000000003,50.757328033447266,29.474437713623047,52.37515640258789
2009-03-15,2.89,0.98,0.15,0.09,0.2,1.87,3.84,3.66,4.64,5.03,1.6700000000000002,2.69,1.9100000000000001,2.86,1.02,0.77,2.14,50.80388259887695,29.653724670410156,57.82390594482422
2009-03-22,2.65,0.89,0.18,0.09,0.22,1.66,3.67,3.65,4.61,4.98,1.44,2.4299999999999997,1.7599999999999998,2.78,0.99,1.0,2.3700000000000006,51.290184020996094,33.660736083984375,58.71233367919922
2009-03-29,2.78,0.9,0.15,0.03,0.14,1.79,3.66,3.62,4.58,4.85,1.65,2.6399999999999997,1.88,2.7600000000000002,0.9899999999999998,0.8400000000000003,2.09,51.27017593383789,33.1677131652832,62.46272277832031
2009-04-05,2.91,0.96,0.13,0.16,0.21,1.87,3.77,3.7,4.52,4.78,1.6600000000000001,2.7,1.9500000000000002,2.81,1.04,0.79,2.0100000000000002,51.12137222290039,31.258325576782227,64.49093627929688
2009-04-12,2.96,0.96,0.15,0.13,0.18,1.9,3.85,3.76,4.54,4.87,1.72,2.78,2.0,2.89,1.06,0.7999999999999998,1.9100000000000001,51.45562744140625,29.617870330810547,65.67729949951172
2009-04-19,2.98,0.99,0.13,0.04,0.14,1.91,3.91,3.79,4.48,4.82,1.77,2.84,1.99,2.92,1.07,0.81,1.9600000000000004,51.36872482299805,27.762269973754883,66.64933013916016
2009-04-26,3.03,0.99,0.16,0.07,0.1,1.96,3.99,3.89,4.48,4.8,1.8599999999999999,2.9299999999999997,2.04,3.0,1.0699999999999998,0.8600000000000003,1.8399999999999999,51.62942886352539,31.061111450195312,66.32786560058594
2009-05-03,3.21,0.92,0.22,0.06,0.16,2.03,4.14,4.09,4.48,4.78,1.8699999999999999,3.05,2.29,3.2199999999999998,1.1800000000000002,0.8799999999999999,1.62,51.54087829589844,29.617870330810547,67.26927185058594
2009-05-10,3.29,1.0,0.17,0.15,0.19,2.15,4.25,4.28,4.51,4.84,1.96,3.1,2.29,3.25,1.1400000000000001,0.9900000000000002,1.5499999999999998,51.74214553833008,33.58005905151367,71.1650619506836
2009-05-17,3.14,0.88,0.17,0.11,0.17,2.01,4.07,4.09,4.52,4.86,1.8399999999999999,2.97,2.2600000000000002,3.1900000000000004,1.1300000000000003,0.9499999999999997,1.7600000000000002,52.057437896728516,33.750389099121094,67.89690399169922
2009-05-24,3.45,0.92,0.17,0.13,0.18,2.23,4.36,4.38,4.5,4.82,2.05,3.27,2.5300000000000002,3.4400000000000004,1.2200000000000002,0.9299999999999997,1.4700000000000002,51.88971710205078,37.69464874267578,68.13417053222656
2009-05-31,3.47,0.92,0.19,0.14,0.14,2.34,4.34,4.34,4.53,4.91,2.1999999999999997,3.33,2.5500000000000003,3.42,1.1300000000000003,0.8699999999999997,1.2400000000000002,51.97693634033203,39.58611297607422,70.82066345214844
2009-06-07,3.84,1.32,0.21,0.08,0.2,2.85,4.64,4.63,4.79,5.29,2.65,3.6399999999999997,2.5199999999999996,3.3199999999999994,0.9899999999999998,0.79,1.5699999999999998,51.32261657714844,37.04922866821289,72.36671447753906
2009-06-14,3.81,1.3,0.17,0.08,0.19,2.81,4.63,4.65,5.06,5.59,2.62,3.62,2.51,3.33,1.0,0.8400000000000003,1.71,51.61207962036133,35.44462585449219,72.77239227294922
2009-06-21,3.79,1.25,0.25,0.1,0.19,2.82,4.54,4.52,4.89,5.38,2.63,3.6,2.54,3.29,0.9700000000000002,0.7299999999999995,1.52,51.66594696044922,34.41373825073242,70.84355163574219
2009-06-28,3.52,1.1,0.18,0.07,0.2,2.53,4.28,4.3,4.87,5.42,2.3299999999999996,3.32,2.42,3.18,0.9900000000000002,0.7799999999999998,1.87,52.29195785522461,35.13983917236328,70.68962860107422
2009-07-05,3.51,0.98,0.16,0.15,0.17,2.43,4.28,4.32,4.77,5.32,2.2600000000000002,3.34,2.53,3.3000000000000003,1.0799999999999996,0.8100000000000005,1.8100000000000005,52.287872314453125,34.34202575683594,69.12711334228516
2009-07-12,3.32,0.91,0.15,0.15,0.18,2.22,4.16,4.2,4.69,5.2,2.04,3.1399999999999997,2.4099999999999997,3.25,1.0999999999999996,0.8800000000000003,1.7600000000000002,52.747230529785156,31.500356674194336,67.70315551757812
2009-07-19,3.67,1.02,0.15,0.15,0.17,2.52,4.51,4.53,4.63,5.14,2.35,3.5,2.65,3.4899999999999998,1.15,0.8600000000000003,1.5499999999999998,52.33518600463867,34.63784408569336,72.45222473144531
2009-07-26,3.7,1.05,0.15,0.15,0.18,2.57,4.53,4.55,4.68,5.2,2.3899999999999997,3.52,2.6500000000000004,3.4800000000000004,1.1300000000000003,0.8499999999999996,1.48,52.55131912231445,35.767333984375,75.47716522216797
2009-08-02,3.52,1.13,0.18,0.14,0.18,2.53,4.29,4.31,4.69,5.25,2.3499999999999996,3.34,2.39,3.16,0.9900000000000002,0.7899999999999996,1.58,52.983619689941406,35.65079879760742,76.05441284179688
2009-08-09,3.89,1.32,0.17,0.14,0.19,2.84,4.59,4.61,4.63,5.22,2.65,3.7,2.5700000000000003,3.2699999999999996,1.0500000000000003,0.7200000000000002,1.4299999999999997,52.31272506713867,35.83905792236328,77.89405059814453
2009-08-16,3.55,1.07,0.15,0.1,0.18,2.51,4.33,4.41,4.68,5.29,2.3299999999999996,3.3699999999999997,2.4799999999999995,3.26,1.04,0.8600000000000003,1.7000000000000002,53.105628967285156,35.1488037109375,77.57844543457031
2009-08-23,3.56,1.13,0.16,0.11,0.17,2.58,4.32,4.36,4.56,5.12,2.41,3.39,2.43,3.1900000000000004,0.98,0.8000000000000003,1.7000000000000002,53.14625930786133,35.2294807434082,79.25642395019531
2009-08-30,3.46,1.01,0.14,0.11,0.15,2.46,4.17,4.21,4.58,5.14,2.31,3.31,2.45,3.16,1.0,0.75,1.6699999999999995,53.417362213134766,36.01833724975586,79.5719985961914
