Date,CorporateBonds,Dow_Jones,SP500,Materials,Technology,Discretionary,Dow_Jones (t-1),15-Year Mortgage Rate (t-4),NASDAQ
2004-03-14,0.0,-0.03483985934632461,-0.03265169462140549,-0.0027648327506550885,-0.0307689718505344,-0.03508777863789947,0.0012250176958221726,-0.013916500994035852,-0.030718452193057355
2004-03-21,0.0,-0.00432571174168539,-0.010042878342477857,0.002144731098615904,-0.020337987232093346,-0.0053666212268743685,-0.03483985934632461,-0.01814516129032251,-0.02230026764405091
2004-03-28,0.0,0.0025499999416875863,-0.0002705402397727985,0.007054294947886897,0.01265823423558432,0.003853827113155406,-0.00432571174168539,0.004106776180698102,-0.0061126817812084955
2004-04-04,0.0,0.027005685536054536,0.03251376780807891,0.04124448992782992,0.04400038817844654,0.029430291311763446,0.0025499999416875863,-0.002044989775051076,0.003994747931428233
2004-04-11,0.0,-0.002571890256652165,-0.002354773753256767,-0.01569522205006657,-0.00622652456986883,-0.005593387093913882,0.027005685536054536,-0.038934426229508046,-0.014959712370934408
2004-04-18,0.0,0.00028129123693187985,-0.004721630871073912,0.0072136127274073925,-0.03180719758091022,-0.0034375559445939396,-0.002571890256652165,0.0,-0.027834016523091365
2004-04-25,0.0,0.0024850433630927427,0.0046558828591651835,0.0002142143708390165,0.0007714638819451558,0.011602051248166934,0.00028129123693187985,0.002132196162046851,-0.0003806684674701466
2004-05-02,0.0,-0.024495180509221393,-0.029730872254042806,-0.021650781281912057,0.022090259222515285,-0.026968185145185397,0.0024850433630927427,0.015959715102299987,0.012966055324446446
2004-05-09,0.0,-0.011724437127063059,-0.00901174940140348,-0.011594234000532,0.0015889054195748487,-0.03345024887121284,-0.024495180509221393,0.02563580452127656,-0.004144384350942165
2004-05-16,0.0,-0.006921028989429701,0.00072718207188327,0.013327910577030755,-0.007652582261080343,0.0023070480756794964,-0.011724437127063059,0.012654233389101321,-0.007148199762626151
2004-05-23,0.0,-0.0035010736957205024,-0.0020896822116731606,0.009452891956873044,0.006169289516204435,0.002631187669787316,-0.006921028989429701,0.003824091778202643,0.004117088523204693
2004-05-30,0.0,0.02384721486922481,0.02777462953778498,0.04315981174768413,0.029637153834078722,0.036077108110704526,-0.0035010736957205024,0.01904761904761898,0.03904106278913333
2004-06-06,0.0,0.004697355841748019,0.0010633337375072216,-0.0101482834753015,-0.010421715003652854,0.000633438023667221,0.02384721486922481,0.02073876279483755,-0.0040870950185231125
2004-06-13,0.0,0.015488482647983526,0.012126342381685529,0.014195644766288762,0.02256759849286949,0.013919176639860975,0.004697355841748019,0.0068443239003986855,0.010739808579939725
2004-06-20,0.0,0.0006267035484261996,-0.002669357953239415,0.014060491601490144,-0.012751156481412784,-0.003681856996388122,0.015488482647983526,-0.002606960940294223,-0.006570434418497029
2004-06-27,0.0,-0.0016313613866923982,0.0018482922067137864,0.013867773268760653,0.01887754249534157,-0.000626959391300308,0.0006267035484261996,0.003527336860670305,0.019499373651790775
2004-07-04,0.0,-0.009802797445253031,-0.008432682709093586,-0.006838768405850182,-0.019990380146975184,-0.018826542438244664,-0.0016313613866923982,-0.010544815465729385,-0.009286702244668543
2004-07-11,0.0,-0.0064065582644246,-0.010188032598970165,-0.0007654288418432742,-0.023382946745378774,-0.01726891036113587,-0.009802797445253031,0.007104795737122638,-0.03006492235724556
2004-07-18,0.0,-0.005712887074055373,-0.009129489349586795,0.008423164218728463,-0.03718832564005192,-0.013667501434364793,-0.0064065582644246,0.005291005291005346,-0.032461059053262464
2004-07-25,0.0,-0.018485767991251012,-0.01580675543555099,-0.03416930146795283,-0.002645622265675107,-0.00593846072995774,-0.005712887074055373,-0.010526315789473717,-0.018086747286291116
2004-08-01,0.0,0.019335300043325176,0.01725390924055281,0.028695261371115333,0.014327157739714436,0.009956318689824162,-0.018485767991251012,-0.0035460992907800915,0.0013049653340421186
2004-08-08,0.0,-0.033218825070138625,-0.03599763162877434,-0.041267916958682926,0.007743746136267382,-0.0410777127789681,0.019335300043325176,-0.03558718861209964,0.004813375140609366
2004-08-15,0.0,0.003354202779656923,0.0031818049119500813,-0.01983748138684238,0.00899158457591398,-0.023109202337206758,-0.033218825070138625,-0.0036900369003689537,-0.011069927673156621
2004-08-22,0.0,0.02884573218555886,0.030693553629808967,0.006656776361311123,0.033795614624397174,-0.0002744715559604427,0.003354202779656923,-0.0018518518518519933,0.0010128283618986988
2004-08-29,0.0,0.008988372017190827,0.00877973189996517,0.010905067598513285,0.00964648235496135,0.007029723500192708,0.02884573218555886,0.01855287569573294,0.0018192383490917563
2004-09-05,0.0,0.006851642429744675,0.0060116504470291154,0.010089536659402487,-0.016454520802672956,0.009467698216860887,0.008988372017190827,-0.016393442622950838,-0.009457107698770506
2004-09-12,0.0,0.00359778742664707,0.008383712716839353,-0.0088789528163844,0.03777626018909985,0.0074388602207624555,0.006851642429744675,-0.029629629629629672,0.027015786916991358
2004-09-19,0.0,-0.0010630737279951896,0.004961751983764806,-0.006552893785436553,0.0015600812004061826,0.01014744329481454,0.00359778742664707,-0.009541984732824416,0.008330160712062495
2004-09-26,0.0,-0.022229502160826753,-0.014935840137491052,-0.004786235799497052,-0.015057445258090052,-0.0070019230132140065,-0.0010630737279951896,0.0038535645472059787,-0.016025415503618246
2004-10-03,0.0,0.014296311100565395,0.019648624110798707,-0.0024123828663141778,0.03321054583359251,0.012499875281085204,-0.022229502160826753,-0.011516314779270509,0.033370917144582846
