Date,SP500,Staples,Dow_Jones
2004-03-14,-0.03265168839213772,-0.022049763814742773,-0.034840624345064186
2004-03-21,-0.010043172190092542,0.0014073010507880124,-0.004326177227419237
2004-03-28,-0.0002702414372660611,-0.004430381099504221,0.0025514012239076234
2004-04-04,0.0325136616922026,0.015576238774260176,0.02700601567101324
2004-04-11,-0.0023551595228307187,0.00043762527262081186,-0.002573473401872417
2004-04-18,-0.004721148606154135,0.010950704314148574,0.0002827676938477186
2004-04-25,0.004655881954193308,0.008232406440380924,0.002484246401549539
2004-05-02,-0.029730479560186485,-0.003867811804295185,-0.024495290983078788
2004-05-09,-0.00901254160712106,-0.010353787813236148,-0.011724437127063059
2004-05-16,0.00072758464333611,-0.009590284717215902,-0.006920794051753942
2004-05-23,-0.0020902849903322585,-0.002200429251155489,-0.0035011911549353014
2004-05-30,0.027775547423746216,0.016762036233777478,0.02384661852307013
2004-06-06,0.0010630391529720118,0.007808579858628706,0.004698285526929302
2004-06-13,0.012125948338773673,0.009470699696268792,0.015487898517828391
2004-06-20,-0.0026689714940145715,-0.005672186102805621,0.0006261354386636331
2004-06-27,0.001848388850960836,-0.01291366814775785,-0.001630226847400218
2004-07-04,-0.008433454850502509,-0.0030531279417456147,-0.009803816739709648
2004-07-11,-0.010187549336329926,0.0026246033901009547,-0.006405183423145888
2004-07-18,-0.009128996087643615,-0.004799481309719966,-0.00571311368511207
2004-07-25,-0.01580694668941307,-0.0302492780500927,-0.01848668749658422
2004-08-01,0.01725390400432003,-0.007686095142409144,0.019335425387177585
2004-08-08,-0.035998018667525056,-0.015945096379657242,-0.03321790299551319
2004-08-15,0.003182321030160473,0.021759949910438392,0.003354200360245141
2004-08-22,0.03069261552804048,0.013592609994231175,0.028845352000352653
2004-08-29,0.008779736279672878,0.0026818855471040237,0.008986622024892643
2004-09-05,0.006011950120633713,0.012038140429444066,0.0068530369543453595
2004-09-12,0.008384107602224633,-0.01365694681644991,0.003596755720837397
2004-09-19,0.004961653524438114,-0.009225616897267863,-0.001062275258821077
2004-09-26,-0.014936226730689728,-0.025350670544009746,-0.022229621589085924
2004-10-03,0.019648629915875127,0.016256357264726295,0.014296199171941248
2004-10-10,-0.010030607386144696,-0.012339488649592334,-0.014291047546663771
2004-10-17,-0.01110981461593219,-0.004628517436446766,-0.012214451549182326
2004-10-24,-0.011414976861640058,-0.006043530847010814,-0.016340051545567724
2004-10-31,0.029184713401222417,0.019645033286252334,0.02679932162941845
2004-11-07,0.036041804300107394,0.0435779977301991,0.03825438166100703
2004-11-14,0.012875771872433273,0.00966978525106521,0.01372161927686677
2004-11-21,-0.008604342015849586,-0.013931116000047261,-0.004993318775288524
2004-11-28,0.007920690936280117,0.003973538910686525,0.0033465176703364463
2004-12-05,0.0076044203346044,0.0030782306402237225,0.0073391664031601245
2004-12-12,0.0006712508862136701,0.004384344835380638,-0.0017978035362156142
2004-12-19,0.005649619581581389,0.0006227345688569752,0.01132022963139856
2004-12-26,0.011135259688815013,0.009198709030617369,0.01520743961011295
2005-01-02,0.000828170645725157,0.0017360565493498292,-0.0059179949651055885
2005-01-09,-0.020103874554591283,0.0008669235975538037,-0.015532835319481575
2005-01-16,-0.0016891085606791645,0.0038960800411449448,-0.0037797897537504843
2005-01-23,-0.012347780825577526,-0.0008624796428949866,-0.014252877385812157
2005-01-30,0.005566193243931927,0.005179145884484315,0.005777983251169516
2005-02-06,0.023843959992081887,0.01502759735148329,0.024512214457249826
2005-02-13,0.0044912283244915585,-0.0042303757640977935,0.01018683244406815
2005-02-20,-0.0031460021915584724,-0.002973405947073071,-0.0003814761408875711
2005-02-27,0.008638003251296267,-0.004260624590730844,0.005101366986078881
2005-03-06,0.01070662620621543,0.01540433915188344,0.010889674304413788
2005-03-13,-0.019066515310600884,-0.020227764725394115,-0.015519475345999734
2005-03-20,-0.011499241735157484,-0.0053462718392830455,-0.01587800835228581
2005-03-27,-0.011810310463551188,-0.0052104751697548135,-0.014344927563918253
2005-04-03,0.002475248900388527,-0.004801658999146197,-0.003734748116975828
2005-04-10,0.004853453479591208,0.012719282047494174,0.004709610891082905
2005-04-17,-0.032626483206911194,-0.009961032425239158,-0.036035803446494596
2005-04-24,0.012439222307885522,-0.010498850085121858,0.011221319849694433
2005-05-01,0.001557826309830368,0.007073474413419101,0.0004913492731877245
2005-05-08,0.01157670721513826,0.012730719251630607,0.015214077545993687
2005-05-15,-0.011700070972702203,-0.00953638430472048,-0.017016381911998946
2005-05-22,0.029381038089069333,0.02932232934146506,0.032403122278334306
2005-05-29,0.009486483982836802,-0.005527824507291834,0.007072510649910324
2005-06-05,-0.000831655420174604,-0.002137556894935,-0.006168452079243436
2005-06-12,0.00041585775334951336,0.0012851371902973252,0.004296359624754054
2005-06-19,0.013725725424289736,0.001809932578242579,0.0093604086216732
2005-06-26,-0.019611033077183815,-0.024034341499651668,-0.02998755994608293
2005-07-03,0.004622375651491817,0.003958191580492709,0.0025277897066224853
2005-07-10,0.014975388341636586,0.007446165263597759,0.013963427680079521
2005-07-17,0.012528977312963097,0.01565245871057863,0.017444382903833766
2005-07-24,0.005698457594018436,-0.0034248710773359115,0.001787072061308903
2005-07-31,0.0016188929805633911,0.008590653820500505,0.0014093814231885826
2005-08-07,-0.006950067128700277,-0.014480396090411851,-0.009190711521182782
2005-08-14,0.0014648030413306756,-0.0025928290479027005,0.003406853663035392
2005-08-21,-0.004794656722635793,0.0043330775882113315,0.0002815768346378089
2005-08-28,-0.013962395576971764,-0.009922680014258334,-0.01730790162919582
