Date,NASDAQ,NASDAQ_Prediction,SP500,Technology,Discretionary
2020-02-16,0.02212800859000752,0.023206524882093967,0.016255310290696157,0.02277053958246289,0.026342578944053452
2020-02-23,0.0031209876868233954,0.0011049426449592239,0.002025719694638939,-0.0009723942360602145,0.007893737567733983
2020-03-01,-0.007461538634942755,-0.008465624136048828,-0.004076748511632533,-0.009302372455788799,-0.01037118311251245
2020-03-08,0.0009629559464752191,-0.009468041673637236,0.004050373878153213,-0.02348836188203607,-0.010187262416439413
2020-03-15,0.0009629559464752191,-0.009468041673637236,0.004050373878153213,-0.02348836188203607,-0.010187262416439413
2020-03-22,-0.00813577459909065,-0.021174663823249156,-0.008293592783868486,-0.05308730690707786,-0.03385435088592714
2020-03-29,-0.01723450514465652,-0.026329143287507024,-0.020637559445890186,-0.018704499368642158,-0.05752143935541487
2020-04-05,-0.01723450514465652,-0.026329143287507024,-0.020637559445890186,-0.018704499368642158,-0.05752143935541487
2020-04-12,0.0218331486964779,0.007349843761872515,0.004850239559723135,0.01447404379729228,0.0005324442230090209
2020-04-19,0.029547518897981018,0.01871889673732623,0.008767188132873582,0.02029736552837047,0.026282518063424687
2020-04-26,-0.0018057647416502842,-0.015998682769942308,-0.012803662299589291,-0.007057855906485777,-0.00602129167458354
2020-05-03,-0.003424549082375994,0.0025437676058902856,-0.0006360606620334774,0.00304632102175062,-8.92294724598175e-05
2020-05-10,0.060008495745714985,0.04306959275793302,0.034124211349178646,0.06614183384063055,0.04472567686838702
2020-05-17,-0.011704527253712738,-0.01672444375901131,-0.021064129783916807,-0.013821593673517318,-0.01517993388756722
2020-05-24,0.03439217091187885,0.03842206170960628,0.031996487398148865,0.03230975135402914,0.04979220190034295
2020-05-31,0.017725205741706995,0.020714368241314056,0.030057149741439693,0.015338457438816455,0.024416275018918965
2020-06-07,0.03416379327998498,0.042285290357880576,0.04935563098345108,0.03511276509067085,0.05684827176723761
2020-06-14,-0.02295380779647549,-0.03677395133463557,-0.04737884499561895,-0.019722033669913763,-0.04502858913053975
2020-06-21,0.037263285317632455,0.02410437381306224,0.01902695421057099,0.02846812897721218,0.01627592256594035
2020-06-28,-0.018992369728027758,-0.023066712157600897,-0.027831738509260462,-0.004109490866044174,-0.026234699396810335
2020-07-05,0.0461617314022178,0.04328568976009646,0.0405932461275571,0.036734176625476955,0.04654541675642321
2020-07-12,0.04014747317249756,0.02496770493090229,0.017166916803664334,0.026693312190312124,0.029341464425476582
2020-07-19,-0.010760597222711499,-0.00039718050049650114,0.01300399502767724,-0.011565480038834952,0.003975561729630206
2020-07-26,-0.01333030597938667,-0.005692367920825012,-0.002610837027801738,-0.015257974084669224,0.01270184663916818
2020-08-02,0.03686994293950874,0.0321666553537351,0.017576603450550454,0.04971494285493705,0.010771626056235384
2020-08-09,0.024728177988206257,0.028225836570699,0.024653830588842185,0.029973756739449797,0.02467174579262399
2020-08-16,0.000755549059514804,0.009548111972066377,0.006784908921300348,0.0012308375803253835,0.02286641920722232
2020-08-23,0.0265443363175919,0.02455752363093504,0.007837770518950515,0.03565144156606381,0.018037258072116202
2020-08-30,0.03393183089802787,0.042784704178932334,0.03269686530160687,0.044259951061485614,0.029757864399017953
2020-09-06,-0.032704523299092125,-0.030222418128143674,-0.022847664328430106,-0.04092232427508058,-0.022387340034262126
2020-09-13,-0.0406236013274468,-0.0316025109797106,-0.02484176839170149,-0.04368460116582262,-0.007406990541770964
2020-09-20,-0.005552978733646241,-0.01014248742447284,-0.006245750211085754,-0.010623006141009417,-0.01492431296298835
2020-09-27,0.011143905636455065,0.010828852851307823,-0.005806662005052532,0.02176418483204423,0.0023399145307312352
2020-10-04,0.014794436214625062,0.012651756526860146,0.015544464457946106,0.008776582191794446,0.03022534228862117
2020-10-11,0.04559097137596746,0.044025620318627987,0.03897103646920774,0.04558898046872262,0.03453145304813354
2020-10-18,0.007911883587079283,0.004004362104094442,0.0012685341019040841,0.00782149771999241,-0.003520361496021973
2020-10-25,-0.010562367105469761,-0.011155412380483355,-0.004347948300736593,-0.022126587067627157,0.000915869089683552
2020-11-01,-0.03284764429892789,-0.04735379468388698,-0.02999506028660104,-0.043062692065296115,-0.06549443220224371
2020-11-08,-0.030338177942456357,-0.016934878413329094,-0.016483412249143237,-0.0335621910850723,0.06847580530997766
2020-11-15,-0.0016862891014579606,0.00120957402736324,0.007470082087337793,-0.006059414896438353,0.004517125657016452
2020-11-22,0.0021708561896107703,-0.007723058830976654,-0.007735183599503426,-0.008993244685697177,0.0015638349500750603
2020-11-29,0.029597703824271404,0.02490164332866452,0.023471016456325655,0.02123046812352336,0.02947492345723912
2020-12-06,0.02116860912136298,0.018651657100635263,0.016993613437854105,0.02755588118181085,-0.001200736683096948
2020-12-13,-0.006928654904048814,-0.012829803973099884,-0.009598597012392296,-0.013805141047918412,-0.01094729904133429
2020-12-20,0.030519752402753175,0.024910459408267173,0.012158562636550574,0.03177796915073028,0.023608510400569882
2020-12-27,0.003848558101789301,0.002970860955930959,-0.0004875811745466141,0.008659313565094084,-0.011359156526685843
2021-01-03,0.006524917091492277,0.01171084881746806,0.013224915376055746,0.007438401502118275,0.01836817158873827
2021-01-10,0.024339957593801698,0.017747971939387427,0.01973901836664771,0.00569143141403905,0.04981957614988075
2021-01-17,-0.015412874548000777,-0.02416350100263047,-0.01458320339656305,-0.025542968442330283,-0.017714251834453965
2021-01-24,0.04189403164307426,0.03141763010400334,0.019111012037825503,0.04245809255991073,0.025934809927136593
