Date,Healthcare,Healthcare_Prediction,CorporateBonds,Dow_Jones,RealEstate,SP500,Industrials,Technology,Staples,Utilities,Discretionary,NASDAQ,2-Year Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,US Dollar Index,CorporateBonds (t-1),Dow_Jones (t-1),Gold (t-1),Gold (t-2),Gold (t-8),RealEstate (t-8),RealEstate (t-12),Energy (t-8),Financials (t-4),Financials (t-12),Technology (t-1),Technology (t-2),Technology (t-3),Technology (t-12),Staples (t-3),Staples (t-10),Utilities (t-11),Discretionary (t-2),Discretionary (t-3),Discretionary (t-9),NASDAQ (t-2),NASDAQ (t-4),NASDAQ (t-5),NASDAQ (t-9),NASDAQ (t-11),10-Year Treasury Yield (t-4),10-Year Treasury Yield (t-10),1-Month Treasury Yield (t-3),3-Month Treasury Yield (t-9),5-Year Treasury Yield (t-10),20-Year Treasury Yield (t-2),20-Year Treasury Yield (t-4),30-Year Treasury Yield (t-1),30-Year Treasury Yield (t-6),30-Year Treasury Yield (t-8),15-Year Mortgage Rate (t-6),15-Year Mortgage Rate (t-7),15-Year Mortgage Rate (t-12),30-Year Mortgage Rate (t-2),30-Year Mortgage Rate (t-6),30-Year Mortgage Rate (t-8),30-Year Mortgage Rate (t-9),30-Year Mortgage Rate (t-12),Unemployment Rate (t-10),Real GDP (t-1),CPI (t-1),Consumer Confidence Index (t-2),Government Debt to GDP (t-3),Debt Service vs Disposable Income (t-3),US Dollar Index (t-2),US Dollar Index (t-6),US Dollar Index (t-9),US Dollar Index (t-11),Building Permits (t-5),Velocity of Money (t-3),Retail Sales (t-6),3m5y (t-10),3m5y (t-12),3m10y (t-10),3m10y (t-12),2y10y (t-4),2y10y (t-12),2y20y (t-11),2y20y (t-12),5y10y (t-6),5y10y (t-10),5y10y (t-12),10y30y (t-11),10y30y (t-12),10yTrea30yFRM (t-2),10yTrea30yFRM (t-7)
2020-02-16,0.008637480676766174,0.012718479802843184,0.0007045509695524643,0.011504405701329379,0.04273698490905198,0.016255408962573492,0.011834871241127365,0.02277061516660983,0.00824775245854581,0.02624295542727051,0.02634239495708912,0.02212800859000752,0.007092198581560183,0.012820512820512775,0.03763700838168915,-0.0007424147102823575,-0.0016056256494766386,0.031052620368003714,-0.03656440053585219,-0.007871249750236231,0.003262187782310022,0.025480848540978762,-0.010788627105638882,0.027336832519909926,0.011078545554538577,0.005714263130262243,0.045735806531647105,-0.021553799419681052,0.003191780608124084,-0.007450894411466069,-0.0036040870653450963,0.010806525310862902,0.0007937276159133422,-0.005002000550307528,-0.01593873950289204,0.011746294818154146,-0.01760293162382054,0.022887381448094324,0.017525203339342266,0.009050925359253448,0.01708825074443876,0.011065573770491777,0.03370786516853941,0.0,0.026143790849673332,0.030864197530864113,0.032786885245901454,0.011781901935598249,0.03015075376884413,-0.025862068965517238,0.03539823008849563,-0.00940438871473348,0.0,-0.01562500000000011,-0.025000000000000133,-0.005347593582887722,0.0,0.013586956521739024,-0.02399999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0015516044784513738,-0.0020343001755711576,-0.007223116030632637,0.0017696163122871145,0.0,0.0,-0.0007051259591465131,0.06666666666666665,0.05964912280701751,0.0,0.0,-0.018518518518518545,0.0625,-0.021276595744681326,-0.044536602957086446,0.050000000000000044,0.06250000000000155,0.00833333333333397,-0.04444444444444495,-0.04255319148936132,0.026940158952781568,0.016574585635359185
2020-02-23,0.0019133287558201206,0.004336742214974322,0.006333288352316169,-0.0010416516996860636,0.021019427517376843,0.002025673490037405,-0.0002853319518733022,-0.0009724697147664996,0.0030434960746337225,0.012695237439795393,0.007893674505623505,0.0031209876868233954,-0.024622914793726913,8.114248620577635e-05,0.022364603481624667,0.005375124972943901,0.0007045509695524643,0.011504405701329379,-0.01147942651140127,-0.03656440053585219,-0.005446483352872344,0.0051089771158037145,0.016468473686509055,0.005215171305215094,-0.020625309122021318,0.007687208565197112,0.02277061516660983,0.045735806531647105,-0.021553799419681052,0.018131726657102165,-0.006447313535110966,0.0017550471793592592,0.0025377232444496745,0.023858977179794794,-0.005002000550307528,0.014537896930308047,0.040385940524598096,-0.007884837910294817,0.022887381448094324,0.021761040870065917,-0.0010316178357414607,0.005464480874316946,-0.010869565217391353,0.012987012987013102,0.006369426751592355,-0.005988023952095856,0.016393442622950727,0.009345794392523477,-0.004878048780487698,0.008849557522123908,-0.008547008547008517,-0.02848101265822789,-0.00940438871473348,0.0,-0.017094017094017033,-0.021505376344086002,0.002680965147453085,0.0,0.005464480874316946,0.0,0.0,0.0,0.0,0.0,0.0,0.006692754527286571,0.0007044121419781391,0.0005436440747550453,-0.004972469560272752,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.0,-0.03703703703703709,0.0625,-0.03894018466479371,-0.021276595744681326,-0.04761904761904656,0.0018382352941184177,0.06458333333333421,0.04651162790697683,-0.04444444444444495,0.0381720430107525,0.0
2020-03-01,0.02210591980731852,0.0024000667111783317,0.01118906057206992,0.0016324238390911239,0.022934582467373787,-0.004076789616053567,-0.010513141986636387,-0.009302396118912148,0.02952834171387153,0.0059213784460578345,-0.010371188495599482,-0.007461538634942755,-0.05633802816901401,-0.006288542680947723,0.014728401031592425,0.005196879992481973,0.006333288352316169,-0.0010416516996860636,0.0010630605008241922,-0.01147942651140127,-0.007145800482263598,0.0025952598008518457,-0.0023605860012971824,0.008532405667692755,-0.01414922927031137,0.006965194756574311,-0.0009724697147664996,0.02277061516660983,0.045735806531647105,-0.00453726117030151,0.017093910357619313,0.01333035583616371,0.0025312315670944496,0.02634239495708912,0.023858977179794794,0.012043580599436998,0.02212800859000752,-0.01760293162382054,-0.007884837910294817,0.00914963838576388,0.009050925359253448,0.052980132450331174,0.05494505494505497,0.0064102564102563875,-0.006329113924050667,0.04216867469879526,0.016393442622950727,0.032786885245901454,-0.03675274988043997,0.004385964912280826,-0.025862068965517238,0.006514657980456029,-0.02848101265822789,-0.0031746031746030523,0.005797101449275477,0.0027472527472527375,-0.005347593582887722,0.002680965147453085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007424147102823575,-2.6070973881187065e-05,-0.0046620872191258655,-0.007223116030632637,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.017857142857142905,0.0,1.3322676295501878e-15,0.0625,-0.05660377358490609,-0.03894018466479371,0.0011904761904767414,-0.003095975232198067,0.06250000000000155,-0.0222222222222227,0.04651162790697683,0.04623655913978486,-0.02717391304347838
2020-03-08,-0.008890553659191003,0.010728100928462138,0.015856969071601945,0.016852556778883754,0.04656729480904587,0.004050482750391549,-0.008620748828398805,-0.02348840310570005,0.061217443737021426,0.0025344489491890554,-0.010187331045356851,0.0009629559464752191,0.0,-0.009473385264524473,0.007092198581560183,-0.00804696271352967,0.01118906057206992,0.0016324238390911239,0.007334304006936923,0.0010630605008241922,-0.024682876083841676,0.002265131692855027,-0.02559688284390993,-0.009768288572221229,0.032042649458918326,0.01152836065046925,-0.009302396118912148,-0.0009724697147664996,0.02277061516660983,0.019713025836519238,0.00824775245854581,0.0023773465745111633,0.027212329153773585,0.007893674505623505,0.02634239495708912,-0.0017454403889249903,0.0031209876868233954,0.040385940524598096,-0.01760293162382054,0.0015710015386902754,0.021761040870065917,0.026490066225165587,-0.02083333333333337,0.019108280254777066,-0.031847133757961776,-0.028901734104046284,0.008196721311475363,0.016393442622950727,-0.05269010043041611,-0.06550218340611347,0.008849557522123908,-0.016181229773462702,0.006514657980456029,0.015923566878980777,0.0057636887608070175,-0.013698630136986245,-0.021505376344086002,-0.005347593582887722,0.013586956521739024,0.0,0.0,0.0,0.0,0.0,0.0,0.005375124972943901,0.004260977252482201,-0.0020343001755711576,0.0005436440747550453,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.026939655172413868,0.0,-0.027777777777777124,0.03124999999999961,-0.01968119713728067,-0.05660377358490609,0.025000000000000022,0.051315789473684315,0.0018382352941184177,-0.04545454545454497,-0.0222222222222227,0.04623655913978486,0.027932960893854553
2020-03-15,-0.008890553659191003,0.008043563041764706,-0.04820376803043269,0.016852556778883754,0.04656729480904587,0.004050482750391549,-0.008620748828398805,-0.02348840310570005,0.061217443737021426,-0.035358091052880236,-0.010187331045356851,0.0009629559464752191,0.0,-0.011065806556312847,-0.04878048780487798,0.031939166755917237,0.015856969071601945,0.016852556778883754,0.013605547513049654,0.007334304006936923,-0.0010544749778708118,0.02442974840450285,0.025480848540978762,-0.011536619925200609,0.008085512148147567,0.004108753747886107,-0.02348840310570005,-0.009302396118912148,-0.0009724697147664996,0.019630106340732034,0.0030434960746337225,-0.013755036348834015,-0.0032514105510133007,-0.010371188495599482,0.007893674505623505,0.004053007476760406,-0.007461538634942755,0.02212800859000752,0.040385940524598096,0.017525203339342266,0.00914963838576388,0.026490066225165587,-0.04255319148936165,0.009554140127388533,0.013157894736842035,-0.05357142857142849,0.0,0.016393442622950727,-0.03751885369532432,-0.0700934579439253,0.004385964912280826,-0.013157894736842146,-0.016181229773462702,0.0,-0.011461318051575908,-0.025000000000000133,0.0027472527472527375,-0.021505376344086002,0.0,-0.02777777777777779,0.0,0.0,0.0,0.0,0.0,0.005196879992481973,0.0015516044784513738,0.0007044121419781391,-0.0046620872191258655,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.018165024630541926,0.017857142857142905,-0.027777777777777124,-0.01724137931034525,0.00014611338398573537,-0.01968119713728067,-0.02631578947368368,0.050000000000000044,-0.003095975232198067,0.04761904761904767,-0.04545454545454497,0.05913978494623651,0.010869565217391353
2020-03-22,-0.06680377009814498,-0.003877263449577072,-0.018514135515114494,-0.0048624279493427736,0.04656729480904587,-0.00829356932811004,-0.025960918876440142,-0.053087568569718635,0.06778686575377901,-0.06986370155808075,-0.03385442283765261,-0.00813577459909065,0.0,-0.012658227848101222,-0.036272670419011846,0.03733720136632113,-0.04820376803043269,0.016852556778883754,0.0237996311028279,0.013605547513049654,0.02814913151669618,0.008089010065466251,0.0051089771158037145,-0.04228665630476336,-0.0023737068799406513,0.002933527666524771,-0.02348840310570005,-0.02348840310570005,-0.009302396118912148,0.010555291633722153,0.02952834171387153,0.004488545946278455,-0.006834257264728416,-0.010187331045356851,-0.010371188495599482,0.013059978173991071,0.0009629559464752191,0.0031209876868233954,0.02212800859000752,0.022887381448094324,0.0015710015386902754,0.013245033112582794,0.016666666666666607,0.0047770700636942665,0.012987012987013102,0.025157232704402288,0.03053435114503822,0.008196721311475363,-0.0064102564102563875,0.03015075376884413,-0.06550218340611347,-0.009999999999999898,-0.013157894736842146,0.0,-0.04637681159420293,-0.017094017094017033,-0.013698630136986245,0.0027472527472527375,0.002680965147453085,0.0,0.0,0.0,0.0,0.0,0.0,-0.00804696271352967,0.006692754527286571,-2.6070973881187065e-05,-0.0020343001755711576,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0006157635467980427,0.026939655172413868,-0.04166666666666635,-0.034482758620689724,-0.01694915254237328,0.00014611338398573537,-0.05263157894736736,-0.04761904761904656,0.051315789473684315,0.04545454545454497,0.04761904761904767,0.04641350210970452,0.026940158952781568
2020-03-29,0.0210612817228486,-0.005338593142047023,0.04734062957526275,-0.0265774126775693,0.005598476854051626,-0.020637621406611628,-0.04330108892448148,-0.018704499368642158,0.051086457167108024,-0.06986370155808075,-0.05752151462994837,-0.01723450514465652,0.0,0.0,-0.02376485303314571,-0.020274201978435547,-0.018514135515114494,-0.0048624279493427736,0.0237996311028279,0.0237996311028279,-0.007871249750236231,-0.014485052134270537,0.0025952598008518457,-0.056164095768578615,-0.02597267899975808,-0.0006498474696001733,-0.053087568569718635,-0.02348840310570005,-0.02348840310570005,0.004678210977909769,0.061217443737021426,0.018512739567263292,0.007194377412082176,-0.010187331045356851,-0.010187331045356851,-0.01593873950289204,0.0009629559464752191,-0.007461538634942755,0.0031209876868233954,-0.007884837910294817,0.017525203339342266,0.0,0.011065573770491777,0.0023885350318471332,-0.012820512820512886,0.012578616352201144,0.03053435114503822,0.0,-0.0064102564102563875,-0.004878048780487698,-0.0700934579439253,0.0,-0.009999999999999898,-0.00940438871473348,-0.012550107924761078,0.005797101449275477,-0.025000000000000133,-0.013698630136986245,-0.005347593582887722,0.0,0.0,0.0,0.0,0.0,0.0,0.031939166755917237,-0.0007424147102823575,0.004260977252482201,0.0007044121419781391,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0006157635467980427,0.018165024630541926,-0.048611111111110966,-0.06896551724137867,4.440892098500626e-16,-0.01694915254237328,-0.05555555555555558,0.0011904761904767414,0.050000000000000044,-0.021739130434782594,0.04545454545454497,0.03328739621614252,0.0381720430107525
2020-04-05,0.0210612817228486,-0.008511167343124423,0.001066800479397445,-0.0265774126775693,-0.03640314374426078,-0.020637621406611628,-0.04330108892448148,-0.018704499368642158,0.034386048580437034,-0.06986370155808075,-0.05752151462994837,-0.01723450514465652,0.0,0.0,0.0012507817385865594,0.01645042935653307,0.04734062957526275,-0.0265774126775693,0.0237996311028279,0.0237996311028279,-0.03656440053585219,0.016918356897397402,0.002265131692855027,0.010104915693411876,-0.03911243209148729,-0.0019514108183631418,-0.018704499368642158,-0.053087568569718635,-0.02348840310570005,0.021767525572946145,0.061217443737021426,-0.0036040870653450963,0.03664565338923875,-0.03385442283765261,-0.010187331045356851,-0.005002000550307528,-0.00813577459909065,0.0009629559464752191,-0.007461538634942755,-0.01760293162382054,0.022887381448094324,-0.02127659574468077,0.005464480874316946,0.0011942675159235666,0.006493506493506551,0.0,0.03053435114503822,0.03053435114503822,-0.022584973166368538,-0.03675274988043997,0.03015075376884413,0.006734006734006703,0.0,-0.02848101265822789,-0.009909647333139038,0.0057636887608070175,-0.017094017094017033,-0.025000000000000133,-0.021505376344086002,0.0,0.0,0.0,0.0,0.0,0.0,0.03733720136632113,0.005375124972943901,0.0015516044784513738,-2.6070973881187065e-05,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,-0.01693349753694584,0.0006157635467980427,-0.05208333333333327,0.0,2.220446049250313e-16,4.440892098500626e-16,-0.057189542483660816,0.025000000000000022,-0.04761904761904656,4.440892098500626e-16,-0.021739130434782594,0.020161290322580516,0.04623655913978486
2020-04-12,0.041902659125859554,0.006031396029724278,0.017682570220238114,-0.0018525056293823283,-0.03743594638757894,0.0048501491998739765,-0.02259961993117021,0.014474182063139829,0.0502257840384952,-0.037397750973404975,0.0005325598520401487,0.0218331486964779,0.0,0.0,0.0012507817385865594,-0.018132468290283477,0.001066800479397445,-0.0265774126775693,0.0237996311028279,0.0237996311028279,-0.01147942651140127,0.04273698490905198,0.02442974840450285,0.011115122044888626,-0.03911243209148729,0.011078545554538577,-0.018704499368642158,-0.018704499368642158,-0.053087568569718635,0.02935895499627872,0.06778686575377901,-0.006447313535110966,0.023966657505144262,-0.05752151462994837,-0.03385442283765261,0.023858977179794794,-0.01723450514465652,0.0009629559464752191,0.0009629559464752191,0.040385940524598096,-0.007884837910294817,-0.02127659574468077,0.052980132450331174,0.0005971337579617833,0.006451612903225712,0.06818181818181812,-0.003081448280691901,0.03053435114503822,-0.03875968992248069,-0.05269010043041611,-0.004878048780487698,-0.013377926421404673,0.006734006734006703,0.006514657980456029,-0.04483365949119372,-0.011461318051575908,0.005797101449275477,-0.017094017094017033,0.0027472527472527375,0.0,0.0,-0.011369032223195852,0.0,0.0,0.0,-0.020274201978435547,0.005196879992481973,0.006692754527286571,0.004260977252482201,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,-0.025708128078817782,0.0006157635467980427,-0.053819444444444434,-0.018518518518518545,-0.009803921568627472,2.220446049250313e-16,-0.05800653594771343,-0.02631578947368368,0.0011904761904767414,-0.011111111111110628,4.440892098500626e-16,0.055335968379446765,0.04623655913978486
2020-04-19,0.028940944792647194,0.011285305120617779,0.0009142032161737479,0.001948865833917346,-0.03950155167421526,0.008767184687534069,-0.013072689028138962,0.02029728476439724,0.04077086410345099,-0.020721399751210567,0.02628256752107233,0.029547518897981018,0.0,0.0,0.02564102564102555,0.005827522046598865,0.017682570220238114,-0.0018525056293823283,0.02899825731260597,0.0237996311028279,0.0010630605008241922,0.021019427517376843,0.008089010065466251,0.0015267659454304972,-0.05215969799949516,-0.020625309122021318,0.014474182063139829,-0.018704499368642158,-0.018704499368642158,0.003191780608124084,0.051086457167108024,0.017093910357619313,0.009069494894766494,-0.05752151462994837,-0.05752151462994837,0.02634239495708912,-0.01723450514465652,-0.00813577459909065,0.0009629559464752191,0.02212800859000752,-0.01760293162382054,-0.02127659574468077,0.026490066225165587,0.0,0.012820512820512775,0.03763700838168915,-0.03669724770642202,0.03053435114503822,-0.04900947459087002,-0.03751885369532432,-0.03675274988043997,-0.05423728813559325,-0.013377926421404673,-0.016181229773462702,-0.0485714285714286,-0.04637681159420293,0.0057636887608070175,0.005797101449275477,-0.013698630136986245,0.0,0.0,0.0,0.0,0.0,0.0,0.01645042935653307,-0.00804696271352967,-0.0007424147102823575,0.0015516044784513738,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,-0.030095443349753753,-0.01693349753694584,-0.05468750000000002,-0.03703703703703709,-0.02980392156862749,-0.009803921568627472,-0.05841503267973974,-0.05263157894736736,0.025000000000000022,-0.03194444444444444,-0.011111111111110628,0.011235955056179803,0.05913978494623651
