Date;SP500_Prediction;SP500
16/02/2020;0.003573076020898;0.003573076020898
23/02/2020;0.002553367864610261;0.002553367864610261
01/03/2020;0.0019122583034130972;0.0019122583034130972
08/03/2020;0.003319074179054896;0.003319074179054896
15/03/2020;0.003603209936445172;0.003603209936445172
22/03/2020;0.003593356792341129;0.003593356792341129
29/03/2020;0.003397280847805928;0.003397280847805928
05/04/2020;0.0007744316052391235;0.0007744316052391235
12/04/2020;0.0037139839897976294;0.0037139839897976294
19/04/2020;0.0016420883657433801;0.0016420883657433801
26/04/2020;0.0018258767011992776;0.0018258767011992776
03/05/2020;0.003432414594742841;0.003432414594742841
10/05/2020;0.003832162310727104;0.003832162310727104
17/05/2020;0.0008296865141907272;0.0008296865141907272
24/05/2020;0.0019187647928549038;0.0019187647928549038
31/05/2020;0.0010678809906714396;0.0010678809906714396
07/06/2020;0.002766732309032244;0.002766732309032244
14/06/2020;0.0015666090195496146;0.0015666090195496146
21/06/2020;0.0007059954427176775;0.0007059954427176775
28/06/2020;0.0006657421408247783;0.0006657421408247783
05/07/2020;0.0014330695772794908;0.0014330695772794908
12/07/2020;5,67E+10;5,67E+10
19/07/2020;-0.00021299235778059447;-0.00021299235778059447
26/07/2020;0.002927655775875522;0.002927655775875522
02/08/2020;0.002594784337739562;0.002594784337739562
09/08/2020;0.0017734993810509703;0.0017734993810509703
16/08/2020;0.0033652113269703452;0.0033652113269703452
23/08/2020;0.001735409559905528;0.001735409559905528
30/08/2020;0.0032060446635982375;0.0032060446635982375
06/09/2020;0.0025972694118792045;0.0025972694118792045
13/09/2020;0.002082506859404074;0.002082506859404074
20/09/2020;0.003322299661618838;0.003322299661618838
27/09/2020;0.002348614859173361;0.002348614859173361
04/10/2020;0.003638963177254569;0.003638963177254569
11/10/2020;0.0029231370206739844;0.0029231370206739844
18/10/2020;0.001192030864426448;0.001192030864426448
25/10/2020;0.0032398839945486603;0.0032398839945486603
01/11/2020;0.0021807394293876284;0.0021807394293876284
08/11/2020;0.0045639756453826315;0.0045639756453826315
15/11/2020;0.003981420490702056;0.003981420490702056
22/11/2020;0.005423231213775709;0.005423231213775709
29/11/2020;0.003741881142671501;0.003741881142671501
06/12/2020;0.004076507376848203;0.004076507376848203
13/12/2020;0.0015097826306169216;0.0015097826306169216
20/12/2020;0.002204583631168025;0.002204583631168025
27/12/2020;0.0014282263450335173;0.0014282263450335173
03/01/2021;0.0033498700125148897;0.0033498700125148897
10/01/2021;0.003027443384483194;0.003027443384483194
17/01/2021;0.00038607698887047423;0.00038607698887047423
24/01/2021;1,30E+11;1,30E+11
31/01/2021;0.0009793750251282545;0.0009793750251282545
07/02/2021;0.0017978994108024638;0.0017978994108024638
14/02/2021;0.004132415835808724;0.004132415835808724
21/02/2021;0.0024711860513085123;0.0024711860513085123
28/02/2021;0.002572048672906407;0.002572048672906407
07/03/2021;0.0027630430708856708;0.0027630430708856708
14/03/2021;0.004558427904054279;0.004558427904054279
21/03/2021;0.003104121358323416;0.003104121358323416
28/03/2021;0.002839587834949245;0.002839587834949245
04/04/2021;0.0026716002795690473;0.0026716002795690473
11/04/2021;0.0029617895866483296;0.0029617895866483296
18/04/2021;0.003602841168141128;0.003602841168141128
25/04/2021;0.0035867279129589424;0.0035867279129589424
02/05/2021;0.0028189165900972184;0.0028189165900972184
09/05/2021;0.004062203957868985;0.004062203957868985
16/05/2021;0.002723266684370883;0.002723266684370883
23/05/2021;0.0022756819939400478;0.0022756819939400478
30/05/2021;0.0025002178907104445;0.0025002178907104445
06/06/2021;0.0028748829683466026;0.0028748829683466026
13/06/2021;0.0012636602061184682;0.0012636602061184682
20/06/2021;0.0008882888578977083;0.0008882888578977083
27/06/2021;0.001980986082391852;0.001980986082391852
04/07/2021;0.0011111456361648162;0.0011111456361648162
11/07/2021;0.000395180072134488;0.000395180072134488
18/07/2021;0.0037981610635516383;0.0037981610635516383
25/07/2021;0.0033943881135654022;0.0033943881135654022
01/08/2021;0.0034996736330847092;0.0034996736330847092
08/08/2021;0.0014422116554842193;0.0014422116554842193
15/08/2021;0.002138341309126997;0.002138341309126997
22/08/2021;0.0013371595554279884;0.0013371595554279884
29/08/2021;0.0033679807783083284;0.0033679807783083284
05/09/2021;0.0022837318113837655;0.0022837318113837655
12/09/2021;-0.00012271096511870855;-0.00012271096511870855
19/09/2021;0.0012777368000729307;0.0012777368000729307
26/09/2021;0.0029988784684972735;0.0029988784684972735
03/10/2021;0.0031247633599119826;0.0031247633599119826
10/10/2021;0.002751605288521115;0.002751605288521115
17/10/2021;0.003394057857572946;0.003394057857572946
24/10/2021;0.0036679217552723848;0.0036679217552723848
31/10/2021;0.0023368592647111846;0.0023368592647111846
07/11/2021;0.0012154315277772825;0.0012154315277772825
14/11/2021;0.0006575773374779039;0.0006575773374779039
21/11/2021;0.001272535254498618;0.001272535254498618
28/11/2021;0.001678100604742537;0.001678100604742537
05/12/2021;0.0022309753963978664;0.0022309753963978664
12/12/2021;0.00331300097350951;0.00331300097350951
19/12/2021;0.0019455455995709588;0.0019455455995709588
26/12/2021;0.002537848594348266;0.002537848594348266
02/01/2022;0.0035053459422157342;0.0035053459422157342
09/01/2022;0.004876043680437344;0.004876043680437344
16/01/2022;0.00491918982853408;0.00491918982853408
23/01/2022;0.002297165900830171;0.002297165900830171
30/01/2022;0.0028061379035964067;0.0028061379035964067
06/02/2022;0.004232317021460186;0.004232317021460186
13/02/2022;0.0030465181914419047;0.0030465181914419047
20/02/2022;0.0030219116024107267;0.0030219116024107267
