Date,Discretionary,Discretionary_Prediction,Dow_Jones,RealEstate,SP500,Financials,Industrials,Technology,NASDAQ,3-Month Treasury Yield,US Dollar Index,3m10y,CorporateBonds (t-5),Dow_Jones (t-1),Dow_Jones (t-8),RealEstate (t-12),Staples (t-1),30-Year Treasury Yield (t-2),30-Year Treasury Yield (t-8),15-Year Mortgage Rate (t-7),15-Year Mortgage Rate (t-8),15-Year Mortgage Rate (t-9),30-Year Mortgage Rate (t-7),Unemployment Rate (t-6),US Dollar Index (t-6),US Dollar Index (t-12),Retail Sales (t-4),5y10y (t-6),10y30y (t-2)
2020-02-16,0.02634245628607723,0.017715054416518456,0.011504857399365687,0.042736807605771254,0.01625521319711498,0.008085313022125007,0.011835260417512927,0.02277045317905735,0.02212800859000752,0.012820512820512775,-0.0007424147102823575,-0.03228910098522174,-0.0007119821433144713,0.03105250819762273,0.01140961101325666,-0.01078871805066961,0.017093978691498535,-0.0700934579439253,0.03539823008849563,0.0,0.0,0.015923566878980777,0.002680965147453085,-0.02777777777777779,-0.0020343001755711576,0.0040697639468207925,0.0,0.050000000000000044,-0.03194444444444444
2020-02-23,0.007893645730578047,0.001456402074554496,-0.0010415908448132005,0.021019380456445136,0.002025718335140758,-0.0023737089459193728,-0.00028523176824446494,-0.0009725894222923359,0.0031209876868233954,8.114248620577635e-05,0.005375124972943901,-0.03338592980295573,0.0016625410361574833,0.011504857399365687,0.006573817488454203,0.01646829132674532,0.008247817958777715,0.03015075376884413,-0.008547008547008517,-0.00940438871473348,0.0,0.0,-0.005347593582887722,0.0,0.0007044121419781391,0.0017696163122871145,0.0,-0.04761904761904656,-0.03170289855072467
2020-03-01,-0.010371281557502832,-0.008203617224282372,0.0016323559859408587,0.0229347195644779,-0.004076701544826755,-0.025972617075918414,-0.01051323686840705,-0.009302345497949005,-0.007461538634942755,-0.006288542680947723,0.005196879992481973,-0.033934344211822724,0.006638929504846569,-0.0010415908448132005,-3.4728418058849186e-05,-0.002360043957435498,0.0030433999587702876,-0.004878048780487698,-0.025862068965517238,-0.02848101265822789,-0.00940438871473348,0.0,-0.021505376344086002,0.0,-2.6070973881187065e-05,-0.004972469560272752,0.0,0.0011904761904767414,-0.02173913043478215
2020-03-08,-0.010187398290084526,0.0009623047282608475,0.016852751060873805,0.046567485821836785,0.004050373437179955,-0.039112503237873075,-0.008620749782812243,-0.02348835345328487,0.0009629559464752191,-0.009473385264524473,-0.00804696271352967,-0.034208551416256214,0.007183567568413096,0.0016323559859408587,0.0067059020025970195,-0.025597147866053604,0.029528138655912917,-0.03675274988043997,0.008849557522123908,0.006514657980456029,-0.02848101265822789,-0.00940438871473348,0.0027472527472527375,0.0,0.004260977252482201,-0.007223116030632637,0.0,0.025000000000000022,-0.021980676328502202
2020-03-15,-0.010187398290084526,0.0007615086496001939,0.016852751060873805,0.046567485821836785,0.004050373437179955,-0.039112503237873075,-0.008620749782812243,-0.02348835345328487,0.0009629559464752191,-0.011065806556312847,0.031939166755917237,-0.034345655018472955,-0.0016049469833645524,0.016852751060873805,0.017930028178514634,0.025480941583976957,0.06121729535306297,-0.05269010043041611,0.004385964912280826,-0.016181229773462702,0.006514657980456029,-0.02848101265822789,-0.013698630136986245,0.0,0.0015516044784513738,0.0005436440747550453,0.0,-0.02631578947368368,-0.020726495726495764
2020-03-22,-0.03385446105418555,-0.013174417573745155,-0.004862144989361661,0.046567485821836785,-0.008293593004355115,-0.05215982411852388,-0.025960886747091072,-0.05308764793431375,-0.00813577459909065,-0.012658227848101222,0.03733720136632113,0.001989389920424439,0.0007041619539438493,0.016852751060873805,-0.011831952011770785,0.00510879519009122,0.06121729535306297,-0.03751885369532432,-0.06550218340611347,-0.013157894736842146,-0.016181229773462702,0.006514657980456029,-0.025000000000000133,0.0,0.006692754527286571,-0.0046620872191258655,0.0,-0.05263157894736736,-0.019230769230769273
2020-03-29,-0.05752152381828657,-0.02156575658890188,-0.026577041039597127,0.005598778275187899,-0.020637559445890186,-0.06520714499917468,-0.0433010237113699,-0.018704799158669294,-0.01723450514465652,0.0,-0.020274201978435547,0.03827791132478644,0.006333678187865122,-0.004862144989361661,-0.025465652816480278,0.0025952600351257793,0.06778677730938543,-0.0064102564102563875,-0.0700934579439253,-0.009999999999999898,-0.013157894736842146,-0.016181229773462702,-0.017094017094017033,0.0,-0.0007424147102823575,-0.0020343001755711576,0.0,-0.05555555555555558,-0.0015508684863524969
2020-04-05,-0.05752152381828657,-0.024246937712379506,-0.026577041039597127,-0.03640275504473106,-0.020637559445890186,-0.06520714499917468,-0.0433010237113699,-0.018704799158669294,-0.01723450514465652,0.0,0.01645042935653307,0.03809428418803429,0.011189058411690711,-0.026577041039597127,0.03105250819762273,0.0022652219330459022,0.05108649051623382,-0.0064102564102563875,0.03015075376884413,0.0,-0.009999999999999898,-0.013157894736842146,0.005797101449275477,0.0,0.005375124972943901,0.0007044121419781391,0.0,-0.057189542483660816,0.01612903225806428
2020-04-12,0.0005323652877632923,-0.0011222045686070411,-0.0018521118389641655,-0.037435580818001135,0.004850297190804487,-0.053775474754980346,-0.02259958738487694,0.014473983883260377,0.0218331486964779,0.0,-0.018132468290283477,0.03772702991453,0.015856488686047943,-0.026577041039597127,0.011504857399365687,0.02442965857174717,0.03438620372308221,-0.022584973166368538,-0.004878048780487698,0.006734006734006703,0.0,-0.009999999999999898,0.0057636887608070175,0.0,0.005196879992481973,-2.6070973881187065e-05,0.0,-0.05800653594771343,0.01612903225806428
2020-04-19,0.0262824118058832,0.003345184265550505,0.0019490422088485615,-0.03950123236454128,0.00876719054597408,-0.03568724448649596,-0.013072689859667086,0.020297280471790136,0.029547518897981018,0.0,0.005827522046598865,0.03699252136752145,-0.04820359365851501,-0.0018521118389641655,-0.0010415908448132005,0.008089010774795513,0.0502258514979812,-0.03875968992248069,-0.03675274988043997,-0.013377926421404673,0.006734006734006703,0.0,-0.011461318051575908,0.0,-0.00804696271352967,0.004260977252482201,0.0,-0.05841503267973974,2.220446049250313e-16
