Date,BND,DIA,DIV,FTNT,GDX,IYR,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,^IXIC
2006-05-05 00:00:00-04:00,,77.68550872802734,,,,37.36176681518555,94.83010864257812,23.604787826538086,35.741519927978516,19.49620246887207,25.30455207824707,17.230850219726562,15.290992736816406,17.524553298950195,22.852157592773438,27.500661849975586,2342.570068359375
2006-05-08 00:00:00-04:00,,77.76616668701172,,,,37.48179244995117,94.71562194824219,23.693382263183594,35.58363723754883,19.416297912597656,25.28327751159668,17.254430770874023,15.373613357543945,17.38840103149414,22.844728469848633,27.540374755859375,2344.989990234375
2006-05-09 00:00:00-04:00,,78.16251373291016,,,,37.492225646972656,94.90164947509766,23.850107192993164,35.79617691040039,19.450542449951172,25.28327751159668,17.183677673339844,15.418110847473145,17.241365432739258,22.68138885498047,27.619848251342773,2338.25
2006-05-10 00:00:00-04:00,,78.31037902832031,,,,37.52352523803711,94.8515853881836,23.856908798217773,36.13014221191406,19.46195411682129,25.29746437072754,17.002880096435547,15.354557037353516,17.37751007080078,22.65911865234375,27.6357364654541,2320.739990234375
2006-05-11 00:00:00-04:00,,77.38993072509766,,,,36.704280853271484,93.70659637451172,23.529827117919922,35.66256332397461,19.142345428466797,25.169809341430664,16.649150848388672,15.163895606994629,17.214139938354492,22.614572525024414,27.357635498046875,2272.699951171875
2006-05-12 00:00:00-04:00,,76.50306701660156,,,,36.15116500854492,92.48298645019531,23.02556610107422,34.45418930053711,18.94829559326172,24.772647857666016,16.49193572998047,15.043135643005371,17.023529052734375,22.562606811523438,27.087486267089844,2243.780029296875
2006-05-15 00:00:00-04:00,,76.80542755126953,,,,36.631229400634766,92.66900634765625,22.725744247436523,33.73158264160156,19.079565048217773,24.779747009277344,16.507654190063477,15.208382606506348,17.132444381713867,22.881847381591797,27.158981323242188,2238.52001953125
2006-05-16 00:00:00-04:00,,76.79196166992188,,,,36.558197021484375,92.5330581665039,22.732561111450195,33.853031158447266,19.056734085083008,24.772647857666016,16.350446701049805,15.265570640563965,17.05620765686035,22.941247940063477,26.968284606933594,2229.1298828125
2006-05-17 00:00:00-04:00,,75.23995971679688,,,,35.79633331298828,90.77271270751953,22.1192684173584,32.990779876708984,18.67435073852539,24.26201820373535,16.130342483520508,15.074909210205078,16.7948055267334,22.703672409057617,26.59483528137207,2195.800048828125
2006-05-18 00:00:00-04:00,,74.8570327758789,,,,35.697181701660156,90.3147201538086,21.8875789642334,32.59000015258789,18.508832931518555,24.063438415527344,16.075313568115234,14.998655319213867,16.789371490478516,22.60715103149414,26.578941345214844,2180.320068359375
2006-05-19 00:00:00-04:00,,75.07868957519531,,,,35.624141693115234,90.95162200927734,21.976167678833008,32.802528381347656,18.605857849121094,24.14145278930664,16.193225860595703,15.01136589050293,16.93094825744629,22.480932235717773,26.76169776916504,2193.8798828125
2006-05-22 00:00:00-04:00,,74.74186706542969,,,32.72624588012695,35.38932418823242,90.25747680664062,21.499164581298828,32.61428451538086,18.560192108154297,24.091812133789062,16.051727294921875,15.055848121643066,17.061649322509766,22.384422302246094,26.570993423461914,2172.860107421875
2006-05-23 00:00:00-04:00,,74.3377914428711,,,33.3679313659668,35.14929962158203,89.57052612304688,21.54686164855957,32.620361328125,18.468889236450195,23.978336334228516,15.933818817138672,15.049490928649902,16.82204246520996,22.280479431152344,26.37234115600586,2158.760009765625
2006-05-24 00:00:00-04:00,,74.84967041015625,,,32.10213088989258,35.20669174194336,90.28609466552734,21.451459884643555,32.219581604003906,18.480302810668945,23.91451644897461,16.091033935546875,15.163895606994629,16.881938934326172,22.34729766845703,26.41208267211914,2169.169921875
2006-05-25 00:00:00-04:00,,75.46932983398438,,,33.68437576293945,35.87461471557617,91.4024429321289,21.819448471069336,33.34903335571289,18.645814895629883,24.0776309967041,16.240385055541992,15.310064315795898,17.039865493774414,22.5551815032959,26.66634750366211,2198.239990234375
2006-05-26 00:00:00-04:00,,75.9609603881836,,,33.886558532714844,36.21379852294922,91.86759948730469,22.18741226196289,33.45835494995117,18.799915313720703,24.212379455566406,16.319002151489258,15.310064315795898,17.22502326965332,22.68138885498047,26.753751754760742,2210.3701171875
2006-05-30 00:00:00-04:00,,74.6475830078125,,,33.55252456665039,35.92680740356445,90.23602294921875,21.66270637512207,32.9300422668457,18.520252227783203,23.90033531188965,15.9967041015625,15.119396209716797,17.050762176513672,22.384422302246094,26.34851837158203,2164.739990234375
2006-05-31 00:00:00-04:00,,75.25373840332031,,,34.1502685546875,35.87461471557617,91.24498748779297,21.90802001953125,33.73158264160156,18.651517868041992,24.070531845092773,16.05959129333496,15.176599502563477,17.333946228027344,22.525484085083008,26.634563446044922,2178.8798828125
2006-06-01 00:00:00-04:00,,75.70502471923828,,,33.86897659301758,36.62602233886719,92.11800384521484,22.146526336669922,33.822669982910156,18.86839485168457,24.318761825561523,16.334720611572266,15.2592191696167,17.508203506469727,22.844728469848633,27.047752380371094,2219.860107421875
2006-06-02 00:00:00-04:00,,75.67808532714844,,,34.39640426635742,37.0225830078125,92.31123352050781,22.357772827148438,34.3266716003418,18.976835250854492,24.35422706604004,16.27969741821289,15.227446556091309,17.72059440612793,22.933820724487305,26.992128372192383,2219.409912109375
2006-06-05 00:00:00-04:00,,74.55329895019531,,,33.517372131347656,37.07477951049805,90.96592712402344,21.689958572387695,33.24580764770508,18.668636322021484,23.829395294189453,16.0360107421875,15.01136589050293,17.508203506469727,22.57745361328125,26.56304931640625,2169.6201171875
2006-06-06 00:00:00-04:00,,74.08182525634766,,,32.53285598754883,36.704280853271484,90.74407958984375,21.505977630615234,33.2154426574707,18.622974395751953,23.73720932006836,16.0360107421875,15.055848121643066,17.54088020324707,22.614572525024414,26.427974700927734,2162.780029296875
2006-06-07 00:00:00-04:00,,73.54298400878906,,,31.768095016479492,36.85041046142578,90.06429290771484,21.01535415649414,31.94025993347168,18.685760498046875,23.47479248046875,15.815905570983887,15.049490928649902,17.475534439086914,22.718521118164062,26.4359073638916,2151.800048828125
2006-06-08 00:00:00-04:00,,73.4150161743164,,,31.00334930419922,36.683414459228516,89.9855728149414,20.94720458984375,32.38961410522461,18.72000503540039,23.488983154296875,15.737298965454102,15.100332260131836,17.53543472290039,22.755638122558594,26.396198272705078,2145.320068359375
2006-06-09 00:00:00-04:00,,73.30055236816406,,,30.827539443969727,37.0225830078125,89.69933319091797,20.838176727294922,32.06169891357422,18.657222747802734,23.2904052734375,15.674420356750488,15.113051414489746,17.682470321655273,22.59229850769043,26.332626342773438,2135.06005859375
2006-06-12 00:00:00-04:00,,72.70777893066406,,,29.693584442138672,36.47990798950195,88.7260971069336,20.511089324951172,31.4058837890625,18.451757431030273,22.999618530273438,15.383560180664062,15.024070739746094,17.72059440612793,22.362146377563477,25.98301124572754,2091.320068359375
2006-06-13 00:00:00-04:00,,72.0477523803711,,,28.304729461669922,36.005043029785156,87.69566345214844,20.1635684967041,30.476848602294922,18.092205047607422,22.928714752197266,15.399291038513184,14.97323226928711,17.508203506469727,22.302753448486328,25.776409149169922,2072.469970703125
2006-06-14 00:00:00-04:00,,72.96379089355469,,,29.034317016601562,35.94765090942383,88.37547302246094,20.4293155670166,31.260156631469727,17.98375701904297,23.12728500366211,15.501479148864746,15.036785125732422,17.37751007080078,22.339872360229492,25.89559555053711,2086.0
2006-06-15 00:00:00-04:00,,74.32420349121094,,,30.713260650634766,36.57383346557617,90.25029754638672,21.11075210571289,32.450321197509766,18.383272171020508,23.652097702026367,15.894516944885254,15.157537460327148,17.644346237182617,22.614572525024414,26.459754943847656,2144.14990234375
2006-06-16 00:00:00-04:00,,74.18535614013672,,,30.388025283813477,36.67300033569336,89.59268188476562,20.985198974609375,32.3631706237793,18.266738891601562,23.64854621887207,15.870932579040527,15.174784660339355,17.632816314697266,22.58551025390625,26.396852493286133,2129.949951171875
2006-06-19 00:00:00-04:00,,73.63897705078125,,,29.53536605834961,36.344234466552734,88.88829040527344,20.566741943359375,31.144224166870117,18.140439987182617,23.46367835998535,15.800192832946777,15.117280006408691,17.391197204589844,22.414125442504883,26.25351333618164,2110.419921875
2006-06-20 00:00:00-04:00,,74.10436248779297,,,30.18585205078125,36.119873046875,89.190185546875,20.65591812133789,30.997955322265625,18.192121505737305,23.43523406982422,15.776599884033203,15.225903511047363,17.435131072998047,22.3321533203125,26.157957077026367,2107.06005859375
2006-06-21 00:00:00-04:00,,74.67774963378906,,,31.52198028564453,36.579063415527344,89.85143280029297,21.15671157836914,31.6927547454834,18.341365814208984,23.712533950805664,15.980978012084961,15.283408164978027,17.418655395507812,22.443941116333008,26.412765502929688,2141.199951171875
2006-06-22 00:00:00-04:00,,74.3337173461914,,,31.328594207763672,36.317832946777344,89.45609283447266,21.046955108642578,31.82682991027832,18.272476196289062,23.570331573486328,15.792326927185059,15.257845878601074,17.358257293701172,22.317258834838867,26.205738067626953,2122.97998046875
2006-06-23 00:00:00-04:00,,74.1786117553711,,,31.89116668701172,36.180908203125,89.4417495727539,21.225313186645508,32.53382873535156,18.151931762695312,23.634323120117188,15.745162963867188,15.206732749938965,17.385705947875977,22.339611053466797,26.181848526000977,2121.469970703125
2006-06-26 00:00:00-04:00,,74.46864318847656,,,32.198829650878906,36.5443000793457,89.8370361328125,21.287057876586914,32.893428802490234,18.312660217285156,23.698318481445312,15.776599884033203,15.289795875549316,17.45709228515625,22.257640838623047,26.31721305847168,2133.669921875
2006-06-27 00:00:00-04:00,,73.69964599609375,,,31.187942504882812,36.47057342529297,89.06079864501953,21.019500732421875,32.954383850097656,18.134706497192383,23.4778995513916,15.564360618591309,15.219515800476074,17.391197204589844,22.026641845703125,25.9827823638916,2100.25
2006-06-28 00:00:00-04:00,,74.0774154663086,,,31.03851318359375,36.59695816040039,89.66455841064453,21.074390411376953,33.521175384521484,18.232295989990234,23.549007415771484,15.666548728942871,15.289795875549316,17.440622329711914,22.026641845703125,26.006671905517578,2111.840087890625
2006-06-29 00:00:00-04:00,,75.41294860839844,,,33.3679313659668,37.34480667114258,91.47579956054688,21.91818618774414,34.471954345703125,18.616918563842773,24.04671859741211,16.067455291748047,15.532594680786133,17.665769577026367,22.40667724609375,26.572031021118164,2174.3798828125
2006-06-30 00:00:00-04:00,,75.40625762939453,,,34.01841354370117,37.523860931396484,91.4830093383789,22.021087646484375,34.58776092529297,18.56525421142578,24.039608001708984,15.980978012084961,15.455923080444336,17.731666564941406,22.533353805541992,26.587966918945312,2172.090087890625
